patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,56,46,39,39,38,0,0,0,0
0,1,500,57,60,50,50,50,0,0,0,0
0,2,0,59,46,39,39,38,0,0,0,0
0,2,500,58,58,50,51,50,0,0,0,0
0,3,0,58,46,39,38,39,0,0,0,0
0,3,500,56,59,50,50,50,0,0,0,0
1,3,0,107,39,38,38,39,0,0,0,0
1,3,500,104,51,50,50,50,0,0,0,0
0,4,0,58,46,38,38,38,0,0,0,0
0,4,500,56,60,50,50,51,0,0,0,0
2,4,0,109,39,39,38,38,0,0,0,0
2,4,500,109,51,50,51,50,0,0,0,0
0,5,0,63,46,38,39,39,0,0,0,0
0,5,500,62,58,50,50,50,0,0,0,0
2,5,0,109,38,38,38,38,0,0,0,0
2,5,500,110,51,50,51,50,0,0,0,0
0,6,0,63,46,39,39,39,0,0,0,0
0,6,500,54,62,50,50,50,0,0,0,0
3,6,0,110,39,38,39,39,0,0,0,0
3,6,500,109,50,50,50,51,0,0,0,0
0,7,0,65,44,38,38,39,0,0,0,0
0,7,500,63,57,50,51,51,0,0,0,0
3,7,0,110,39,39,38,39,0,0,0,0
3,7,500,109,51,50,51,50,0,0,0,0
0,8,0,66,44,39,39,38,0,0,0,0
0,8,500,63,58,50,50,51,0,0,0,0
4,8,0,110,39,38,39,39,0,0,0,0
4,8,500,106,51,51,50,50,0,0,0,0
0,9,0,63,46,39,39,38,0,0,0,0
0,9,500,60,60,51,50,50,0,0,0,0
4,9,0,109,40,38,39,39,0,0,0,0
4,9,500,109,51,50,50,50,0,0,0,0
