patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,51,40,30,32,30,0,0,0,0
0,1,500,51,50,38,38,38,0,0,0,0
0,2,0,52,42,30,31,30,0,0,0,0
0,2,500,51,50,38,37,38,0,0,0,0
0,3,0,51,42,31,30,30,0,0,0,0
0,3,500,50,49,38,38,38,0,0,0,0
1,3,0,95,31,30,31,30,0,0,0,0
1,3,500,92,38,37,38,38,0,0,0,0
0,4,0,54,40,30,30,30,0,0,0,0
0,4,500,50,49,38,38,37,0,0,0,0
2,4,0,95,30,30,31,30,0,0,0,0
2,4,500,95,37,37,38,37,0,0,0,0
0,5,0,51,40,30,30,30,0,0,0,0
0,5,500,50,49,38,38,38,0,0,0,0
2,5,0,95,31,31,31,30,0,0,0,0
2,5,500,94,38,37,38,37,0,0,0,0
0,6,0,51,42,30,30,31,0,0,0,0
0,6,500,47,49,38,38,38,0,0,0,0
3,6,0,95,31,31,30,30,0,0,0,0
3,6,500,96,39,37,37,37,0,0,0,0
0,7,0,47,42,30,30,30,0,0,0,0
0,7,500,46,50,38,38,38,0,0,0,0
3,7,0,90,31,30,30,31,0,0,0,0
3,7,500,90,37,38,38,37,0,0,0,0
0,8,0,51,43,30,30,31,0,0,0,0
0,8,500,51,50,38,38,38,0,0,0,0
4,8,0,95,31,31,31,30,0,0,0,0
4,8,500,95,38,37,37,37,0,0,0,0
0,9,0,51,40,30,31,31,0,0,0,0
0,9,500,51,49,38,38,37,0,0,0,0
4,9,0,96,31,30,30,30,0,0,0,0
4,9,500,95,37,38,37,38,0,0,0,0
