patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,35,36,22,22,22,0,0,0,0
0,1,500,41,41,28,28,28,0,0,0,0
0,2,0,40,32,25,23,24,0,0,0,0
0,2,500,40,39,31,31,31,0,0,0,0
0,3,0,40,33,21,21,21,0,0,0,0
0,3,500,40,43,29,29,29,0,0,0,0
1,3,0,77,21,21,21,21,0,0,0,0
1,3,500,75,32,31,32,32,0,0,0,0
0,4,0,37,31,26,24,24,0,0,0,0
0,4,500,40,40,29,29,29,0,0,0,0
2,4,0,76,21,21,21,21,0,0,0,0
2,4,500,75,32,29,29,29,0,0,0,0
0,5,0,40,28,25,23,23,0,0,0,0
0,5,500,40,39,29,29,29,0,0,0,0
2,5,0,77,22,21,21,21,0,0,0,0
2,5,500,77,29,28,29,29,0,0,0,0
0,6,0,39,33,24,23,23,0,0,0,0
0,6,500,37,41,32,32,32,0,0,0,0
3,6,0,75,21,21,21,21,0,0,0,0
3,6,500,76,29,29,28,29,0,0,0,0
0,7,0,35,31,26,24,23,0,0,0,0
0,7,500,40,41,28,29,29,0,0,0,0
3,7,0,76,21,22,22,21,0,0,0,0
3,7,500,75,31,29,29,28,0,0,0,0
0,8,0,41,31,24,23,23,0,0,0,0
0,8,500,39,39,32,32,32,0,0,0,0
4,8,0,75,21,21,21,21,0,0,0,0
4,8,500,76,29,28,29,28,0,0,0,0
0,9,0,41,31,24,21,21,0,0,0,0
0,9,500,41,39,32,32,32,0,0,0,0
4,9,0,74,21,22,21,21,0,0,0,0
4,9,500,72,31,29,28,29,0,0,0,0
