patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,44,37,22,22,23,0,0,0,0
0,1,500,47,45,29,29,29,0,0,0,0
0,2,0,44,39,22,22,22,0,0,0,0
0,2,500,46,44,29,29,29,0,0,0,0
0,3,0,44,39,23,22,22,0,0,0,0
0,3,500,46,44,29,29,29,0,0,0,0
1,3,0,85,23,22,22,22,0,0,0,0
1,3,500,85,29,29,29,29,0,0,0,0
0,4,0,44,40,23,23,22,0,0,0,0
0,4,500,45,45,29,29,29,0,0,0,0
2,4,0,85,23,22,22,22,0,0,0,0
2,4,500,86,29,29,29,29,0,0,0,0
0,5,0,44,36,23,22,22,0,0,0,0
0,5,500,44,44,29,29,29,0,0,0,0
2,5,0,85,22,22,22,22,0,0,0,0
2,5,500,83,29,29,29,29,0,0,0,0
0,6,0,44,40,22,22,22,0,0,0,0
0,6,500,44,45,29,29,29,0,0,0,0
3,6,0,87,23,22,22,22,0,0,0,0
3,6,500,86,29,29,29,29,0,0,0,0
0,7,0,46,38,23,22,22,0,0,0,0
0,7,500,45,46,29,29,29,0,0,0,0
3,7,0,81,23,22,22,22,0,0,0,0
3,7,500,86,29,29,29,29,0,0,0,0
0,8,0,40,39,22,22,22,0,0,0,0
0,8,500,44,47,29,29,29,0,0,0,0
4,8,0,85,23,22,22,23,0,0,0,0
4,8,500,83,30,29,29,29,0,0,0,0
0,9,0,46,38,22,22,22,0,0,0,0
0,9,500,44,48,29,29,29,0,0,0,0
4,9,0,84,22,22,22,22,0,0,0,0
4,9,500,86,29,29,29,29,0,0,0,0
