patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,35,37,24,21,21,0,0,0,0
0,1,500,37,44,26,26,25,0,0,0,0
0,2,0,38,39,21,21,21,0,0,0,0
0,2,500,38,44,26,26,26,0,0,0,0
0,3,0,37,38,21,21,21,0,0,0,0
0,3,500,37,42,28,26,25,0,0,0,0
1,3,0,68,26,21,21,21,0,0,0,0
1,3,500,74,28,26,26,26,0,0,0,0
0,4,0,38,30,27,21,21,0,0,0,0
0,4,500,35,41,28,25,26,0,0,0,0
2,4,0,75,24,21,21,21,0,0,0,0
2,4,500,76,26,26,25,25,0,0,0,0
0,5,0,37,32,26,20,21,0,0,0,0
0,5,500,39,43,26,26,26,0,0,0,0
2,5,0,76,21,21,21,20,0,0,0,0
2,5,500,72,28,25,26,26,0,0,0,0
0,6,0,37,36,23,21,21,0,0,0,0
0,6,500,37,43,26,26,26,0,0,0,0
3,6,0,75,24,21,20,21,0,0,0,0
3,6,500,76,26,26,25,25,0,0,0,0
0,7,0,37,36,23,21,21,0,0,0,0
0,7,500,37,37,28,26,26,0,0,0,0
3,7,0,72,26,21,21,21,0,0,0,0
3,7,500,68,31,25,26,25,0,0,0,0
0,8,0,37,34,26,21,21,0,0,0,0
0,8,500,37,43,26,26,26,0,0,0,0
4,8,0,67,26,21,21,21,0,0,0,0
4,8,500,74,28,26,26,25,0,0,0,0
0,9,0,37,30,26,21,21,0,0,0,0
0,9,500,37,43,26,25,25,0,0,0,0
4,9,0,77,21,20,21,21,0,0,0,0
4,9,500,74,28,25,25,26,0,0,0,0
