patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,78,44,44,43,43,0,0,0,0
0,1,500,80,64,63,63,63,0,0,0,0
0,2,0,79,44,43,43,43,0,0,0,0
0,2,500,80,64,63,63,63,0,0,0,0
0,3,0,80,44,44,43,43,0,0,0,0
0,3,500,80,64,63,64,63,0,0,0,0
1,3,0,127,44,44,43,43,0,0,0,0
1,3,500,123,64,64,64,63,0,0,0,0
0,4,0,80,44,44,43,43,0,0,0,0
0,4,500,79,63,63,63,63,0,0,0,0
2,4,0,126,44,44,43,44,0,0,0,0
2,4,500,127,64,63,63,63,0,0,0,0
0,5,0,78,44,43,43,43,0,0,0,0
0,5,500,81,64,63,63,63,0,0,0,0
2,5,0,126,44,43,44,43,0,0,0,0
2,5,500,125,64,64,63,63,0,0,0,0
0,6,0,78,46,43,43,44,0,0,0,0
0,6,500,79,63,63,63,63,0,0,0,0
3,6,0,126,44,44,43,43,0,0,0,0
3,6,500,127,64,63,63,63,0,0,0,0
0,7,0,80,44,45,43,43,0,0,0,0
0,7,500,73,67,63,63,63,0,0,0,0
3,7,0,128,44,43,43,43,0,0,0,0
3,7,500,127,63,63,64,63,0,0,0,0
0,8,0,80,44,43,43,43,0,0,0,0
0,8,500,80,63,64,63,63,0,0,0,0
4,8,0,126,44,43,44,43,0,0,0,0
4,8,500,126,63,64,63,64,0,0,0,0
0,9,0,78,46,43,43,43,0,0,0,0
0,9,500,79,63,63,63,63,0,0,0,0
4,9,0,126,44,44,44,44,0,0,0,0
4,9,500,126,63,63,63,63,0,0,0,0
