patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,120,84,78,78,78,0,0,0,0
0,1,500,122,107,106,106,106,0,0,0,0
0,2,0,124,82,80,80,80,0,0,0,0
0,2,500,121,106,106,106,105,0,0,0,0
0,3,0,126,81,81,80,80,0,0,0,0
0,3,500,127,108,105,105,105,0,0,0,0
1,3,0,216,82,81,81,80,0,0,0,0
1,3,500,215,108,107,106,107,0,0,0,0
0,4,0,125,82,81,81,81,0,0,0,0
0,4,500,127,107,106,105,105,0,0,0,0
2,4,0,217,81,80,80,80,0,0,0,0
2,4,500,216,107,107,107,106,0,0,0,0
0,5,0,122,82,80,80,80,0,0,0,0
0,5,500,123,108,107,107,108,0,0,0,0
2,5,0,211,82,82,82,82,0,0,0,0
2,5,500,213,109,106,106,106,0,0,0,0
0,6,0,120,82,80,81,81,0,0,0,0
0,6,500,121,107,106,106,105,0,0,0,0
3,6,0,210,83,81,81,81,0,0,0,0
3,6,500,210,107,107,107,106,0,0,0,0
0,7,0,120,82,80,80,80,0,0,0,0
0,7,500,125,108,107,106,106,0,0,0,0
3,7,0,216,82,81,82,80,0,0,0,0
3,7,500,215,107,106,105,105,0,0,0,0
0,8,0,124,82,80,80,80,0,0,0,0
0,8,500,120,106,105,105,104,0,0,0,0
4,8,0,207,82,80,80,80,0,0,0,0
4,8,500,211,107,106,106,105,0,0,0,0
0,9,0,122,81,81,80,80,0,0,0,0
0,9,500,121,108,108,106,107,0,0,0,0
4,9,0,210,82,81,81,81,0,0,0,0
4,9,500,211,107,106,105,105,0,0,0,0
