patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,106,70,70,69,69,0,0,0,0
0,1,500,108,93,93,93,93,0,0,0,0
0,2,0,107,70,69,69,69,0,0,0,0
0,2,500,108,93,93,93,93,0,0,0,0
0,3,0,114,69,69,69,69,0,0,0,0
0,3,500,107,93,93,93,92,0,0,0,0
1,3,0,183,69,69,69,69,0,0,0,0
1,3,500,182,93,93,93,92,0,0,0,0
0,4,0,108,69,69,69,69,0,0,0,0
0,4,500,107,94,93,94,93,0,0,0,0
2,4,0,182,69,69,68,69,0,0,0,0
2,4,500,183,93,93,93,93,0,0,0,0
0,5,0,108,69,69,69,69,0,0,0,0
0,5,500,107,93,93,92,93,0,0,0,0
2,5,0,178,70,69,69,69,0,0,0,0
2,5,500,181,93,93,93,92,0,0,0,0
0,6,0,109,69,69,69,69,0,0,0,0
0,6,500,107,93,93,93,93,0,0,0,0
3,6,0,182,69,68,68,68,0,0,0,0
3,6,500,182,93,93,93,93,0,0,0,0
0,7,0,107,69,69,69,69,0,0,0,0
0,7,500,108,94,93,93,93,0,0,0,0
3,7,0,182,69,69,69,69,0,0,0,0
3,7,500,182,93,93,93,93,0,0,0,0
0,8,0,107,69,69,69,69,0,0,0,0
0,8,500,107,94,93,93,93,0,0,0,0
4,8,0,183,69,68,69,68,0,0,0,0
4,8,500,182,93,93,93,93,0,0,0,0
0,9,0,107,69,69,69,69,0,0,0,0
0,9,500,107,93,93,93,93,0,0,0,0
4,9,0,182,69,69,69,69,0,0,0,0
4,9,500,182,93,93,92,93,0,0,0,0
