patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,47,44,32,32,32,0,0,0,0
0,1,500,54,57,46,46,46,0,0,0,0
0,2,0,51,41,32,32,31,0,0,0,0
0,2,500,53,55,47,46,46,0,0,0,0
0,3,0,53,44,31,32,32,0,0,0,0
0,3,500,56,56,46,46,46,0,0,0,0
1,3,0,99,32,32,32,32,0,0,0,0
1,3,500,98,47,46,46,46,0,0,0,0
0,4,0,56,42,31,32,32,0,0,0,0
0,4,500,53,55,46,46,46,0,0,0,0
2,4,0,99,32,31,31,31,0,0,0,0
2,4,500,98,46,46,46,46,0,0,0,0
0,5,0,53,44,31,32,31,0,0,0,0
0,5,500,49,59,46,46,46,0,0,0,0
2,5,0,92,31,31,32,32,0,0,0,0
2,5,500,99,46,46,46,47,0,0,0,0
0,6,0,53,44,31,32,31,0,0,0,0
0,6,500,54,58,46,46,46,0,0,0,0
3,6,0,100,33,32,32,32,0,0,0,0
3,6,500,100,48,48,47,46,0,0,0,0
0,7,0,57,43,32,32,32,0,0,0,0
0,7,500,59,56,47,47,46,0,0,0,0
3,7,0,100,33,33,32,32,0,0,0,0
3,7,500,101,47,47,47,46,0,0,0,0
0,8,0,55,45,32,33,32,0,0,0,0
0,8,500,56,58,47,46,47,0,0,0,0
4,8,0,100,33,32,32,32,0,0,0,0
4,8,500,101,48,48,47,47,0,0,0,0
0,9,0,57,39,32,32,32,0,0,0,0
0,9,500,55,58,47,47,47,0,0,0,0
4,9,0,100,33,32,32,32,0,0,0,0
4,9,500,100,48,47,47,47,0,0,0,0
