patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,7,7,8,4,4,0,0,0,0
0,500,8,6,6,8,5,0,0,0,0
1,0,109,75,75,74,74,0,0,0,0
1,500,107,86,86,86,85,0,0,0,0
2,0,113,75,74,74,74,0,0,0,0
2,500,104,87,86,85,85,0,0,0,0
3,0,110,74,73,73,74,0,0,0,0
3,500,108,84,80,80,80,0,0,0,0
4,0,103,67,67,67,67,0,0,0,0
4,500,102,81,80,79,79,0,0,0,0
5,0,103,67,67,67,66,0,0,0,0
5,500,102,81,80,80,80,0,0,0,0
6,0,104,67,67,67,67,0,0,0,0
6,500,100,81,79,80,80,0,0,0,0
7,0,103,67,67,67,67,0,0,0,0
7,500,102,81,80,80,80,0,0,0,0
8,0,104,67,67,67,67,0,0,0,0
8,500,102,81,79,80,80,0,0,0,0
9,0,105,67,67,67,67,0,0,0,0
9,500,100,81,80,80,79,0,0,0,0
