patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,11,7,2,2,2,1,1,1,1
0,500,4,2,2,2,4,0,0,0,0
1,0,169,31,51,43,42,1,1,1,1
1,500,49,46,30,30,30,0,0,0,0
2,0,48,43,44,43,43,1,1,1,1
2,500,49,47,31,31,31,0,0,0,0
3,0,45,45,43,43,42,1,1,1,1
3,500,42,42,34,34,34,0,0,0,0
4,0,44,43,43,42,43,1,1,1,1
4,500,42,41,31,30,31,0,0,0,0
5,0,45,40,47,47,47,1,1,1,1
5,500,41,44,30,30,31,0,0,0,0
6,0,45,40,47,47,47,1,1,1,1
6,500,40,43,31,30,30,0,0,0,0
7,0,44,42,47,47,47,1,1,1,1
7,500,42,42,30,30,30,0,0,0,0
8,0,45,40,43,43,42,1,1,1,1
8,500,44,42,30,30,30,0,0,0,0
9,0,45,40,47,47,48,1,1,1,1
9,500,42,41,34,34,34,0,0,0,0
