patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,7,4,2,6,2,1,1,1,1
0,500,5,4,2,6,4,0,0,0,0
1,0,128,27,39,39,39,1,1,1,1
1,500,40,42,27,26,27,0,0,0,0
2,0,39,44,40,39,40,1,1,1,1
2,500,39,43,27,27,28,0,0,0,0
3,0,40,41,40,39,40,1,1,1,1
3,500,39,45,27,27,27,0,0,0,0
4,0,42,42,40,39,39,1,1,1,1
4,500,39,44,27,27,27,0,0,0,0
5,0,43,43,39,40,40,1,1,1,1
5,500,40,45,26,27,27,0,0,0,0
6,0,42,42,40,41,40,1,1,1,1
6,500,40,43,27,27,27,0,0,0,0
7,0,39,42,41,40,40,1,1,1,1
7,500,40,45,27,27,27,0,0,0,0
8,0,39,41,41,40,40,1,1,1,1
8,500,39,44,27,27,27,0,0,0,0
9,0,43,37,41,40,40,1,1,1,1
9,500,40,45,27,27,27,0,0,0,0
