patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,6,3,5,3,3,1,1,1,1
0,500,5,5,3,3,5,0,0,0,0
1,0,104,29,44,43,43,1,1,1,1
1,500,50,47,32,31,32,0,0,0,0
2,0,45,46,44,43,43,1,1,1,1
2,500,44,48,32,32,32,0,0,0,0
3,0,44,42,44,43,44,1,1,1,1
3,500,45,47,32,32,36,0,0,0,0
4,0,43,44,44,43,44,1,1,1,1
4,500,44,47,32,32,32,0,0,0,0
5,0,47,44,43,43,43,1,1,1,1
5,500,45,48,32,32,32,0,0,0,0
6,0,43,42,43,43,43,1,1,1,1
6,500,45,47,32,32,32,0,0,0,0
7,0,44,42,43,43,43,1,1,1,1
7,500,44,47,33,32,32,0,0,0,0
8,0,44,43,44,44,44,1,1,1,1
8,500,45,45,32,32,32,0,0,0,0
9,0,45,42,44,43,43,1,1,1,1
9,500,45,49,32,32,32,0,0,0,0
