patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,6,2,4,4,5,1,1,1,1
0,500,7,3,3,3,3,0,0,0,0
1,0,136,44,73,72,72,1,1,1,1
1,500,81,63,60,60,60,0,0,0,0
2,0,79,44,72,72,72,1,1,1,1
2,500,79,60,60,60,60,0,0,0,0
3,0,79,42,70,70,70,1,1,1,1
3,500,78,59,59,59,59,0,0,0,0
4,0,79,42,70,70,70,1,1,1,1
4,500,78,59,59,59,59,0,0,0,0
5,0,78,42,70,71,70,1,1,1,1
5,500,78,59,59,59,59,0,0,0,0
6,0,78,42,70,70,70,1,1,1,1
6,500,78,59,58,59,59,0,0,0,0
7,0,78,42,70,70,70,1,1,1,1
7,500,78,59,59,59,59,0,0,0,0
8,0,78,42,70,70,69,1,1,1,1
8,500,78,59,59,59,59,0,0,0,0
9,0,81,42,70,70,70,1,1,1,1
9,500,79,59,59,59,59,0,0,0,0
