patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,8,5,5,3,5,1,1,1,1
0,500,5,3,5,5,7,0,0,0,0
1,0,148,50,80,80,79,1,1,1,1
1,500,83,64,62,62,63,0,0,0,0
2,0,86,54,87,87,87,1,1,1,1
2,500,87,63,62,62,62,0,0,0,0
3,0,88,49,79,79,79,1,1,1,1
3,500,85,62,69,62,62,0,0,0,0
4,0,88,49,79,79,79,1,1,1,1
4,500,87,63,62,69,62,0,0,0,0
5,0,88,49,79,80,79,1,1,1,1
5,500,83,63,62,62,79,0,0,0,0
6,0,86,48,79,79,79,1,1,1,1
6,500,88,63,63,62,62,0,0,0,0
7,0,76,48,79,79,79,1,1,1,1
7,500,87,62,62,62,62,0,0,0,0
8,0,87,55,79,79,79,1,1,1,1
8,500,88,62,62,62,62,0,0,0,0
9,0,86,49,86,79,79,1,1,1,1
9,500,87,63,62,62,62,0,0,0,0
