patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,10,3,5,5,5,1,1,1,1
0,500,7,5,2,2,5,0,0,0,0
1,0,172,49,75,74,74,1,1,1,1
1,500,76,50,49,49,49,0,0,0,0
2,0,73,52,74,74,74,1,1,1,1
2,500,69,55,50,50,50,0,0,0,0
3,0,72,51,74,73,73,1,1,1,1
3,500,65,54,50,49,49,0,0,0,0
4,0,73,47,73,73,72,1,1,1,1
4,500,71,49,49,49,49,0,0,0,0
5,0,72,50,73,73,73,1,1,1,1
5,500,71,51,49,49,49,0,0,0,0
6,0,72,50,73,79,73,1,1,1,1
6,500,71,51,49,49,49,0,0,0,0
7,0,71,50,73,73,72,1,1,1,1
7,500,75,57,49,49,49,0,0,0,0
8,0,70,51,72,73,73,1,1,1,1
8,500,75,52,49,49,56,0,0,0,0
9,0,72,52,73,73,73,1,1,1,1
9,500,75,51,48,49,49,0,0,0,0
