patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,7,3,3,5,3,1,1,1,1
0,500,4,3,5,4,2,0,0,0,0
1,0,127,48,87,68,68,1,1,1,1
1,500,70,48,45,45,45,0,0,0,0
2,0,72,51,73,72,69,1,1,1,1
2,500,67,51,46,45,45,0,0,0,0
3,0,69,52,68,69,69,1,1,1,1
3,500,71,50,45,45,45,0,0,0,0
4,0,70,51,69,69,69,1,1,1,1
4,500,76,48,46,46,49,0,0,0,0
5,0,72,50,69,69,69,1,1,1,1
5,500,69,51,46,46,45,0,0,0,0
6,0,69,53,69,75,69,1,1,1,1
6,500,67,51,46,45,46,0,0,0,0
7,0,75,51,69,69,69,1,1,1,1
7,500,70,51,45,45,45,0,0,0,0
8,0,69,52,69,68,69,1,1,1,1
8,500,75,48,45,46,45,0,0,0,0
9,0,81,48,69,69,69,1,1,1,1
9,500,78,46,45,46,45,0,0,0,0
