patch,offset,limit,count-ms,lookup-mus,results
0,0,-0.000002,1.122,6.261,0.005
1,0,-0.000002,6.191,6.261,0.005
2,0,-0.000002,6.194,6.269,0.005
3,0,-0.000002,6.192,6.27,0.005
4,0,-0.000002,6.185,6.283,0.005
5,0,-0.000002,6.186,6.262,0.005
6,0,-0.000002,6.191,6.254,0.005
7,0,-0.000002,6.185,6.254,0.005
8,0,-0.000002,6.19,6.266,0.005
9,0,-0.000002,6.189,6.257,0.005
10,0,-0.000002,6.189,6.255,0.005
11,0,-0.000002,6.187,6.257,0.005
12,0,-0.000002,6.188,6.255,0.005
13,0,-0.000002,6.199,6.249,0.005
14,0,-0.000002,6.22,6.313,0.004
15,0,-0.000002,6.227,6.314,0.004
16,0,-0.000002,6.222,6.31,0.004
17,0,-0.000002,6.217,6.313,0.004
18,0,-0.000002,6.227,6.31,0.002
19,0,-0.000002,6.235,6.319,0.008
20,0,-0.000002,6.217,6.333,0.016
21,0,-0.000002,6.212,6.31,0.008
22,0,-0.000002,6.219,6.316,0.008
23,0,-0.000002,6.226,6.312,0.008
24,0,-0.000002,6.227,6.314,0.003
25,0,-0.000002,6.222,6.313,0.003
26,0,-0.000002,6.216,6.307,0.003
27,0,-0.000002,6.215,6.309,0.003
28,0,-0.000002,6.22,6.312,0.003
29,0,-0.000002,6.22,6.315,0.003
30,0,-0.000002,6.219,6.313,0.006
31,0,-0.000002,6.218,6.319,0.006
32,0,-0.000002,6.241,6.314,0.006
33,0,-0.000002,6.269,6.32,0.041
34,0,-0.000002,6.273,6.32,0.034
35,0,-0.000002,6.267,6.307,0.032
36,0,-0.000002,6.271,6.33,0.041
37,0,-0.000002,6.271,6.308,0.035
38,0,-0.000002,6.274,6.319,0.029
39,0,-0.000002,6.253,6.323,0.018
40,0,-0.000002,6.262,6.296,0.017
41,0,-0.000002,6.485,6.618,0.003
42,0,-0.000002,6.503,6.549,0.002
43,0,-0.000002,7.684,7.66,0.015
44,0,-0.000002,0.02,0.012,0
45,0,-0.000002,15.635,13.954,0.034
46,0,-0.000002,13.346,13.268,0.047
47,0,-0.000002,13.208,13.254,0.055
48,0,-0.000002,12.687,12.704,0.065
49,0,-0.000002,12.361,12.396,0.07
50,0,-0.000002,12.334,12.371,0.079
51,0,-0.000002,12.31,12.369,0.083
52,0,-0.000002,12.303,12.367,0.09
53,0,-0.000002,7.382,12.4,0.097
54,0,-0.000002,7.356,12.411,0.101
55,0,-0.000002,7.327,12.451,0.111
56,0,-0.000002,7.329,12.409,0.122
57,0,-0.000002,7.333,12.418,0.134
58,0,-0.000002,7.466,12.427,0.134
59,0,-0.000002,7.365,12.433,0.135
60,0,-0.000002,7.332,12.452,0.157
61,0,-0.000002,7.354,12.443,0.169
62,0,-0.000002,7.308,12.474,0.174
63,0,-0.000002,7.314,12.48,0.182
64,0,-0.000002,7.488,12.458,0.184
65,0,-0.000002,7.378,12.475,0.185
66,0,-0.000002,7.348,12.427,0.205
67,0,-0.000002,8.437,12.435,0.21
68,0,-0.000002,8.384,12.47,0.214
69,0,-0.000002,7.785,12.458,0.222
70,0,-0.000002,7.493,12.464,0.226
71,0,-0.000002,7.34,12.467,0.236
72,0,-0.000002,7.292,12.483,0.27
73,0,-0.000002,7.468,12.494,0.27
74,0,-0.000002,7.362,12.491,0.278
75,0,-0.000002,7.359,12.494,0.284
76,0,-0.000002,7.407,12.497,0.289
77,0,-0.000002,7.341,12.503,0.3
78,0,-0.000002,7.318,12.514,0.304
79,0,-0.000002,7.317,12.546,0.312
80,0,-0.000002,7.253,12.526,0.317
81,0,-0.000002,7.95,12.535,0.321
82,0,-0.000002,9.838,12.577,0.328
83,0,-0.000002,8.102,12.518,0.332
84,0,-0.000002,7.655,12.549,0.335
85,0,-0.000002,7.494,12.551,0.344
86,0,-0.000002,7.394,12.563,0.344
87,0,-0.000002,9.053,12.555,0.35
88,0,-0.000002,7.32,12.543,0.354
