patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-0.002,6.232,25.393,0.002
0,2,0,-0.002,6.272,25.345,0.012
0,3,0,-0.002,6.223,25.234,0.015
0,4,0,-0.002,6.235,25.25,0.015
0,5,0,-0.002,6.234,25.26,0.017
0,6,0,-0.002,6.236,25.22,0.018
0,7,0,-0.002,6.229,25.256,0.018
0,8,0,-0.002,6.261,25.276,0.02
0,9,0,-0.002,6.243,25.263,0.02
0,10,0,-0.002,6.236,25.238,0.02
0,11,0,-0.002,6.247,25.245,0.02
0,12,0,-0.002,6.249,25.253,0.02
0,13,0,-0.002,6.242,25.32,0.024
0,14,0,-0.002,6.298,25.432,0.179
0,15,0,-0.002,6.28,25.434,0.237
0,16,0,-0.002,6.258,25.452,0.265
0,17,0,-0.002,6.277,25.491,0.297
0,18,0,-0.002,6.267,25.51,0.316
0,19,0,-0.002,6.279,25.521,0.337
0,20,0,-0.002,6.27,25.593,0.346
0,21,0,-0.002,6.258,25.526,0.344
0,22,0,-0.002,6.269,25.529,0.344
0,23,0,-0.002,6.268,25.585,0.386
0,24,0,-0.002,6.269,25.612,0.402
0,25,0,-0.002,6.27,25.602,0.403
0,26,0,-0.002,6.268,25.615,0.404
0,27,0,-0.002,6.27,25.623,0.415
0,28,0,-0.002,6.253,25.614,0.428
0,29,0,-0.002,6.27,25.635,0.461
0,30,0,-0.002,6.268,25.642,0.487
0,31,0,-0.002,6.272,25.653,0.496
0,32,0,-0.002,6.266,25.654,0.5
0,33,0,-0.002,6.328,25.695,0.516
0,34,0,-0.002,6.341,25.687,0.52
0,35,0,-0.002,6.305,25.753,0.531
0,36,0,-0.002,6.308,25.753,0.561
0,37,0,-0.002,6.32,25.78,0.56
0,38,0,-0.002,6.318,25.735,0.571
0,39,0,-0.002,6.313,25.796,0.602
0,40,0,-0.002,6.3,25.755,0.607
0,41,0,-0.002,6.559,25.775,0.6
0,42,0,-0.002,6.557,25.759,0.614
0,43,0,-0.002,7.653,25.816,0.628
0,44,0,-0.002,1.129,25.429,0.486
0,45,0,-0.002,14.384,39.664,0.52
0,46,0,-0.002,13.258,39.689,0.535
0,47,0,-0.002,13.269,39.702,0.543
0,48,0,-0.002,12.697,39.755,0.555
0,49,0,-0.002,12.48,39.848,0.567
0,50,0,-0.002,12.489,40,0.574
0,51,0,-0.002,12.471,40.137,0.578
0,52,0,-0.002,12.462,40.167,0.585
0,53,0,-0.002,7.735,40.15,0.594
0,54,0,-0.002,7.607,40.115,0.603
0,55,0,-0.002,7.542,40.309,0.612
0,56,0,-0.002,7.515,40.367,0.623
0,57,0,-0.002,7.524,40.524,0.634
0,58,0,-0.002,7.476,40.532,0.634
0,59,0,-0.002,7.429,40.568,0.635
0,60,0,-0.002,7.503,40.92,0.658
0,61,0,-0.002,7.443,40.987,0.67
0,62,0,-0.002,7.449,40.978,0.676
0,63,0,-0.002,7.861,41.14,0.685
0,64,0,-0.002,7.541,41.117,0.687
0,65,0,-0.002,7.497,41.176,0.69
0,66,0,-0.002,7.494,41.374,0.713
0,67,0,-0.002,7.453,41.497,0.718
0,68,0,-0.002,7.445,41.536,0.723
0,69,0,-0.002,7.492,41.593,0.731
0,70,0,-0.002,7.531,41.698,0.735
0,71,0,-0.002,7.455,41.706,0.745
0,72,0,-0.002,7.418,42.035,0.779
0,73,0,-0.002,7.386,42.125,0.781
0,74,0,-0.002,7.387,42.174,0.789
0,75,0,-0.002,7.399,42.262,0.795
0,76,0,-0.002,7.412,42.243,0.802
0,77,0,-0.002,7.394,42.364,0.813
0,78,0,-0.002,7.507,42.468,0.818
0,79,0,-0.002,7.471,42.537,0.825
0,80,0,-0.002,7.412,42.604,0.83
0,81,0,-0.002,7.458,42.644,0.835
0,82,0,-0.002,7.428,42.733,0.842
0,83,0,-0.002,7.425,42.816,0.846
0,84,0,-0.002,7.417,42.867,0.849
0,85,0,-0.002,7.362,42.895,0.858
0,86,0,-0.002,7.375,42.906,0.858
0,87,0,-0.002,7.374,42.98,0.864
0,88,0,-0.002,7.374,43.017,0.87
