patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,299,862,0
0,2,0,-2,299,868,0
0,3,0,-2,300,869,0
0,4,0,-2,300,866,0
0,5,0,-2,299,865,0
0,6,0,-2,301,865,0
0,7,0,-2,299,865,0
0,8,0,-2,301,861,0
0,9,0,-2,298,859,0
0,10,0,-2,299,858,0
0,11,0,-2,298,859,0
0,12,0,-2,301,863,0
0,13,0,-2,299,865,0
0,14,0,-2,321,865,1
0,15,0,-2,322,867,1
0,16,0,-2,322,865,3
0,17,0,-2,320,866,5
0,18,0,-2,321,866,5
0,19,0,-2,321,878,5
0,20,0,-2,322,871,5
0,21,0,-2,322,867,7
0,22,0,-2,321,869,7
0,23,0,-2,321,868,8
0,24,0,-2,321,868,8
0,25,0,-2,323,869,9
0,26,0,-2,321,872,9
0,27,0,-2,324,872,11
0,28,0,-2,322,872,12
0,29,0,-2,323,874,12
0,30,0,-2,322,874,14
0,31,0,-2,322,875,14
0,32,0,-2,323,873,14
0,33,0,-2,416,873,15
0,34,0,-2,414,874,16
0,35,0,-2,414,875,16
0,36,0,-2,424,875,16
0,37,0,-2,414,876,16
0,38,0,-2,413,875,16
0,39,0,-2,416,878,18
0,40,0,-2,413,876,18
0,41,0,-2,614,876,17
0,42,0,-2,614,878,19
0,43,0,-2,620,878,20
0,44,0,-2,152,868,15
0,45,0,-2,460,9592,15
0,46,0,-2,464,7854,15
0,47,0,-2,465,7863,15
0,48,0,-2,464,7710,15
0,49,0,-2,465,7069,15
0,50,0,-2,466,6998,16
0,51,0,-2,463,6802,17
0,52,0,-2,464,6687,17
0,53,0,-2,464,6628,17
0,54,0,-2,465,6540,17
0,55,0,-2,465,6513,17
0,56,0,-2,465,6494,17
0,57,0,-2,464,6502,17
0,58,0,-2,464,6528,17
0,59,0,-2,466,6536,17
0,60,0,-2,466,6467,18
0,61,0,-2,466,6501,19
0,62,0,-2,465,6754,19
0,63,0,-2,467,7048,19
0,64,0,-2,469,6809,19
0,65,0,-2,466,6723,19
0,66,0,-2,466,6649,21
0,67,0,-2,466,6630,22
0,68,0,-2,465,6590,22
0,69,0,-2,465,6571,23
0,70,0,-2,469,6568,23
0,71,0,-2,467,6564,23
0,72,0,-2,466,6557,24
0,73,0,-2,466,6574,25
0,74,0,-2,465,6516,26
0,75,0,-2,469,6531,26
0,76,0,-2,467,6554,26
0,77,0,-2,465,6510,26
0,78,0,-2,465,6525,26
0,79,0,-2,467,6528,26
0,80,0,-2,466,6473,27
0,81,0,-2,467,6522,27
0,82,0,-2,467,6521,27
0,83,0,-2,465,6497,27
0,84,0,-2,467,6557,27
0,85,0,-2,466,6574,27
0,86,0,-2,465,6557,27
0,87,0,-2,468,6612,27
0,88,0,-2,467,6556,27
