patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,237,3714,0
0,2,0,-2,238,3642,0
0,3,0,-2,240,3662,0
0,4,0,-2,239,3668,0
0,5,0,-2,239,3648,0
0,6,0,-2,238,3639,0
0,7,0,-2,239,3665,0
0,8,0,-2,238,3672,0
0,9,0,-2,239,3643,0
0,10,0,-2,239,3651,0
0,11,0,-2,240,3667,0
0,12,0,-2,240,3655,0
0,13,0,-2,239,3643,0
0,14,0,-2,239,3680,9
0,15,0,-2,239,3684,14
0,16,0,-2,239,3658,16
0,17,0,-2,239,3666,22
0,18,0,-2,240,3688,22
0,19,0,-2,239,3689,29
0,20,0,-2,240,3666,28
0,21,0,-2,239,3698,32
0,22,0,-2,240,3699,32
0,23,0,-2,239,3694,33
0,24,0,-2,239,3676,36
0,25,0,-2,240,3701,36
0,26,0,-2,239,3702,38
0,27,0,-2,239,3680,40
0,28,0,-2,238,3699,45
0,29,0,-2,240,3706,47
0,30,0,-2,239,3688,48
0,31,0,-2,238,3687,49
0,32,0,-2,241,3708,49
0,33,0,-2,240,3716,51
0,34,0,-2,240,3686,52
0,35,0,-2,313,3696,54
0,36,0,-2,313,3717,57
0,37,0,-2,312,3691,57
0,38,0,-2,312,3698,59
0,39,0,-2,314,3712,61
0,40,0,-2,312,3724,68
0,41,0,-2,949,3712,75
0,42,0,-2,1206,3735,81
0,43,0,-2,1205,3739,82
0,44,0,-2,123,3753,83
0,45,0,-2,2641,6214,83
0,46,0,-2,2608,6233,85
0,47,0,-2,2598,6304,88
0,48,0,-2,2606,6338,90
0,49,0,-2,2603,6406,97
0,50,0,-2,2606,6469,102
0,51,0,-2,2606,6559,104
0,52,0,-2,2611,6595,106
0,53,0,-2,2612,6600,106
0,54,0,-2,2612,6578,108
0,55,0,-2,2615,6576,108
0,56,0,-2,2612,6634,109
0,57,0,-2,2626,6630,109
0,58,0,-2,2609,6594,109
0,59,0,-2,2609,6588,109
0,60,0,-2,2610,6643,110
0,61,0,-2,2611,6643,110
0,62,0,-2,2610,6636,110
0,63,0,-2,2610,6637,113
0,64,0,-2,2612,6639,113
0,65,0,-2,2613,6719,115
0,66,0,-2,2614,6775,119
0,67,0,-2,2616,6758,122
0,68,0,-2,2616,6768,123
0,69,0,-2,2614,6824,123
0,70,0,-2,2617,6850,124
0,71,0,-2,2617,6836,127
0,72,0,-2,2610,6845,129
0,73,0,-2,2611,6909,129
0,74,0,-2,2610,6932,130
0,75,0,-2,2610,6870,131
0,76,0,-2,2611,6879,131
0,77,0,-2,2610,6934,131
0,78,0,-2,2610,6977,131
0,79,0,-2,2609,6873,131
0,80,0,-2,2610,6907,132
0,81,0,-2,2614,6962,133
0,82,0,-2,2615,6953,134
0,83,0,-2,2609,6918,135
0,84,0,-2,2608,6982,137
0,85,0,-2,2613,7005,137
0,86,0,-2,2612,6974,137
0,87,0,-2,2609,6961,138
0,88,0,-2,2612,7024,138
