patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,314,718,0
0,2,0,-2,315,715,0
0,3,0,-2,316,718,0
0,4,0,-2,315,721,0
0,5,0,-2,315,719,0
0,6,0,-2,316,721,0
0,7,0,-2,315,721,0
0,8,0,-2,315,718,0
0,9,0,-2,316,715,0
0,10,0,-2,316,716,0
0,11,0,-2,314,716,0
0,12,0,-2,316,721,0
0,13,0,-2,316,720,0
0,14,0,-2,315,723,3
0,15,0,-2,315,728,3
0,16,0,-2,344,721,5
0,17,0,-2,332,721,5
0,18,0,-2,331,721,5
0,19,0,-2,334,723,5
0,20,0,-2,332,721,5
0,21,0,-2,331,725,7
0,22,0,-2,334,722,7
0,23,0,-2,331,726,11
0,24,0,-2,315,724,10
0,25,0,-2,316,723,10
0,26,0,-2,333,727,11
0,27,0,-2,331,725,11
0,28,0,-2,331,729,11
0,29,0,-2,332,735,11
0,30,0,-2,335,735,11
0,31,0,-2,336,734,11
0,32,0,-2,337,726,11
0,33,0,-2,336,733,11
0,34,0,-2,387,728,13
0,35,0,-2,385,728,13
0,36,0,-2,386,728,13
0,37,0,-2,386,729,13
0,38,0,-2,386,728,13
0,39,0,-2,574,732,17
0,40,0,-2,571,732,17
0,41,0,-2,564,738,18
0,42,0,-2,563,735,17
0,43,0,-2,561,731,17
0,44,0,-2,160,725,16
0,45,0,-2,2070,2411,16
0,46,0,-2,1837,2384,16
0,47,0,-2,1824,2366,16
0,48,0,-2,1812,2363,16
0,49,0,-2,1806,2356,16
0,50,0,-2,1801,2357,16
0,51,0,-2,1793,2358,16
0,52,0,-2,1794,2388,16
0,53,0,-2,1797,2361,16
0,54,0,-2,1795,2353,16
0,55,0,-2,1793,2349,16
0,56,0,-2,1787,2353,16
0,57,0,-2,1790,2338,16
0,58,0,-2,1788,2346,16
0,59,0,-2,1788,2344,16
0,60,0,-2,1789,2342,16
0,61,0,-2,1798,2347,16
0,62,0,-2,1786,2340,16
0,63,0,-2,1793,2356,16
0,64,0,-2,1788,2349,16
0,65,0,-2,1786,2346,16
0,66,0,-2,1804,2429,16
0,67,0,-2,1816,2361,16
0,68,0,-2,1804,2353,16
0,69,0,-2,1795,2349,16
0,70,0,-2,1790,2341,16
0,71,0,-2,1795,2344,16
0,72,0,-2,1787,2341,16
0,73,0,-2,1792,2342,16
0,74,0,-2,1793,2340,16
0,75,0,-2,1786,2352,17
0,76,0,-2,1787,2356,17
0,77,0,-2,1786,2361,17
0,78,0,-2,1789,2358,17
0,79,0,-2,1787,2357,17
0,80,0,-2,1786,2357,17
0,81,0,-2,1784,2354,17
0,82,0,-2,1803,2366,17
0,83,0,-2,1806,2362,17
0,84,0,-2,1792,2353,17
0,85,0,-2,1797,2362,17
0,86,0,-2,1789,2353,17
0,87,0,-2,1789,2359,17
0,88,0,-2,1785,2352,17
