patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,93,120,0
1,0,-2,93,120,0
2,0,-2,93,119,0
3,0,-2,92,121,0
4,0,-2,93,119,0
5,0,-2,92,120,0
6,0,-2,94,120,0
7,0,-2,93,121,0
8,0,-2,94,120,0
9,0,-2,93,119,0
10,0,-2,92,122,0
11,0,-2,93,120,0
12,0,-2,92,120,0
13,0,-2,93,120,0
14,0,-2,93,121,0
15,0,-2,93,120,0
16,0,-2,93,121,0
17,0,-2,95,119,0
18,0,-2,92,121,0
19,0,-2,101,120,0
20,0,-2,83,93,0
21,0,-2,86,93,0
22,0,-2,83,93,0
23,0,-2,83,93,0
24,0,-2,85,92,0
25,0,-2,84,93,0
26,0,-2,83,94,0
27,0,-2,83,93,0
28,0,-2,83,93,0
29,0,-2,84,93,0
30,0,-2,84,93,0
31,0,-2,83,93,0
32,0,-2,83,93,0
33,0,-2,83,93,0
34,0,-2,83,93,0
35,0,-2,84,94,0
36,0,-2,83,92,0
37,0,-2,83,93,0
38,0,-2,84,93,0
39,0,-2,84,93,0
40,0,-2,84,93,0
41,0,-2,84,93,0
42,0,-2,84,93,0
43,0,-2,98,93,0
44,0,-2,12,11,0
45,0,-2,110,105,0
46,0,-2,96,106,0
47,0,-2,96,104,0
48,0,-2,96,104,0
49,0,-2,96,105,0
50,0,-2,95,107,0
51,0,-2,96,105,0
52,0,-2,97,107,2
53,0,-2,97,108,2
54,0,-2,97,108,2
55,0,-2,97,107,2
56,0,-2,96,107,2
57,0,-2,97,107,2
58,0,-2,97,108,2
59,0,-2,97,107,2
60,0,-2,96,107,2
61,0,-2,96,107,2
62,0,-2,96,108,2
63,0,-2,97,107,2
64,0,-2,98,107,2
65,0,-2,97,108,2
66,0,-2,97,107,2
67,0,-2,101,109,2
68,0,-2,99,109,2
69,0,-2,98,110,2
70,0,-2,99,109,2
71,0,-2,98,109,2
72,0,-2,99,109,2
73,0,-2,99,110,2
74,0,-2,98,109,2
75,0,-2,98,110,2
76,0,-2,98,109,2
77,0,-2,99,110,2
78,0,-2,99,109,2
79,0,-2,98,110,2
80,0,-2,98,109,2
81,0,-2,113,109,2
82,0,-2,100,109,2
83,0,-2,98,109,2
84,0,-2,98,109,2
85,0,-2,99,109,2
86,0,-2,99,109,2
87,0,-2,99,109,2
88,0,-2,98,109,2
