patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,205,235,0
1,0,-2,206,237,0
2,0,-2,205,235,0
3,0,-2,205,236,0
4,0,-2,207,235,0
5,0,-2,205,235,0
6,0,-2,206,236,0
7,0,-2,205,235,0
8,0,-2,206,237,0
9,0,-2,206,235,0
10,0,-2,205,236,0
11,0,-2,209,236,0
12,0,-2,205,235,0
13,0,-2,207,235,0
14,0,-2,206,236,0
15,0,-2,208,236,0
16,0,-2,208,217,0
17,0,-2,205,237,0
18,0,-2,206,235,0
19,0,-2,206,237,0
20,0,-2,205,235,0
21,0,-2,205,235,0
22,0,-2,206,235,0
23,0,-2,206,233,0
24,0,-2,210,218,0
25,0,-2,208,217,0
26,0,-2,208,219,0
27,0,-2,208,217,0
28,0,-2,209,219,0
29,0,-2,209,218,0
30,0,-2,208,219,0
31,0,-2,206,216,0
32,0,-2,207,217,0
33,0,-2,219,215,0
34,0,-2,206,215,0
35,0,-2,208,215,0
36,0,-2,206,215,0
37,0,-2,207,226,0
38,0,-2,206,216,0
39,0,-2,207,216,0
40,0,-2,206,215,0
41,0,-2,206,217,0
42,0,-2,206,215,0
43,0,-2,224,217,0
44,0,-2,13,11,0
45,0,-2,6166,4040,0
46,0,-2,4029,3999,0
47,0,-2,3957,3947,0
48,0,-2,3789,3631,0
49,0,-2,3553,3478,0
50,0,-2,3452,3414,0
51,0,-2,3397,3380,0
52,0,-2,3413,3374,0
53,0,-2,3365,3334,0
54,0,-2,3319,3313,0
55,0,-2,3302,3312,1
56,0,-2,3325,3307,1
57,0,-2,3296,3296,1
58,0,-2,3307,3302,1
59,0,-2,3318,3299,1
60,0,-2,3286,3289,1
61,0,-2,3280,3279,1
62,0,-2,3387,3352,1
63,0,-2,3321,3314,1
64,0,-2,3328,3328,1
65,0,-2,3326,3322,1
66,0,-2,3317,3305,1
67,0,-2,3323,3317,1
68,0,-2,3305,3314,1
69,0,-2,3281,3291,1
70,0,-2,3275,3302,1
71,0,-2,3298,3288,1
72,0,-2,3267,3292,1
73,0,-2,3368,3313,1
74,0,-2,3315,3294,1
75,0,-2,3278,3288,1
76,0,-2,3272,3299,1
77,0,-2,3294,3288,1
78,0,-2,3271,3280,1
79,0,-2,3286,3287,1
80,0,-2,3276,3279,1
81,0,-2,3294,3304,1
82,0,-2,3273,3315,1
83,0,-2,3313,3318,1
84,0,-2,3282,3289,1
85,0,-2,3264,3281,1
86,0,-2,3289,3287,1
87,0,-2,3258,3276,1
88,0,-2,3268,3309,1
