patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,189,198,0
1,0,-2,191,198,0
2,0,-2,190,199,0
3,0,-2,190,199,0
4,0,-2,190,200,0
5,0,-2,190,198,0
6,0,-2,190,200,0
7,0,-2,189,199,0
8,0,-2,189,200,0
9,0,-2,189,199,0
10,0,-2,190,200,0
11,0,-2,190,198,0
12,0,-2,190,200,0
13,0,-2,190,199,0
14,0,-2,189,200,0
15,0,-2,190,199,0
16,0,-2,189,201,1
17,0,-2,189,200,1
18,0,-2,189,202,1
19,0,-2,190,199,1
20,0,-2,194,208,1
21,0,-2,190,200,1
22,0,-2,205,202,1
23,0,-2,210,221,3
24,0,-2,210,222,3
25,0,-2,210,221,3
26,0,-2,210,222,3
27,0,-2,211,221,3
28,0,-2,211,221,3
29,0,-2,211,221,3
30,0,-2,210,221,3
31,0,-2,211,221,3
32,0,-2,210,221,3
33,0,-2,210,223,3
34,0,-2,210,221,3
35,0,-2,210,226,3
36,0,-2,210,221,3
37,0,-2,210,222,3
38,0,-2,211,222,3
39,0,-2,210,222,4
40,0,-2,211,221,3
41,0,-2,210,221,3
42,0,-2,210,217,0
43,0,-2,212,217,0
44,0,-2,13,11,0
45,0,-2,6117,4057,0
46,0,-2,3987,3974,0
47,0,-2,3984,3785,0
48,0,-2,3673,3614,0
49,0,-2,3519,3459,0
50,0,-2,3430,3429,0
51,0,-2,3443,3394,0
52,0,-2,3357,3352,0
53,0,-2,3342,3359,0
54,0,-2,3363,3347,0
55,0,-2,3331,3358,0
56,0,-2,3362,3399,0
57,0,-2,3372,3342,0
58,0,-2,3311,3313,0
59,0,-2,3303,3335,0
60,0,-2,3335,3315,0
61,0,-2,3294,3291,0
62,0,-2,3293,3322,0
63,0,-2,3324,3339,0
64,0,-2,3312,3299,0
65,0,-2,3301,3311,0
66,0,-2,3308,3288,0
67,0,-2,3275,3277,0
68,0,-2,3268,3333,0
69,0,-2,3340,3319,0
70,0,-2,3395,3328,0
71,0,-2,3292,3394,0
72,0,-2,3346,3329,0
73,0,-2,3300,3295,0
74,0,-2,3283,3298,0
75,0,-2,3320,3311,1
76,0,-2,3276,3268,1
77,0,-2,3258,3284,1
78,0,-2,3292,3318,1
79,0,-2,3295,3287,1
80,0,-2,3292,3303,1
81,0,-2,3316,3314,1
82,0,-2,3285,3274,1
83,0,-2,3284,3292,1
84,0,-2,3288,3305,1
85,0,-2,3281,3302,1
86,0,-2,3350,3324,1
87,0,-2,3304,3328,1
88,0,-2,3319,3282,1
