patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,179,189,0
1,0,-2,180,194,0
2,0,-2,180,189,0
3,0,-2,192,189,0
4,0,-2,180,194,0
5,0,-2,180,189,0
6,0,-2,179,189,0
7,0,-2,181,189,0
8,0,-2,179,190,0
9,0,-2,180,189,0
10,0,-2,180,189,0
11,0,-2,179,189,0
12,0,-2,179,189,0
13,0,-2,180,189,0
14,0,-2,180,190,0
15,0,-2,180,188,0
16,0,-2,179,191,0
17,0,-2,180,189,0
18,0,-2,179,190,0
19,0,-2,180,189,0
20,0,-2,181,188,0
21,0,-2,180,189,0
22,0,-2,181,189,0
23,0,-2,180,189,0
24,0,-2,180,189,0
25,0,-2,179,190,0
26,0,-2,179,189,0
27,0,-2,180,191,0
28,0,-2,179,189,0
29,0,-2,179,190,0
30,0,-2,180,189,0
31,0,-2,179,191,0
32,0,-2,180,189,0
33,0,-2,181,189,0
34,0,-2,180,189,0
35,0,-2,181,189,0
36,0,-2,169,185,0
37,0,-2,180,188,0
38,0,-2,179,188,0
39,0,-2,180,188,0
40,0,-2,178,188,0
41,0,-2,179,188,0
42,0,-2,180,190,0
43,0,-2,206,188,0
44,0,-2,13,11,0
45,0,-2,10633,9108,0
46,0,-2,8533,8081,0
47,0,-2,7867,7684,0
48,0,-2,7557,7543,0
49,0,-2,7428,7355,0
50,0,-2,7318,7250,0
51,0,-2,7298,7281,0
52,0,-2,7217,7222,0
53,0,-2,7206,7194,0
54,0,-2,7200,7157,0
55,0,-2,7194,7187,0
56,0,-2,7168,7159,0
57,0,-2,7163,7116,0
58,0,-2,7194,7144,0
59,0,-2,7115,7158,0
60,0,-2,7138,7144,0
61,0,-2,7150,7119,0
62,0,-2,7138,7189,0
63,0,-2,7168,7152,0
64,0,-2,7137,7125,0
65,0,-2,7170,7176,0
66,0,-2,7116,7133,0
67,0,-2,8437,9081,0
68,0,-2,8384,7961,0
69,0,-2,7785,7592,0
70,0,-2,7493,7461,0
71,0,-2,7340,7351,0
72,0,-2,7290,7248,0
73,0,-2,7287,7252,0
74,0,-2,7187,7211,0
75,0,-2,7158,7211,0
76,0,-2,7206,7202,0
77,0,-2,7201,7193,0
78,0,-2,7159,7206,0
79,0,-2,7184,7153,0
80,0,-2,7146,7101,0
81,0,-2,7133,7122,0
82,0,-2,7102,7202,0
83,0,-2,7217,7180,0
84,0,-2,7285,7219,0
85,0,-2,7152,7186,0
86,0,-2,7134,7134,0
87,0,-2,7137,7116,0
88,0,-2,7118,7139,0
