patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,131,161,0
1,0,-2,131,162,0
2,0,-2,131,160,0
3,0,-2,132,160,0
4,0,-2,131,161,0
5,0,-2,131,162,0
6,0,-2,133,160,0
7,0,-2,132,160,0
8,0,-2,133,160,0
9,0,-2,132,161,0
10,0,-2,132,161,0
11,0,-2,136,159,0
12,0,-2,132,162,0
13,0,-2,131,159,0
14,0,-2,133,159,0
15,0,-2,132,161,0
16,0,-2,133,159,0
17,0,-2,132,162,0
18,0,-2,132,159,0
19,0,-2,131,160,0
20,0,-2,132,163,0
21,0,-2,132,162,0
22,0,-2,133,159,0
23,0,-2,132,160,0
24,0,-2,132,161,0
25,0,-2,132,160,0
26,0,-2,131,160,0
27,0,-2,131,161,0
28,0,-2,132,161,0
29,0,-2,132,160,0
30,0,-2,133,160,0
31,0,-2,155,162,0
32,0,-2,148,177,0
33,0,-2,148,178,0
34,0,-2,148,176,0
35,0,-2,173,177,0
36,0,-2,207,218,0
37,0,-2,208,216,0
38,0,-2,207,216,0
39,0,-2,208,216,0
40,0,-2,206,216,0
41,0,-2,207,217,0
42,0,-2,207,216,0
43,0,-2,228,219,0
44,0,-2,13,11,0
45,0,-2,541,502,0
46,0,-2,487,499,0
47,0,-2,496,498,0
48,0,-2,489,499,0
49,0,-2,488,499,0
50,0,-2,487,499,0
51,0,-2,489,498,0
52,0,-2,489,499,0
53,0,-2,488,499,0
54,0,-2,488,499,0
55,0,-2,489,498,0
56,0,-2,489,498,0
57,0,-2,489,499,0
58,0,-2,487,499,0
59,0,-2,489,498,0
60,0,-2,489,498,0
61,0,-2,488,499,0
62,0,-2,488,499,0
63,0,-2,493,498,0
64,0,-2,489,498,0
65,0,-2,489,499,0
66,0,-2,488,499,0
67,0,-2,488,498,0
68,0,-2,489,498,0
69,0,-2,489,499,0
70,0,-2,487,499,0
71,0,-2,488,500,0
72,0,-2,489,498,0
73,0,-2,489,504,0
74,0,-2,491,499,0
75,0,-2,488,499,0
76,0,-2,489,498,0
77,0,-2,489,499,0
78,0,-2,488,499,0
79,0,-2,487,499,0
80,0,-2,488,498,0
81,0,-2,489,498,0
82,0,-2,489,499,0
83,0,-2,488,499,0
84,0,-2,489,498,0
85,0,-2,489,498,0
86,0,-2,489,500,0
87,0,-2,487,499,0
88,0,-2,489,498,0
