patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,72,84,0
1,0,-2,73,82,0
2,0,-2,73,82,0
3,0,-2,72,82,0
4,0,-2,73,83,0
5,0,-2,73,83,0
6,0,-2,73,82,0
7,0,-2,73,83,0
8,0,-2,73,82,0
9,0,-2,73,82,0
10,0,-2,74,82,0
11,0,-2,73,82,0
12,0,-2,73,82,0
13,0,-2,73,82,0
14,0,-2,73,82,0
15,0,-2,74,82,0
16,0,-2,73,83,0
17,0,-2,73,82,0
18,0,-2,73,82,0
19,0,-2,72,82,0
20,0,-2,75,82,0
21,0,-2,72,82,0
22,0,-2,87,91,0
23,0,-2,73,82,0
24,0,-2,73,82,0
25,0,-2,74,82,0
26,0,-2,73,82,0
27,0,-2,73,82,0
28,0,-2,73,82,0
29,0,-2,73,82,0
30,0,-2,75,83,0
31,0,-2,73,82,0
32,0,-2,73,82,0
33,0,-2,73,82,0
34,0,-2,73,82,0
35,0,-2,74,82,0
36,0,-2,73,82,0
37,0,-2,73,82,0
38,0,-2,73,82,0
39,0,-2,73,82,0
40,0,-2,74,82,0
41,0,-2,73,82,0
42,0,-2,73,82,0
43,0,-2,76,82,0
44,0,-2,12,11,0
45,0,-2,719,748,27
46,0,-2,712,747,27
47,0,-2,718,746,27
48,0,-2,712,746,27
49,0,-2,714,747,27
50,0,-2,712,746,27
51,0,-2,710,746,27
52,0,-2,712,746,27
53,0,-2,711,745,27
54,0,-2,712,745,27
55,0,-2,712,745,27
56,0,-2,711,743,27
57,0,-2,710,745,27
58,0,-2,713,746,27
59,0,-2,710,745,27
60,0,-2,713,746,27
61,0,-2,712,746,27
62,0,-2,712,744,27
63,0,-2,710,744,27
64,0,-2,712,745,27
65,0,-2,710,745,27
66,0,-2,712,746,27
67,0,-2,711,745,27
68,0,-2,709,745,27
69,0,-2,710,745,27
70,0,-2,716,745,27
71,0,-2,710,744,27
72,0,-2,711,745,27
73,0,-2,710,744,27
74,0,-2,708,745,27
75,0,-2,710,744,27
76,0,-2,709,744,27
77,0,-2,711,745,27
78,0,-2,710,744,27
79,0,-2,710,744,27
80,0,-2,709,744,27
81,0,-2,709,744,27
82,0,-2,710,745,27
83,0,-2,712,745,27
84,0,-2,711,745,27
85,0,-2,709,744,27
86,0,-2,711,745,27
87,0,-2,710,745,27
88,0,-2,711,745,27
