patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,861,909,0
1,0,-2,860,909,0
2,0,-2,861,909,0
3,0,-2,861,911,0
4,0,-2,861,910,0
5,0,-2,862,910,0
6,0,-2,861,908,0
7,0,-2,862,910,0
8,0,-2,863,909,0
9,0,-2,863,910,0
10,0,-2,862,908,0
11,0,-2,862,908,0
12,0,-2,862,908,0
13,0,-2,861,909,0
14,0,-2,864,909,0
15,0,-2,863,910,0
16,0,-2,863,885,0
17,0,-2,862,877,0
18,0,-2,873,875,0
19,0,-2,1514,1523,2
20,0,-2,1514,1525,2
21,0,-2,1514,1524,2
22,0,-2,1513,1524,2
23,0,-2,1513,1524,2
24,0,-2,1516,1523,2
25,0,-2,1511,1523,2
26,0,-2,1511,1522,2
27,0,-2,1510,1521,2
28,0,-2,1511,1521,2
29,0,-2,1509,1551,2
30,0,-2,1511,1523,2
31,0,-2,1515,1521,2
32,0,-2,1509,1521,1
33,0,-2,1509,1521,2
34,0,-2,1508,1518,2
35,0,-2,1508,1519,2
36,0,-2,1508,1518,2
37,0,-2,1507,1517,2
38,0,-2,1507,1515,0
39,0,-2,1508,1515,0
40,0,-2,1506,1515,0
41,0,-2,1506,1515,0
42,0,-2,1507,1517,0
43,0,-2,1529,1516,0
44,0,-2,12,12,0
45,0,-2,1650,1636,1
46,0,-2,1625,1635,1
47,0,-2,1626,1637,2
48,0,-2,1626,1635,1
49,0,-2,1627,1646,2
50,0,-2,1638,1636,1
51,0,-2,1625,1636,1
52,0,-2,1627,1636,1
53,0,-2,1628,1637,2
54,0,-2,1626,1636,0
55,0,-2,1629,1639,2
56,0,-2,1628,1638,1
57,0,-2,1628,1639,1
58,0,-2,1628,1637,1
59,0,-2,1627,1638,1
60,0,-2,1630,1640,2
61,0,-2,1630,1639,1
62,0,-2,1630,1642,2
63,0,-2,1631,1641,2
64,0,-2,1633,1642,2
65,0,-2,1631,1640,0
66,0,-2,1630,1639,0
67,0,-2,1631,1642,1
68,0,-2,1632,1641,1
69,0,-2,1631,1641,1
70,0,-2,1635,1643,1
71,0,-2,1633,1643,1
72,0,-2,1633,1643,1
73,0,-2,1631,1642,1
74,0,-2,1633,1641,1
75,0,-2,1631,1642,1
76,0,-2,1633,1642,1
77,0,-2,1635,1642,1
78,0,-2,1634,1642,1
79,0,-2,1634,1643,1
80,0,-2,1633,1641,0
81,0,-2,1632,1642,0
82,0,-2,1632,1643,1
83,0,-2,1632,1643,1
84,0,-2,1632,1641,0
85,0,-2,1633,1643,0
86,0,-2,1633,1641,0
87,0,-2,1631,1641,0
88,0,-2,1632,1642,0
