patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,245,261,0
1,0,-2,244,263,0
2,0,-2,246,261,0
3,0,-2,245,261,0
4,0,-2,244,263,0
5,0,-2,246,263,0
6,0,-2,245,261,0
7,0,-2,245,261,0
8,0,-2,245,261,0
9,0,-2,245,262,0
10,0,-2,246,261,0
11,0,-2,245,261,0
12,0,-2,245,272,0
13,0,-2,248,241,0
14,0,-2,248,262,0
15,0,-2,244,263,0
16,0,-2,247,262,0
17,0,-2,245,260,0
18,0,-2,245,262,0
19,0,-2,263,260,0
20,0,-2,263,262,0
21,0,-2,264,261,0
22,0,-2,264,260,0
23,0,-2,263,262,0
24,0,-2,262,259,0
25,0,-2,261,258,0
26,0,-2,260,260,0
27,0,-2,262,259,0
28,0,-2,261,258,0
29,0,-2,261,279,0
30,0,-2,262,279,0
31,0,-2,261,278,0
32,0,-2,260,282,0
33,0,-2,275,278,0
34,0,-2,260,256,0
35,0,-2,259,258,0
36,0,-2,256,262,0
37,0,-2,258,256,0
38,0,-2,259,257,0
39,0,-2,259,255,0
40,0,-2,258,256,0
41,0,-2,258,257,0
42,0,-2,260,255,0
43,0,-2,282,255,0
44,0,-2,6,5,0
45,0,-2,98,93,0
46,0,-2,96,93,0
47,0,-2,95,92,0
48,0,-2,93,93,0
49,0,-2,94,93,0
50,0,-2,96,93,0
51,0,-2,95,93,0
52,0,-2,94,93,0
53,0,-2,94,92,0
54,0,-2,94,93,0
55,0,-2,94,93,1
56,0,-2,93,93,1
57,0,-2,93,93,1
58,0,-2,93,94,1
59,0,-2,93,93,1
60,0,-2,93,93,1
61,0,-2,93,93,1
62,0,-2,108,103,1
63,0,-2,94,93,1
64,0,-2,96,94,1
65,0,-2,93,93,1
66,0,-2,93,94,1
67,0,-2,94,93,1
68,0,-2,94,93,1
69,0,-2,93,93,1
70,0,-2,93,93,1
71,0,-2,94,93,1
72,0,-2,93,93,1
73,0,-2,93,93,1
74,0,-2,93,93,1
75,0,-2,94,93,1
76,0,-2,93,93,1
77,0,-2,94,93,1
78,0,-2,93,93,1
79,0,-2,93,94,1
80,0,-2,94,93,1
81,0,-2,93,92,1
82,0,-2,92,93,1
83,0,-2,93,94,1
84,0,-2,94,92,1
85,0,-2,92,92,1
86,0,-2,94,93,1
87,0,-2,93,92,1
88,0,-2,94,92,1
