versionstart,versionend,ms
0,0,0.000632653
0,1,0.00285714
0,2,0.00516327
0,3,0.00569388
0,4,0.00712245
0,5,0.00804082
0,6,0.00918367
0,7,0.00942857
0,8,0.0111633
0,9,0.0118776
0,10,0.0135102
0,11,0.0130204
0,12,0.0147551
0,13,0.0159592
0,14,0.0357347
0,15,0.0406154
0,16,0.0454615
0,17,0.0500769
0,18,0.0538462
0,19,0.0538462
0,20,0.0631538
0,21,0.067
0,22,0.0685385
0,23,0.0780769
0,24,0.0723077
0,25,0.0781538
0,26,0.0868462
0,27,0.0884615
0,28,0.0908462
0,29,0.0982308
0,30,0.0998462
0,31,0.104846
0,32,0.117538
0,33,0.129923
0,34,0.123308
0,35,0.126308
0,36,0.139615
0,37,0.142615
0,38,0.139692
0,39,0.147615
0,40,0.155538
0,41,0.151
0,42,0.155077
0,43,0.158538
0,44,0.175692
0,45,0.172
0,46,0.179385
0,47,0.179769
0,48,0.187692
0,49,0.198308
0,50,0.201462
0,51,0.198769
0,52,0.204231
0,53,0.217769
0,54,0.216923
0,55,0.227615
0,56,0.229231
0,57,0.228692
0,58,0.234615
0,59,0.235769
0,60,0.236923
0,61,0.243846
0,62,0.244846
0,63,0.256615
0,64,0.256692
0,65,0.258923
0,66,0.266
0,67,0.268462
0,68,0.279
0,69,0.282388
0,70,0.28551
0,71,0.292846
0,72,0.289769
0,73,0.294077
0,74,0.294673
0,75,0.302633
0,76,0.301082
0,77,0.304837
0,78,0.305898
0,79,0.31102
0,80,0.313102
0,81,0.316408
0,82,0.316796
0,83,0.32549
0,84,0.328469
0,85,0.329306
0,86,0.332327
0,87,0.335327
