versionstart,versionend,ms
0,0,0.00107692
0,1,0.00823077
0,2,0.0108462
0,3,0.015
0,4,0.0178462
0,5,0.0191538
0,6,0.0233077
0,7,0.0264615
0,8,0.0303846
0,9,0.0326923
0,10,0.0368462
0,11,0.0410769
0,12,0.0435385
0,13,0.048
0,14,0.0550769
0,15,0.0592308
0,16,0.0655385
0,17,0.071
0,18,0.0742308
0,19,0.081
0,20,0.0841538
0,21,0.0903846
0,22,0.0930769
0,23,0.102462
0,24,0.104538
0,25,0.110462
0,26,0.112846
0,27,0.116462
0,28,0.124154
0,29,0.130923
0,30,0.136231
0,31,0.141846
0,32,0.147923
0,33,0.155692
0,34,0.162154
0,35,0.167769
0,36,0.172385
0,37,0.179769
0,38,0.184538
0,39,0.190308
0,40,0.195538
0,41,0.201077
0,42,0.206308
0,43,0.211
0,44,0.216692
0,45,0.222462
0,46,0.226308
0,47,0.235154
0,48,0.238615
0,49,0.242538
0,50,0.245154
0,51,0.249846
0,52,0.255923
0,53,0.265231
0,54,0.269154
0,55,0.272769
0,56,0.279308
0,57,0.286077
0,58,0.295615
0,59,0.300538
0,60,0.300154
0,61,0.319308
0,62,0.316692
0,63,0.325077
0,64,0.327846
0,65,0.336231
0,66,0.341
0,67,0.344385
0,68,0.352077
0,69,0.361769
0,70,0.362692
0,71,0.370615
0,72,0.382077
0,73,0.385615
0,74,0.386846
0,75,0.398615
0,76,0.398615
0,77,0.404846
0,78,0.414077
0,79,0.417231
0,80,0.426769
0,81,0.425308
0,82,0.429846
0,83,0.438769
0,84,0.449769
0,85,0.461615
0,86,0.463308
0,87,0.465
