version,ms
0,0.039
1,0.0350769
2,0.0450769
3,0.0503077
4,0.05
5,0.0487692
6,0.0492308
7,0.0666154
8,0.0646154
9,0.0750769
10,0.0774615
11,0.0856923
12,0.0826154
13,0.0924615
14,0.093
15,0.0988462
16,0.101615
17,0.111
18,0.0984615
19,0.113308
20,0.119538
21,0.121077
22,0.116385
23,0.125077
24,0.141769
25,0.145538
26,0.132692
27,0.147923
28,0.159308
29,0.176692
30,0.166692
31,0.169231
32,0.188385
33,0.204385
34,0.202769
35,0.205231
36,0.221231
37,0.227923
38,0.207692
39,0.224231
40,0.231769
41,0.239077
42,0.239077
43,0.246692
44,0.261154
45,0.274923
46,0.273846
47,0.284462
48,0.277769
49,0.272231
50,0.286
51,0.287231
52,0.292615
53,0.297615
54,0.309231
55,0.317769
56,0.320154
57,0.325923
58,0.324308
59,0.332692
60,0.344231
61,0.344462
62,0.348615
63,0.352385
64,0.359846
65,0.363769
66,0.371538
67,0.376077
68,0.376923
69,0.383231
70,0.393
71,0.394769
72,0.403154
73,0.406462
74,0.411615
75,0.403
76,0.393615
77,0.401923
78,0.409154
79,0.407385
80,0.409462
81,0.421077
82,0.425692
83,0.438538
84,0.428385
85,0.435077
86,0.437615
87,0.442
