version,ms
0,0.015
1,0.013
2,0.0123077
3,0.0123077
4,0.0122308
5,0.0114615
6,0.012
7,0.0123077
8,0.0116154
9,0.0117692
10,0.0117692
11,0.0116923
12,0.0110769
13,0.0132308
14,0.0128462
15,0.0133846
16,0.0127692
17,0.0131538
18,0.0110769
19,0.0126154
20,0.0103846
21,0.0116154
22,0.0120769
23,0.012
24,0.0120769
25,0.0115385
26,0.0120769
27,0.0125385
28,0.0114615
29,0.0106923
30,0.0116154
31,0.0115385
32,0.0126923
33,0.0119231
34,0.0118462
35,0.0112308
36,0.011
37,0.0113077
38,0.0119231
39,0.0120769
40,0.0120769
41,0.0118462
42,0.0115385
43,0.0132308
44,0.0107692
45,0.0103077
46,0.011
47,0.0113077
48,0.0109231
49,0.0109231
50,0.0116923
51,0.0114615
52,0.0106923
53,0.0106154
54,0.0114615
55,0.012
56,0.01
57,0.0103077
58,0.0113077
59,0.0108462
60,0.00992308
61,0.011
62,0.0106923
63,0.0109231
64,0.0105385
65,0.0113077
66,0.00984615
67,0.011
68,0.0111538
69,0.0110769
70,0.0110769
71,0.0104615
72,0.0113846
73,0.0101538
74,0.0106154
75,0.011
76,0.0102308
77,0.0104615
78,0.00961538
79,0.0105385
80,0.0103846
81,0.0106923
82,0.0106154
83,0.0106154
84,0.0110769
85,0.0110769
86,0.0109231
87,0.0106154
