<version>,<mean_time>,<total>
0,0.0939184,4.602
1,0.0904082,4.43
2,0.091898,4.503
3,0.0914082,4.479
4,0.0876735,4.296
5,0.0887959,4.351
6,0.086551,4.241
7,0.0871429,4.27
8,0.0875102,4.288
9,0.0867551,4.251
10,0.0906531,4.442
11,0.0879388,4.309
12,0.0873265,4.279
13,0.0921633,4.516
14,0.091551,4.486
15,0.0944286,4.627
16,0.094551,4.633
17,0.0941429,4.613
18,0.0934082,4.577
19,0.096551,4.731
20,0.0949592,4.653
21,0.0940816,4.61
22,0.0951837,4.664
23,0.0974082,4.773
24,0.0945102,4.631
25,0.095,4.655
26,0.098898,4.846
27,0.0977959,4.792
28,0.0980204,4.803
29,0.0968163,4.744
30,0.100735,4.936
31,0.0970612,4.756
32,0.0973061,4.768
33,0.0981429,4.809
34,0.0992857,4.865
35,0.101898,4.993
36,0.101592,4.978
37,0.0997143,4.886
38,0.101347,4.966
39,0.104102,5.101
40,0.0994694,4.874
41,0.104612,5.126
42,0.102939,5.044
43,0.103408,5.067
44,0.11,5.39
45,0.108633,5.323
46,0.107694,5.277
47,0.107796,5.282
48,0.110245,5.402
49,0.108673,5.325
50,0.10749,5.267
51,0.107571,5.271
52,0.109184,5.35
53,0.110306,5.405
54,0.110939,5.436
55,0.109469,5.364
56,0.113796,5.576
57,0.112184,5.497
58,0.10951,5.366
59,0.109816,5.381
60,0.11102,5.44
61,0.11202,5.489
62,0.110612,5.42
63,0.112102,5.493
64,0.112429,5.509
65,0.111102,5.444
66,0.110571,5.418
67,0.112102,5.493
68,0.110694,5.424
69,0.114306,5.601
70,0.110837,5.431
71,0.109837,5.382
72,0.113041,5.539
73,0.113878,5.58
74,0.112878,5.531
75,0.112041,5.49
76,0.113347,5.554
77,0.112939,5.534
78,0.110265,5.403
79,0.113694,5.571
80,0.115224,5.646
81,0.113265,5.55
82,0.112633,5.519
83,0.110735,5.426
84,0.116122,5.69
85,0.112449,5.51
86,0.11502,5.636
87,0.114653,5.618
