patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,80,37,0
0,2,0,-2,80,38,0
0,3,0,-2,80,37,0
1,3,0,-2,123,50,0
0,4,0,-2,81,38,0
2,4,0,-2,122,49,0
0,5,0,-2,81,38,0
2,5,0,-2,123,48,0
0,6,0,-2,78,38,0
3,6,0,-2,121,48,0
0,7,0,-2,80,38,0
3,7,0,-2,119,49,0
0,8,0,-2,81,37,0
4,8,0,-2,123,49,0
0,9,0,-2,81,37,0
4,9,0,-2,124,49,0
0,10,0,-2,81,38,0
5,10,0,-2,124,49,0
0,11,0,-2,82,38,0
5,11,0,-2,124,49,0
0,12,0,-2,82,37,0
6,12,0,-2,123,49,0
0,13,0,-2,79,38,0
6,13,0,-2,123,49,0
0,14,0,-2,80,37,0
7,14,0,-2,126,52,0
0,15,0,-2,82,38,0
7,15,0,-2,123,50,0
0,16,0,-2,81,38,0
8,16,0,-2,124,49,0
0,17,0,-2,81,38,0
8,17,0,-2,126,49,0
0,18,0,-2,78,38,0
9,18,0,-2,122,49,0
0,19,0,-2,80,38,0
9,19,0,-2,122,49,0
0,20,0,-2,80,38,0
10,20,0,-2,123,49,0
0,21,0,-2,81,38,0
10,21,0,-2,123,49,0
0,22,0,-2,75,38,0
11,22,0,-2,104,51,0
0,23,0,-2,71,49,1
11,23,0,-2,118,49,1
0,24,0,-2,74,49,1
12,24,0,-2,116,49,1
0,25,0,-2,69,48,1
12,25,0,-2,118,49,1
0,26,0,-2,74,49,1
13,26,0,-2,117,49,1
0,27,0,-2,73,48,1
13,27,0,-2,116,49,1
0,28,0,-2,74,49,1
14,28,0,-2,118,49,1
0,29,0,-2,74,48,1
14,29,0,-2,118,49,1
0,30,0,-2,74,48,1
15,30,0,-2,117,49,1
0,31,0,-2,75,48,1
15,31,0,-2,113,49,1
0,32,0,-2,68,54,1
16,32,0,-2,110,49,1
0,33,0,-2,69,48,1
16,33,0,-2,113,56,1
0,34,0,-2,70,48,1
17,34,0,-2,113,49,1
0,35,0,-2,69,48,1
17,35,0,-2,113,49,1
0,36,0,-2,69,49,1
18,36,0,-2,113,48,1
0,37,0,-2,67,49,1
18,37,0,-2,117,49,1
0,38,0,-2,75,49,1
19,38,0,-2,117,49,1
0,39,0,-2,74,49,1
19,39,0,-2,118,49,1
0,40,0,-2,73,48,1
20,40,0,-2,118,49,1
0,41,0,-2,74,49,1
20,41,0,-2,118,49,1
0,42,0,-2,75,49,1
21,42,0,-2,117,49,1
0,43,0,-2,74,48,1
21,43,0,-2,119,54,1
0,44,0,-2,72,48,1
22,44,0,-2,118,49,1
0,45,0,-2,74,49,1
22,45,0,-2,120,54,1
0,46,0,-2,71,49,1
23,46,0,-2,119,49,0
0,47,0,-2,74,48,1
23,47,0,-2,121,49,0
0,48,0,-2,74,49,1
24,48,0,-2,121,49,0
0,49,0,-2,74,48,1
24,49,0,-2,119,48,0
0,50,0,-2,75,49,1
25,50,0,-2,120,49,0
0,51,0,-2,69,53,1
25,51,0,-2,114,49,0
0,52,0,-2,79,49,1
26,52,0,-2,124,50,0
0,53,0,-2,79,48,1
26,53,0,-2,123,49,0
0,54,0,-2,78,48,1
27,54,0,-2,124,49,0
0,55,0,-2,79,49,1
27,55,0,-2,131,49,0
0,56,0,-2,79,49,1
28,56,0,-2,123,49,0
0,57,0,-2,79,49,1
28,57,0,-2,123,49,0
0,58,0,-2,77,49,1
29,58,0,-2,128,49,0
0,59,0,-2,83,49,1
29,59,0,-2,127,49,0
0,60,0,-2,79,48,1
30,60,0,-2,129,49,0
0,61,0,-2,79,49,1
30,61,0,-2,128,49,0
0,62,0,-2,83,48,1
31,62,0,-2,125,49,0
0,63,0,-2,84,49,1
31,63,0,-2,124,48,0
0,64,0,-2,83,49,1
32,64,0,-2,123,48,0
0,65,0,-2,81,49,1
32,65,0,-2,129,49,0
0,66,0,-2,83,49,1
33,66,0,-2,128,49,0
0,67,0,-2,83,49,1
33,67,0,-2,129,49,0
0,68,0,-2,80,56,1
34,68,0,-2,128,49,0
0,69,0,-2,79,48,1
34,69,0,-2,129,49,0
0,70,0,-2,83,48,1
35,70,0,-2,128,50,0
0,71,0,-2,84,49,1
35,71,0,-2,125,49,0
0,72,0,-2,82,48,1
36,72,0,-2,124,48,0
0,73,0,-2,84,49,1
36,73,0,-2,129,48,0
0,74,0,-2,82,48,1
37,74,0,-2,128,49,0
0,75,0,-2,79,49,1
37,75,0,-2,125,49,0
0,76,0,-2,79,48,1
38,76,0,-2,125,48,0
0,77,0,-2,82,49,1
38,77,0,-2,129,49,0
0,78,0,-2,79,49,1
39,78,0,-2,129,49,0
0,79,0,-2,79,48,1
39,79,0,-2,128,49,0
0,80,0,-2,79,49,1
40,80,0,-2,128,48,0
0,81,0,-2,83,49,1
40,81,0,-2,127,49,0
0,82,0,-2,84,49,1
41,82,0,-2,123,49,0
0,83,0,-2,84,49,1
41,83,0,-2,125,48,0
0,84,0,-2,84,49,1
42,84,0,-2,127,48,0
0,85,0,-2,82,48,1
42,85,0,-2,128,48,0
0,86,0,-2,83,48,1
43,86,0,-2,125,49,0
0,87,0,-2,82,48,1
43,87,0,-2,128,49,0
0,88,0,-2,81,49,1
44,88,0,-2,128,49,0
