patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,261,215,0
0,2,0,-2,259,217,0
0,3,0,-2,258,214,0
1,3,0,-2,480,292,0
0,4,0,-2,262,214,0
2,4,0,-2,481,293,0
0,5,0,-2,261,215,0
2,5,0,-2,481,291,0
0,6,0,-2,271,215,0
3,6,0,-2,487,291,0
0,7,0,-2,261,224,0
3,7,0,-2,483,298,0
0,8,0,-2,255,214,0
4,8,0,-2,491,288,0
0,9,0,-2,265,217,0
4,9,0,-2,482,299,0
0,10,0,-2,257,215,0
5,10,0,-2,491,289,0
0,11,0,-2,265,214,0
5,11,0,-2,490,290,0
0,12,0,-2,256,221,0
6,12,0,-2,478,293,0
0,13,0,-2,256,222,1
6,13,0,-2,494,290,1
0,14,0,-2,264,242,2
7,14,0,-2,485,298,2
0,15,0,-2,265,229,3
7,15,0,-2,494,290,3
0,16,0,-2,268,231,3
8,16,0,-2,495,293,3
0,17,0,-2,262,236,3
8,17,0,-2,482,297,3
0,18,0,-2,262,231,3
9,18,0,-2,492,293,3
0,19,0,-2,262,237,3
9,19,0,-2,487,297,3
0,20,0,-2,261,229,3
10,20,0,-2,491,294,3
0,21,0,-2,274,235,3
10,21,0,-2,500,297,3
0,22,0,-2,268,257,4
11,22,0,-2,500,300,4
0,23,0,-2,268,242,5
11,23,0,-2,499,298,5
0,24,0,-2,270,252,7
12,24,0,-2,496,298,7
0,25,0,-2,269,256,7
12,25,0,-2,499,301,7
0,26,0,-2,272,254,7
13,26,0,-2,498,299,6
0,27,0,-2,269,253,7
13,27,0,-2,497,300,6
0,28,0,-2,270,258,7
14,28,0,-2,496,297,5
0,29,0,-2,268,255,7
14,29,0,-2,499,298,5
0,30,0,-2,268,254,7
15,30,0,-2,500,298,4
0,31,0,-2,269,261,7
15,31,0,-2,501,299,4
0,32,0,-2,269,253,7
16,32,0,-2,500,296,4
0,33,0,-2,269,253,7
16,33,0,-2,499,298,4
0,34,0,-2,272,254,7
17,34,0,-2,497,300,4
0,35,0,-2,270,259,8
17,35,0,-2,506,298,5
0,36,0,-2,269,259,8
18,36,0,-2,492,292,5
0,37,0,-2,265,255,8
18,37,0,-2,490,291,5
0,38,0,-2,263,258,9
19,38,0,-2,491,290,6
0,39,0,-2,264,260,9
19,39,0,-2,491,291,6
0,40,0,-2,263,260,9
20,40,0,-2,491,291,6
0,41,0,-2,268,264,10
20,41,0,-2,496,291,7
0,42,0,-2,265,263,10
21,42,0,-2,490,293,7
0,43,0,-2,264,264,10
21,43,0,-2,491,290,7
0,44,0,-2,267,263,10
22,44,0,-2,494,291,6
0,45,0,-2,270,264,10
22,45,0,-2,489,290,6
0,46,0,-2,266,266,10
23,46,0,-2,492,289,5
0,47,0,-2,267,265,10
23,47,0,-2,488,288,5
0,48,0,-2,265,266,10
24,48,0,-2,489,291,3
0,49,0,-2,265,279,11
24,49,0,-2,509,297,4
0,50,0,-2,280,275,11
25,50,0,-2,512,295,4
0,51,0,-2,276,280,11
25,51,0,-2,504,302,4
0,52,0,-2,272,273,11
26,52,0,-2,502,295,4
0,53,0,-2,271,275,11
26,53,0,-2,515,295,4
0,54,0,-2,270,283,11
27,54,0,-2,505,302,4
0,55,0,-2,271,276,11
27,55,0,-2,509,302,4
0,56,0,-2,270,273,11
28,56,0,-2,524,296,4
0,57,0,-2,272,273,11
28,57,0,-2,510,294,4
0,58,0,-2,272,274,11
29,58,0,-2,498,295,4
0,59,0,-2,272,272,11
29,59,0,-2,502,296,4
0,60,0,-2,272,273,11
30,60,0,-2,506,294,4
0,61,0,-2,269,275,11
30,61,0,-2,502,296,4
0,62,0,-2,273,272,11
31,62,0,-2,503,289,4
0,63,0,-2,265,268,11
31,63,0,-2,489,288,4
0,64,0,-2,265,269,11
32,64,0,-2,486,295,4
0,65,0,-2,263,268,11
32,65,0,-2,486,287,4
0,66,0,-2,267,268,11
33,66,0,-2,489,288,4
0,67,0,-2,261,270,11
33,67,0,-2,504,292,4
0,68,0,-2,264,269,11
34,68,0,-2,494,286,4
0,69,0,-2,264,269,11
34,69,0,-2,489,288,4
0,70,0,-2,262,274,11
35,70,0,-2,494,287,3
0,71,0,-2,265,267,11
35,71,0,-2,488,287,3
0,72,0,-2,264,269,11
36,72,0,-2,490,285,3
0,73,0,-2,263,273,12
36,73,0,-2,490,286,4
0,74,0,-2,263,271,12
37,74,0,-2,491,287,4
0,75,0,-2,266,286,14
37,75,0,-2,499,301,6
0,76,0,-2,270,290,14
38,76,0,-2,502,294,5
0,77,0,-2,272,289,14
38,77,0,-2,507,293,5
0,78,0,-2,274,291,14
39,78,0,-2,509,292,5
0,79,0,-2,273,291,14
39,79,0,-2,507,294,5
0,80,0,-2,271,289,14
40,80,0,-2,505,292,5
0,81,0,-2,272,289,14
40,81,0,-2,505,302,5
0,82,0,-2,273,298,14
41,82,0,-2,509,298,4
0,83,0,-2,270,297,14
41,83,0,-2,508,299,4
0,84,0,-2,270,291,14
42,84,0,-2,512,290,4
0,85,0,-2,281,289,14
42,85,0,-2,512,290,4
0,86,0,-2,273,296,14
43,86,0,-2,507,297,4
0,87,0,-2,270,287,14
43,87,0,-2,494,285,4
0,88,0,-2,269,281,14
44,88,0,-2,496,284,4
