patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,88,52,0
0,2,0,-2,87,51,0
0,3,0,-2,87,51,0
1,3,0,-2,141,64,0
0,4,0,-2,82,51,0
2,4,0,-2,136,65,0
0,5,0,-2,83,51,0
2,5,0,-2,141,63,0
0,6,0,-2,84,52,0
3,6,0,-2,141,65,0
0,7,0,-2,89,52,0
3,7,0,-2,143,66,0
0,8,0,-2,88,52,0
4,8,0,-2,144,66,0
0,9,0,-2,87,54,0
4,9,0,-2,143,65,0
0,10,0,-2,87,52,0
5,10,0,-2,142,65,0
0,11,0,-2,87,52,0
5,11,0,-2,143,66,0
0,12,0,-2,83,52,0
6,12,0,-2,143,65,0
0,13,0,-2,101,62,2
6,13,0,-2,157,65,2
0,14,0,-2,97,62,2
7,14,0,-2,156,64,2
0,15,0,-2,100,62,2
7,15,0,-2,156,65,2
0,16,0,-2,100,62,2
8,16,0,-2,156,64,2
0,17,0,-2,101,62,2
8,17,0,-2,157,65,2
0,18,0,-2,100,62,2
9,18,0,-2,157,64,2
0,19,0,-2,101,62,2
9,19,0,-2,156,65,2
0,20,0,-2,102,62,2
10,20,0,-2,156,64,2
0,21,0,-2,97,62,2
10,21,0,-2,157,64,2
0,22,0,-2,102,62,2
11,22,0,-2,157,64,2
0,23,0,-2,101,63,2
11,23,0,-2,157,64,2
0,24,0,-2,98,63,2
12,24,0,-2,156,64,2
0,25,0,-2,99,62,2
12,25,0,-2,157,64,2
0,26,0,-2,101,63,2
13,26,0,-2,164,64,0
0,27,0,-2,99,62,2
13,27,0,-2,168,63,0
0,28,0,-2,97,62,2
14,28,0,-2,167,64,0
0,29,0,-2,96,62,2
14,29,0,-2,164,64,0
0,30,0,-2,97,63,2
15,30,0,-2,164,64,0
0,31,0,-2,100,63,2
15,31,0,-2,168,64,0
0,32,0,-2,114,63,2
16,32,0,-2,168,64,0
0,33,0,-2,101,63,2
16,33,0,-2,167,64,0
0,34,0,-2,107,62,2
17,34,0,-2,168,63,0
0,35,0,-2,100,62,2
17,35,0,-2,168,64,0
0,36,0,-2,108,63,2
18,36,0,-2,169,64,0
0,37,0,-2,100,62,2
18,37,0,-2,167,64,0
0,38,0,-2,107,62,2
19,38,0,-2,163,63,0
0,39,0,-2,99,62,2
19,39,0,-2,168,63,0
0,40,0,-2,102,63,2
20,40,0,-2,167,63,0
0,41,0,-2,101,62,2
20,41,0,-2,167,69,0
0,42,0,-2,100,62,2
21,42,0,-2,168,63,0
0,43,0,-2,102,63,2
21,43,0,-2,168,63,0
0,44,0,-2,97,62,2
22,44,0,-2,164,63,0
0,45,0,-2,100,62,2
22,45,0,-2,167,64,0
0,46,0,-2,101,63,2
23,46,0,-2,168,64,0
0,47,0,-2,100,62,2
23,47,0,-2,168,63,0
0,48,0,-2,105,62,2
24,48,0,-2,168,63,0
0,49,0,-2,100,62,2
24,49,0,-2,168,63,0
0,50,0,-2,101,62,2
25,50,0,-2,167,63,0
0,51,0,-2,100,62,2
25,51,0,-2,167,63,0
0,52,0,-2,102,62,2
26,52,0,-2,163,63,0
0,53,0,-2,101,63,2
26,53,0,-2,166,63,0
0,54,0,-2,101,62,2
27,54,0,-2,168,63,0
0,55,0,-2,99,62,2
27,55,0,-2,167,63,0
0,56,0,-2,106,63,2
28,56,0,-2,168,63,0
0,57,0,-2,100,62,2
28,57,0,-2,163,63,0
0,58,0,-2,105,62,2
29,58,0,-2,167,63,0
0,59,0,-2,100,63,2
29,59,0,-2,162,63,0
0,60,0,-2,102,63,2
30,60,0,-2,168,63,0
0,61,0,-2,100,62,2
30,61,0,-2,168,63,0
0,62,0,-2,100,62,2
31,62,0,-2,167,63,0
0,63,0,-2,101,62,2
31,63,0,-2,167,63,0
0,64,0,-2,105,62,2
32,64,0,-2,167,63,0
0,65,0,-2,100,62,2
32,65,0,-2,167,63,0
0,66,0,-2,107,62,2
33,66,0,-2,168,64,0
0,67,0,-2,100,62,2
33,67,0,-2,168,63,0
0,68,0,-2,98,63,2
34,68,0,-2,167,63,0
0,69,0,-2,100,63,2
34,69,0,-2,168,63,0
0,70,0,-2,102,62,2
35,70,0,-2,168,63,0
0,71,0,-2,95,63,2
35,71,0,-2,168,63,0
0,72,0,-2,101,63,2
36,72,0,-2,169,62,0
0,73,0,-2,99,62,2
36,73,0,-2,167,62,0
0,74,0,-2,102,63,2
37,74,0,-2,168,63,0
0,75,0,-2,100,63,2
37,75,0,-2,167,63,0
0,76,0,-2,102,62,2
38,76,0,-2,168,63,0
0,77,0,-2,100,62,2
38,77,0,-2,167,62,0
0,78,0,-2,103,63,2
39,78,0,-2,168,63,0
0,79,0,-2,99,62,2
39,79,0,-2,167,62,0
0,80,0,-2,100,62,2
40,80,0,-2,166,62,0
0,81,0,-2,100,62,2
40,81,0,-2,167,63,0
0,82,0,-2,104,62,2
41,82,0,-2,168,62,0
0,83,0,-2,100,62,2
41,83,0,-2,168,63,0
0,84,0,-2,107,62,2
42,84,0,-2,168,63,0
0,85,0,-2,96,62,2
42,85,0,-2,168,62,0
0,86,0,-2,97,62,2
43,86,0,-2,167,62,0
0,87,0,-2,101,62,2
43,87,0,-2,167,62,0
0,88,0,-2,98,62,2
44,88,0,-2,169,63,0
