patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,1984,1951,0
0,2,0,-2,1993,1948,0
0,3,0,-2,2011,1938,0
1,3,0,-2,3936,2462,0
0,4,0,-2,1999,1943,0
2,4,0,-2,3971,2517,0
0,5,0,-2,2007,1968,0
2,5,0,-2,4006,2618,0
0,6,0,-2,2033,1973,0
3,6,0,-2,4051,2620,0
0,7,0,-2,2029,1980,0
3,7,0,-2,4011,2537,0
0,8,0,-2,1997,1955,0
4,8,0,-2,3964,2479,0
0,9,0,-2,2001,1954,0
4,9,0,-2,3974,2475,0
0,10,0,-2,1994,1955,0
5,10,0,-2,3964,2556,0
0,11,0,-2,2023,1966,0
5,11,0,-2,3988,2590,0
0,12,0,-2,2015,1971,0
6,12,0,-2,3994,2598,0
0,13,0,-2,2034,2012,8
6,13,0,-2,4030,2470,8
0,14,0,-2,2013,2006,13
7,14,0,-2,3990,2469,13
0,15,0,-2,2024,2005,16
7,15,0,-2,3996,2530,17
0,16,0,-2,2073,2122,21
8,16,0,-2,4092,2630,21
0,17,0,-2,2066,2092,21
8,17,0,-2,4073,2622,21
0,18,0,-2,2068,2129,28
9,18,0,-2,3989,2490,28
0,19,0,-2,2043,2050,28
9,19,0,-2,3993,2476,29
0,20,0,-2,2043,2112,32
10,20,0,-2,3986,2571,32
0,21,0,-2,2060,2146,32
10,21,0,-2,4067,2602,32
0,22,0,-2,2060,2170,33
11,22,0,-2,4078,2557,33
0,23,0,-2,2042,2151,36
11,23,0,-2,3998,2473,36
0,24,0,-2,2040,2135,36
12,24,0,-2,4032,2494,36
0,25,0,-2,2079,2225,38
12,25,0,-2,4133,2622,38
0,26,0,-2,2079,2253,40
13,26,0,-2,4195,2625,32
0,27,0,-2,2096,2221,45
13,27,0,-2,4014,2467,37
0,28,0,-2,2041,2179,47
14,28,0,-2,4016,2465,34
0,29,0,-2,2041,2189,48
14,29,0,-2,4083,2593,35
0,30,0,-2,2069,2279,49
15,30,0,-2,4173,2603,32
0,31,0,-2,2084,2273,49
15,31,0,-2,4166,2472,32
0,32,0,-2,2041,2189,51
16,32,0,-2,4029,2464,30
0,33,0,-2,2039,2204,52
16,33,0,-2,4027,2584,30
0,34,0,-2,2074,2188,54
17,34,0,-2,4210,2607,34
0,35,0,-2,2087,2346,57
17,35,0,-2,4161,2512,36
0,36,0,-2,2057,2198,57
18,36,0,-2,4056,2469,30
0,37,0,-2,2053,2189,59
18,37,0,-2,4050,2580,32
0,38,0,-2,2081,2232,61
19,38,0,-2,4207,2593,33
0,39,0,-2,2077,2276,68
19,39,0,-2,4146,2477,40
0,40,0,-2,2060,2236,75
20,40,0,-2,4075,2462,44
0,41,0,-2,2053,2284,81
20,41,0,-2,4164,2591,50
0,42,0,-2,2076,2329,82
21,42,0,-2,4155,2595,51
0,43,0,-2,2099,2274,83
21,43,0,-2,4089,2478,52
0,44,0,-2,2082,2268,83
22,44,0,-2,4107,2531,51
0,45,0,-2,2087,2338,85
22,45,0,-2,4190,2618,53
0,46,0,-2,2112,2369,88
23,46,0,-2,4197,2498,53
0,47,0,-2,2067,2272,90
23,47,0,-2,4076,2457,55
0,48,0,-2,2065,2332,97
24,48,0,-2,4104,2584,62
0,49,0,-2,57,2402,102
24,49,0,-2,2093,2578,67
0,50,0,-2,55,2322,104
25,50,0,-2,2078,2468,67
0,51,0,-2,57,2329,106
25,51,0,-2,2072,2560,69
0,52,0,-2,57,2425,106
26,52,0,-2,2111,2587,67
0,53,0,-2,58,2382,108
26,53,0,-2,2096,2463,69
0,54,0,-2,57,2337,108
27,54,0,-2,2093,2532,64
0,55,0,-2,58,2496,109
27,55,0,-2,2127,2615,65
0,56,0,-2,58,2451,109
28,56,0,-2,2135,2475,63
0,57,0,-2,56,2357,109
28,57,0,-2,2095,2447,63
0,58,0,-2,57,2435,109
29,58,0,-2,2116,2585,62
0,59,0,-2,58,2433,110
29,59,0,-2,2110,2499,63
0,60,0,-2,57,2335,110
30,60,0,-2,2079,2448,62
0,61,0,-2,57,2390,110
30,61,0,-2,2104,2578,62
0,62,0,-2,53,2442,113
31,62,0,-2,2114,2532,65
0,63,0,-2,55,2340,113
31,63,0,-2,2084,2446,65
0,64,0,-2,57,2359,115
32,64,0,-2,2134,2572,65
0,65,0,-2,58,2467,119
32,65,0,-2,2127,2569,69
0,66,0,-2,61,2385,122
33,66,0,-2,2095,2443,72
0,67,0,-2,57,2381,123
33,67,0,-2,2115,2572,73
0,68,0,-2,62,2491,123
34,68,0,-2,2112,2591,69
0,69,0,-2,63,2407,124
34,69,0,-2,2110,2456,70
0,70,0,-2,61,2418,127
35,70,0,-2,2107,2590,71
0,71,0,-2,63,2529,129
35,71,0,-2,2167,2591,73
0,72,0,-2,55,2416,129
36,72,0,-2,2110,2456,72
0,73,0,-2,59,2416,130
36,73,0,-2,2122,2566,73
0,74,0,-2,51,2526,131
37,74,0,-2,2136,2544,72
0,75,0,-2,61,2395,131
37,75,0,-2,2098,2428,72
0,76,0,-2,57,2415,131
38,76,0,-2,2135,2558,70
0,77,0,-2,65,2514,131
38,77,0,-2,2140,2525,70
0,78,0,-2,56,2399,131
39,78,0,-2,2090,2427,63
0,79,0,-2,62,2448,132
39,79,0,-2,2139,2550,64
0,80,0,-2,58,2531,133
40,80,0,-2,2143,2509,58
0,81,0,-2,63,2414,134
40,81,0,-2,2097,2422,59
0,82,0,-2,59,2472,135
41,82,0,-2,2146,2561,54
0,83,0,-2,62,2562,137
41,83,0,-2,2151,2487,56
0,84,0,-2,61,2434,137
42,84,0,-2,2110,2426,55
0,85,0,-2,62,2517,137
42,85,0,-2,2158,2535,55
0,86,0,-2,60,2538,138
43,86,0,-2,2125,2446,55
0,87,0,-2,59,2403,138
43,87,0,-2,2096,2404,55
0,88,0,-2,59,2514,138
44,88,0,-2,2128,2528,55
