patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,116,87,0
0,2,0,-2,116,85,0
0,3,0,-2,115,85,0
1,3,0,-2,201,91,0
0,4,0,-2,116,85,0
2,4,0,-2,200,91,0
0,5,0,-2,115,85,0
2,5,0,-2,200,92,0
0,6,0,-2,116,86,0
3,6,0,-2,200,91,0
0,7,0,-2,115,86,0
3,7,0,-2,200,91,0
0,8,0,-2,115,86,0
4,8,0,-2,201,91,0
0,9,0,-2,109,86,0
4,9,0,-2,201,90,0
0,10,0,-2,115,99,0
5,10,0,-2,206,91,0
0,11,0,-2,115,85,0
5,11,0,-2,201,90,0
0,12,0,-2,115,91,0
6,12,0,-2,196,90,0
0,13,0,-2,115,85,0
6,13,0,-2,200,98,0
0,14,0,-2,114,85,0
7,14,0,-2,199,90,0
0,15,0,-2,114,85,0
7,15,0,-2,200,90,0
0,16,0,-2,113,86,0
8,16,0,-2,200,90,0
0,17,0,-2,116,85,0
8,17,0,-2,197,91,0
0,18,0,-2,114,85,0
9,18,0,-2,200,91,0
0,19,0,-2,110,85,0
9,19,0,-2,200,91,0
0,20,0,-2,115,86,0
10,20,0,-2,196,90,0
0,21,0,-2,114,85,0
10,21,0,-2,200,91,0
0,22,0,-2,115,85,0
11,22,0,-2,201,91,0
0,23,0,-2,115,85,0
11,23,0,-2,201,91,0
0,24,0,-2,115,85,0
12,24,0,-2,200,90,0
0,25,0,-2,114,85,0
12,25,0,-2,200,91,0
0,26,0,-2,116,85,0
13,26,0,-2,202,89,0
0,27,0,-2,114,85,0
13,27,0,-2,198,90,0
0,28,0,-2,115,87,0
14,28,0,-2,200,90,0
0,29,0,-2,115,85,0
14,29,0,-2,199,90,0
0,30,0,-2,117,86,0
15,30,0,-2,204,91,0
0,31,0,-2,115,85,0
15,31,0,-2,206,90,0
0,32,0,-2,118,85,0
16,32,0,-2,202,90,0
0,33,0,-2,114,88,0
16,33,0,-2,204,91,0
0,34,0,-2,115,85,0
17,34,0,-2,207,93,0
0,35,0,-2,104,115,3
17,35,0,-2,190,90,0
0,36,0,-2,118,105,0
18,36,0,-2,204,91,3
0,37,0,-2,119,98,0
18,37,0,-2,204,97,3
0,38,0,-2,119,98,0
19,38,0,-2,204,106,3
0,39,0,-2,120,103,0
19,39,0,-2,202,91,3
0,40,0,-2,119,98,0
20,40,0,-2,229,109,3
0,41,0,-2,126,108,0
20,41,0,-2,228,101,3
0,42,0,-2,118,120,0
21,42,0,-2,208,100,3
0,43,0,-2,122,105,0
21,43,0,-2,210,92,3
0,44,0,-2,119,99,0
22,44,0,-2,203,91,3
0,45,0,-2,120,105,0
22,45,0,-2,200,96,3
0,46,0,-2,119,98,0
23,46,0,-2,201,98,3
0,47,0,-2,121,99,0
23,47,0,-2,206,91,3
0,48,0,-2,119,104,0
24,48,0,-2,204,90,3
0,49,0,-2,119,98,0
24,49,0,-2,202,104,3
0,50,0,-2,120,98,0
25,50,0,-2,204,90,3
0,51,0,-2,119,99,0
25,51,0,-2,210,90,3
0,52,0,-2,119,98,0
26,52,0,-2,204,103,3
0,53,0,-2,120,99,0
26,53,0,-2,201,91,3
0,54,0,-2,120,99,0
27,54,0,-2,209,91,3
0,55,0,-2,121,99,0
27,55,0,-2,203,91,3
0,56,0,-2,121,99,0
28,56,0,-2,204,90,3
0,57,0,-2,115,98,0
28,57,0,-2,211,91,3
0,58,0,-2,120,99,0
29,58,0,-2,206,91,3
0,59,0,-2,119,98,0
29,59,0,-2,202,91,3
0,60,0,-2,119,98,0
30,60,0,-2,206,90,3
0,61,0,-2,120,100,0
30,61,0,-2,206,91,3
0,62,0,-2,127,98,0
31,62,0,-2,206,90,3
0,63,0,-2,120,98,0
31,63,0,-2,211,91,3
0,64,0,-2,120,99,0
32,64,0,-2,207,90,3
0,65,0,-2,120,105,0
32,65,0,-2,199,91,3
0,66,0,-2,120,98,0
33,66,0,-2,208,91,3
0,67,0,-2,120,99,0
33,67,0,-2,207,91,3
0,68,0,-2,120,105,0
34,68,0,-2,201,90,3
0,69,0,-2,120,99,0
34,69,0,-2,205,107,3
0,70,0,-2,121,99,0
35,70,0,-2,189,90,3
0,71,0,-2,115,106,0
35,71,0,-2,193,91,3
0,72,0,-2,120,98,0
36,72,0,-2,205,97,0
0,73,0,-2,120,98,0
36,73,0,-2,206,89,0
0,74,0,-2,119,98,0
37,74,0,-2,204,90,0
0,75,0,-2,115,98,0
37,75,0,-2,206,89,0
0,76,0,-2,119,99,0
38,76,0,-2,205,89,0
0,77,0,-2,120,98,0
38,77,0,-2,212,90,0
0,78,0,-2,116,99,0
39,78,0,-2,205,89,0
0,79,0,-2,120,98,0
39,79,0,-2,204,89,0
0,80,0,-2,120,99,0
40,80,0,-2,213,89,0
0,81,0,-2,121,98,0
40,81,0,-2,201,89,0
0,82,0,-2,126,99,0
41,82,0,-2,205,89,0
0,83,0,-2,115,100,0
41,83,0,-2,208,89,0
0,84,0,-2,121,98,0
42,84,0,-2,206,89,0
0,85,0,-2,121,105,0
42,85,0,-2,205,90,0
0,86,0,-2,110,98,0
43,86,0,-2,208,91,0
0,87,0,-2,120,98,0
43,87,0,-2,200,89,0
0,88,0,-2,120,105,0
44,88,0,-2,203,89,0
