patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,331,293,0
0,2,0,-2,331,293,0
0,3,0,-2,334,293,0
1,3,0,-2,629,371,0
0,4,0,-2,334,293,0
2,4,0,-2,631,370,0
0,5,0,-2,333,293,0
2,5,0,-2,628,369,0
0,6,0,-2,330,292,0
3,6,0,-2,633,369,0
0,7,0,-2,336,293,0
3,7,0,-2,637,401,0
0,8,0,-2,334,292,0
4,8,0,-2,632,369,0
0,9,0,-2,331,294,0
4,9,0,-2,635,370,0
0,10,0,-2,332,292,0
5,10,0,-2,628,377,0
0,11,0,-2,332,296,0
5,11,0,-2,632,376,0
0,12,0,-2,330,301,0
6,12,0,-2,633,382,0
0,13,0,-2,342,318,2
6,13,0,-2,654,408,2
0,14,0,-2,346,329,4
7,14,0,-2,661,391,4
0,15,0,-2,355,324,4
7,15,0,-2,664,390,4
0,16,0,-2,358,335,6
8,16,0,-2,661,396,6
0,17,0,-2,346,336,6
8,17,0,-2,660,402,6
0,18,0,-2,345,334,11
9,18,0,-2,644,379,10
0,19,0,-2,345,336,11
9,19,0,-2,660,374,10
0,20,0,-2,345,328,11
10,20,0,-2,647,373,10
0,21,0,-2,344,329,11
10,21,0,-2,647,385,10
0,22,0,-2,345,328,11
11,22,0,-2,655,375,10
0,23,0,-2,346,328,11
11,23,0,-2,643,386,10
0,24,0,-2,342,328,11
12,24,0,-2,642,429,10
0,25,0,-2,355,342,12
12,25,0,-2,649,381,11
0,26,0,-2,345,342,12
13,26,0,-2,658,373,9
0,27,0,-2,350,341,12
13,27,0,-2,659,371,9
0,28,0,-2,352,338,13
14,28,0,-2,658,374,8
0,29,0,-2,358,340,13
14,29,0,-2,657,379,8
0,30,0,-2,346,340,13
15,30,0,-2,665,383,8
0,31,0,-2,348,347,13
15,31,0,-2,651,379,8
0,32,0,-2,348,340,13
16,32,0,-2,661,373,8
0,33,0,-2,348,341,13
16,33,0,-2,661,373,8
0,34,0,-2,352,332,13
17,34,0,-2,663,371,8
0,35,0,-2,351,330,13
17,35,0,-2,661,376,8
0,36,0,-2,346,336,14
18,36,0,-2,678,373,5
0,37,0,-2,345,338,14
18,37,0,-2,659,372,5
0,38,0,-2,345,338,14
19,38,0,-2,660,371,5
0,39,0,-2,344,338,14
19,39,0,-2,663,371,5
0,40,0,-2,346,337,14
20,40,0,-2,657,370,5
0,41,0,-2,345,339,15
20,41,0,-2,659,386,6
0,42,0,-2,345,350,15
21,42,0,-2,664,378,6
0,43,0,-2,345,341,15
21,43,0,-2,658,376,6
0,44,0,-2,346,347,15
22,44,0,-2,658,376,6
0,45,0,-2,345,346,15
22,45,0,-2,664,372,6
0,46,0,-2,351,338,15
23,46,0,-2,668,370,6
0,47,0,-2,353,339,15
23,47,0,-2,673,369,6
0,48,0,-2,351,339,15
24,48,0,-2,670,378,6
0,49,0,-2,345,348,16
24,49,0,-2,659,377,7
0,50,0,-2,344,351,16
25,50,0,-2,665,369,6
0,51,0,-2,344,351,16
25,51,0,-2,666,368,6
0,52,0,-2,350,345,16
26,52,0,-2,669,369,6
0,53,0,-2,352,345,16
26,53,0,-2,673,371,6
0,54,0,-2,345,344,16
27,54,0,-2,660,370,6
0,55,0,-2,345,346,16
27,55,0,-2,658,371,6
0,56,0,-2,345,344,16
28,56,0,-2,661,365,5
0,57,0,-2,343,344,16
28,57,0,-2,659,370,5
0,58,0,-2,344,345,16
29,58,0,-2,658,365,5
0,59,0,-2,346,344,16
29,59,0,-2,661,368,5
0,60,0,-2,345,345,16
30,60,0,-2,660,369,5
0,61,0,-2,344,347,16
30,61,0,-2,661,367,5
0,62,0,-2,345,344,16
31,62,0,-2,659,365,5
0,63,0,-2,347,346,16
31,63,0,-2,661,366,5
0,64,0,-2,348,345,16
32,64,0,-2,663,366,3
0,65,0,-2,345,344,16
32,65,0,-2,660,365,3
0,66,0,-2,346,344,16
33,66,0,-2,661,365,3
0,67,0,-2,351,343,16
33,67,0,-2,667,371,3
0,68,0,-2,349,344,16
34,68,0,-2,660,366,3
0,69,0,-2,344,344,16
34,69,0,-2,663,365,3
0,70,0,-2,344,346,16
35,70,0,-2,660,364,3
0,71,0,-2,346,344,16
35,71,0,-2,663,363,3
0,72,0,-2,346,348,17
36,72,0,-2,660,363,3
0,73,0,-2,346,350,17
36,73,0,-2,667,364,3
0,74,0,-2,347,350,17
37,74,0,-2,666,364,3
0,75,0,-2,346,351,17
37,75,0,-2,667,365,3
0,76,0,-2,347,349,17
38,76,0,-2,672,364,3
0,77,0,-2,346,348,17
38,77,0,-2,668,362,3
0,78,0,-2,348,349,17
39,78,0,-2,667,363,3
0,79,0,-2,348,349,17
39,79,0,-2,664,365,3
0,80,0,-2,348,349,17
40,80,0,-2,662,364,3
0,81,0,-2,345,349,17
40,81,0,-2,664,362,3
0,82,0,-2,342,350,17
41,82,0,-2,664,362,2
0,83,0,-2,349,353,18
41,83,0,-2,664,359,3
0,84,0,-2,345,352,18
42,84,0,-2,661,359,3
0,85,0,-2,347,361,19
42,85,0,-2,660,363,4
0,86,0,-2,345,359,19
43,86,0,-2,659,360,4
0,87,0,-2,346,360,19
43,87,0,-2,662,362,4
0,88,0,-2,346,359,19
44,88,0,-2,662,360,4
