patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,293,259,0
0,2,0,-2,295,258,0
0,3,0,-2,298,259,0
1,3,0,-2,562,360,0
0,4,0,-2,296,258,0
2,4,0,-2,559,358,0
0,5,0,-2,298,259,0
2,5,0,-2,563,360,0
0,6,0,-2,298,265,1
3,6,0,-2,577,357,1
0,7,0,-2,295,264,1
3,7,0,-2,561,358,1
0,8,0,-2,296,265,1
4,8,0,-2,563,357,1
0,9,0,-2,293,267,1
4,9,0,-2,565,362,1
0,10,0,-2,295,268,1
5,10,0,-2,562,368,1
0,11,0,-2,298,267,1
5,11,0,-2,569,362,1
0,12,0,-2,294,267,1
6,12,0,-2,568,377,0
0,13,0,-2,297,265,1
6,13,0,-2,575,369,0
0,14,0,-2,297,269,1
7,14,0,-2,577,363,0
0,15,0,-2,306,273,2
7,15,0,-2,578,365,1
0,16,0,-2,314,287,5
8,16,0,-2,577,365,4
0,17,0,-2,313,288,5
8,17,0,-2,580,366,4
0,18,0,-2,312,294,6
9,18,0,-2,587,366,5
0,19,0,-2,315,296,6
9,19,0,-2,595,363,5
0,20,0,-2,308,293,6
10,20,0,-2,571,364,5
0,21,0,-2,310,294,6
10,21,0,-2,578,369,5
0,22,0,-2,310,296,6
11,22,0,-2,575,364,5
0,23,0,-2,307,299,7
11,23,0,-2,578,365,6
0,24,0,-2,307,304,8
12,24,0,-2,576,361,7
0,25,0,-2,303,301,8
12,25,0,-2,568,360,7
0,26,0,-2,300,309,8
13,26,0,-2,564,358,7
0,27,0,-2,299,299,8
13,27,0,-2,564,358,7
0,28,0,-2,300,299,8
14,28,0,-2,571,358,7
0,29,0,-2,300,300,8
14,29,0,-2,566,357,7
0,30,0,-2,301,301,8
15,30,0,-2,566,359,6
0,31,0,-2,305,300,8
15,31,0,-2,567,358,6
0,32,0,-2,301,305,9
16,32,0,-2,572,358,4
0,33,0,-2,302,307,9
16,33,0,-2,574,359,4
0,34,0,-2,302,308,9
17,34,0,-2,570,358,4
0,35,0,-2,300,312,10
17,35,0,-2,567,356,5
0,36,0,-2,299,313,10
18,36,0,-2,569,356,4
0,37,0,-2,299,317,10
18,37,0,-2,584,362,4
0,38,0,-2,308,321,11
19,38,0,-2,584,364,5
0,39,0,-2,309,321,11
19,39,0,-2,585,364,5
0,40,0,-2,317,322,11
20,40,0,-2,593,364,5
0,41,0,-2,307,323,11
20,41,0,-2,590,362,5
0,42,0,-2,310,322,11
21,42,0,-2,597,364,5
0,43,0,-2,308,321,11
21,43,0,-2,589,363,5
0,44,0,-2,306,321,11
22,44,0,-2,590,370,5
0,45,0,-2,311,327,12
22,45,0,-2,593,362,6
0,46,0,-2,307,326,12
23,46,0,-2,592,362,5
0,47,0,-2,312,342,12
23,47,0,-2,595,361,5
0,48,0,-2,308,328,12
24,48,0,-2,594,362,4
0,49,0,-2,309,334,12
24,49,0,-2,570,356,4
0,50,0,-2,298,325,12
25,50,0,-2,569,355,4
0,51,0,-2,299,322,12
25,51,0,-2,568,357,4
0,52,0,-2,298,323,12
26,52,0,-2,571,357,4
0,53,0,-2,302,321,12
26,53,0,-2,571,359,4
0,54,0,-2,300,322,12
27,54,0,-2,570,354,4
0,55,0,-2,299,322,12
27,55,0,-2,578,356,4
0,56,0,-2,298,323,12
28,56,0,-2,570,354,4
0,57,0,-2,303,324,12
28,57,0,-2,576,353,4
0,58,0,-2,300,323,12
29,58,0,-2,573,354,4
0,59,0,-2,301,322,12
29,59,0,-2,567,352,4
0,60,0,-2,298,322,12
30,60,0,-2,576,356,4
0,61,0,-2,304,325,12
30,61,0,-2,594,358,4
0,62,0,-2,308,328,12
31,62,0,-2,600,358,4
0,63,0,-2,306,326,12
31,63,0,-2,590,359,4
0,64,0,-2,314,330,12
32,64,0,-2,592,358,3
0,65,0,-2,309,340,13
32,65,0,-2,592,359,4
0,66,0,-2,308,334,13
33,66,0,-2,594,358,4
0,67,0,-2,309,332,13
33,67,0,-2,592,358,4
0,68,0,-2,306,334,13
34,68,0,-2,593,358,4
0,69,0,-2,308,332,13
34,69,0,-2,591,359,4
0,70,0,-2,310,333,13
35,70,0,-2,607,364,3
0,71,0,-2,308,338,13
35,71,0,-2,596,356,3
0,72,0,-2,305,339,13
36,72,0,-2,598,353,3
0,73,0,-2,300,333,13
36,73,0,-2,576,353,3
0,74,0,-2,300,334,13
37,74,0,-2,572,353,3
0,75,0,-2,295,335,13
37,75,0,-2,575,349,3
0,76,0,-2,297,333,13
38,76,0,-2,567,359,2
0,77,0,-2,297,345,13
38,77,0,-2,568,358,2
0,78,0,-2,302,335,13
39,78,0,-2,568,357,2
0,79,0,-2,298,332,13
39,79,0,-2,567,357,2
0,80,0,-2,297,334,13
40,80,0,-2,568,359,2
0,81,0,-2,301,355,17
40,81,0,-2,571,357,6
0,82,0,-2,298,354,17
41,82,0,-2,570,358,6
0,83,0,-2,298,353,17
41,83,0,-2,567,371,6
0,84,0,-2,307,354,17
42,84,0,-2,594,356,6
0,85,0,-2,309,354,17
42,85,0,-2,595,356,6
0,86,0,-2,310,355,17
43,86,0,-2,597,356,6
0,87,0,-2,311,355,17
43,87,0,-2,593,355,6
0,88,0,-2,311,355,17
44,88,0,-2,601,354,6
