patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,2610,2544,0
0,2,0,-2,2601,2545,0
0,3,0,-2,2603,2550,0
1,3,0,-2,5160,3249,0
0,4,0,-2,2604,2544,0
2,4,0,-2,5168,3293,0
0,5,0,-2,2611,2563,0
2,5,0,-2,5178,3354,0
0,6,0,-2,2606,2561,0
3,6,0,-2,5168,3288,0
0,7,0,-2,2602,2544,0
3,7,0,-2,5168,3267,0
0,8,0,-2,2611,2576,0
4,8,0,-2,5219,3388,0
0,9,0,-2,2609,2556,0
4,9,0,-2,5195,3293,0
0,10,0,-2,2603,2543,0
5,10,0,-2,5168,3263,0
0,11,0,-2,2613,2552,0
5,11,0,-2,5175,3353,0
0,12,0,-2,2608,2554,0
6,12,0,-2,5171,3302,0
0,13,0,-2,2516,2616,22
6,13,0,-2,5084,3353,22
0,14,0,-2,2520,2611,25
7,14,0,-2,5087,3299,25
0,15,0,-2,2532,2649,29
7,15,0,-2,5124,3296,29
0,16,0,-2,2566,2664,37
8,16,0,-2,5130,3365,37
0,17,0,-2,2533,2644,40
8,17,0,-2,5084,3356,40
0,18,0,-2,2550,2677,44
9,18,0,-2,5092,3278,44
0,19,0,-2,2537,2680,45
9,19,0,-2,5100,3313,45
0,20,0,-2,2538,2686,51
10,20,0,-2,5095,3370,51
0,21,0,-2,2532,2680,51
10,21,0,-2,5133,3301,51
0,22,0,-2,2543,2720,57
11,22,0,-2,5123,3273,57
0,23,0,-2,2568,2756,64
11,23,0,-2,5158,3377,63
0,24,0,-2,2565,2747,70
12,24,0,-2,5134,3362,69
0,25,0,-2,2539,2722,73
12,25,0,-2,5108,3279,72
0,26,0,-2,2553,2764,75
13,26,0,-2,5020,3259,54
0,27,0,-2,2566,2775,81
13,27,0,-2,5031,3263,60
0,28,0,-2,2556,2776,86
14,28,0,-2,5029,3253,62
0,29,0,-2,2555,2791,93
14,29,0,-2,5036,3262,66
0,30,0,-2,2554,2833,94
15,30,0,-2,5067,3308,69
0,31,0,-2,2586,2804,97
15,31,0,-2,5076,3316,72
0,32,0,-2,59,2787,110
16,32,0,-2,2567,3320,76
0,33,0,-2,59,2783,111
16,33,0,-2,2571,3315,77
0,34,0,-2,60,2794,114
17,34,0,-2,2551,3330,77
0,35,0,-2,57,2806,118
17,35,0,-2,2550,3338,81
0,36,0,-2,59,2802,120
18,36,0,-2,2554,3349,79
0,37,0,-2,57,2809,120
18,37,0,-2,2555,3360,79
0,38,0,-2,59,2817,121
19,38,0,-2,2613,3378,79
0,39,0,-2,56,2844,122
19,39,0,-2,2593,3374,80
0,40,0,-2,59,2843,125
20,40,0,-2,2585,3417,76
0,41,0,-2,52,2988,150
20,41,0,-2,2582,3394,103
0,42,0,-2,54,2975,151
21,42,0,-2,2558,3352,104
0,43,0,-2,56,2978,152
21,43,0,-2,2568,3346,105
0,44,0,-2,55,2979,154
22,44,0,-2,2566,3334,101
0,45,0,-2,57,2979,160
22,45,0,-2,2567,3323,109
0,46,0,-2,56,2986,162
23,46,0,-2,2575,3334,105
0,47,0,-2,57,2995,165
23,47,0,-2,2575,3308,108
0,48,0,-2,59,3019,166
24,48,0,-2,2578,3297,103
0,49,0,-2,54,3029,167
24,49,0,-2,2580,3268,104
0,50,0,-2,59,3045,168
25,50,0,-2,2583,3266,102
0,51,0,-2,57,3064,172
25,51,0,-2,2579,3269,106
0,52,0,-2,55,3114,175
26,52,0,-2,2594,3276,105
0,53,0,-2,53,3129,180
26,53,0,-2,2604,3260,110
0,54,0,-2,55,3130,185
27,54,0,-2,2591,3229,109
0,55,0,-2,54,3136,188
27,55,0,-2,2586,3231,112
0,56,0,-2,57,3121,191
28,56,0,-2,2591,3241,110
0,57,0,-2,55,3132,193
28,57,0,-2,2587,3260,112
0,58,0,-2,55,3137,200
29,58,0,-2,2588,3291,117
0,59,0,-2,57,3116,209
29,59,0,-2,2587,3313,126
0,60,0,-2,57,3094,210
30,60,0,-2,2603,3362,120
0,61,0,-2,55,3096,211
30,61,0,-2,2595,3324,121
0,62,0,-2,57,3076,215
31,62,0,-2,2591,3324,122
0,63,0,-2,54,3106,216
31,63,0,-2,2602,3316,123
0,64,0,-2,54,3144,216
32,64,0,-2,93,3267,111
0,65,0,-2,55,3194,219
32,65,0,-2,93,3235,114
0,66,0,-2,58,3183,222
33,66,0,-2,93,3209,116
0,67,0,-2,56,3179,222
33,67,0,-2,93,3222,116
0,68,0,-2,57,3179,222
34,68,0,-2,95,3247,113
0,69,0,-2,57,3166,224
34,69,0,-2,92,3287,115
0,70,0,-2,63,3123,226
35,70,0,-2,93,3297,113
0,71,0,-2,63,3090,229
35,71,0,-2,95,3289,116
0,72,0,-2,59,3096,229
36,72,0,-2,94,3269,114
0,73,0,-2,56,3110,231
36,73,0,-2,97,3247,116
0,74,0,-2,56,3156,232
37,74,0,-2,91,3184,117
0,75,0,-2,52,3193,233
37,75,0,-2,93,3190,118
0,76,0,-2,57,3198,235
38,76,0,-2,93,3204,119
0,77,0,-2,57,3208,237
38,77,0,-2,93,3255,121
0,78,0,-2,54,3184,239
39,78,0,-2,88,3307,122
0,79,0,-2,48,3158,240
39,79,0,-2,83,3301,123
0,80,0,-2,48,3136,241
40,80,0,-2,82,3292,122
0,81,0,-2,48,3152,246
40,81,0,-2,80,3225,127
0,82,0,-2,47,3193,246
41,82,0,-2,82,3165,100
0,83,0,-2,49,3223,246
41,83,0,-2,82,3156,100
0,84,0,-2,49,3228,246
42,84,0,-2,82,3181,99
0,85,0,-2,45,3219,246
42,85,0,-2,82,3223,99
0,86,0,-2,47,3169,246
43,86,0,-2,83,3237,98
0,87,0,-2,45,3137,246
43,87,0,-2,82,3241,98
0,88,0,-2,48,3131,246
44,88,0,-2,83,3199,96
