patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,156,126,1
0,2,0,-2,158,124,1
0,3,0,-2,164,124,1
1,3,0,-2,286,151,0
0,4,0,-2,164,125,1
2,4,0,-2,285,150,0
0,5,0,-2,155,133,1
2,5,0,-2,282,150,0
0,6,0,-2,157,131,1
3,6,0,-2,284,149,0
0,7,0,-2,158,126,1
3,7,0,-2,292,148,0
0,8,0,-2,155,124,1
4,8,0,-2,302,149,0
0,9,0,-2,158,125,1
4,9,0,-2,288,149,0
0,10,0,-2,157,125,1
5,10,0,-2,288,150,0
0,11,0,-2,156,124,1
5,11,0,-2,278,157,0
0,12,0,-2,153,124,1
6,12,0,-2,279,158,0
0,13,0,-2,153,125,1
6,13,0,-2,279,149,0
0,14,0,-2,161,132,2
7,14,0,-2,279,149,0
0,15,0,-2,156,132,2
7,15,0,-2,279,149,0
0,16,0,-2,154,139,2
8,16,0,-2,281,149,0
0,17,0,-2,157,137,2
8,17,0,-2,284,149,0
0,18,0,-2,154,131,2
9,18,0,-2,286,150,0
0,19,0,-2,154,134,3
9,19,0,-2,290,151,1
0,20,0,-2,152,135,3
10,20,0,-2,284,150,1
0,21,0,-2,154,136,3
10,21,0,-2,286,151,1
0,22,0,-2,156,135,3
11,22,0,-2,278,163,1
0,23,0,-2,153,133,3
11,23,0,-2,279,150,1
0,24,0,-2,153,136,3
12,24,0,-2,276,151,1
0,25,0,-2,153,135,3
12,25,0,-2,284,150,1
0,26,0,-2,158,140,4
13,26,0,-2,284,151,2
0,27,0,-2,155,141,4
13,27,0,-2,281,147,2
0,28,0,-2,152,138,4
14,28,0,-2,274,149,2
0,29,0,-2,153,142,5
14,29,0,-2,281,149,3
0,30,0,-2,152,142,5
15,30,0,-2,277,147,3
0,31,0,-2,152,142,5
15,31,0,-2,274,148,3
0,32,0,-2,153,142,5
16,32,0,-2,275,147,3
0,33,0,-2,151,142,5
16,33,0,-2,275,148,3
0,34,0,-2,151,141,5
17,34,0,-2,277,148,3
0,35,0,-2,152,142,5
17,35,0,-2,274,148,3
0,36,0,-2,153,141,5
18,36,0,-2,274,147,3
0,37,0,-2,154,142,5
18,37,0,-2,275,148,3
0,38,0,-2,151,142,5
19,38,0,-2,274,147,2
0,39,0,-2,151,143,5
19,39,0,-2,274,146,2
0,40,0,-2,150,143,5
20,40,0,-2,274,146,2
0,41,0,-2,152,142,5
20,41,0,-2,274,147,2
0,42,0,-2,155,142,5
21,42,0,-2,275,147,2
0,43,0,-2,151,141,5
21,43,0,-2,277,148,2
0,44,0,-2,152,142,5
22,44,0,-2,274,147,2
0,45,0,-2,151,141,5
22,45,0,-2,273,147,2
0,46,0,-2,153,142,5
23,46,0,-2,274,147,2
0,47,0,-2,152,142,5
23,47,0,-2,274,148,2
0,48,0,-2,152,142,5
24,48,0,-2,273,147,2
0,49,0,-2,151,144,5
24,49,0,-2,274,146,2
0,50,0,-2,150,142,5
25,50,0,-2,274,150,2
0,51,0,-2,154,144,5
25,51,0,-2,280,149,2
0,52,0,-2,155,146,5
26,52,0,-2,282,148,1
0,53,0,-2,158,150,6
26,53,0,-2,283,148,2
0,54,0,-2,156,150,6
27,54,0,-2,283,150,2
0,55,0,-2,157,150,6
27,55,0,-2,281,161,2
0,56,0,-2,155,150,6
28,56,0,-2,285,156,2
0,57,0,-2,154,151,6
28,57,0,-2,283,149,2
0,58,0,-2,164,149,6
29,58,0,-2,285,150,1
0,59,0,-2,160,145,5
29,59,0,-2,285,150,2
0,60,0,-2,162,146,5
30,60,0,-2,282,147,2
0,61,0,-2,154,152,5
30,61,0,-2,283,149,2
0,62,0,-2,156,152,5
31,62,0,-2,285,148,2
0,63,0,-2,157,152,5
31,63,0,-2,279,147,2
0,64,0,-2,156,146,5
32,64,0,-2,287,148,2
0,65,0,-2,154,144,5
32,65,0,-2,288,149,2
0,66,0,-2,154,145,5
33,66,0,-2,287,149,2
0,67,0,-2,157,147,5
33,67,0,-2,287,147,2
0,68,0,-2,153,145,5
34,68,0,-2,291,152,2
0,69,0,-2,155,145,5
34,69,0,-2,285,161,2
0,70,0,-2,154,145,5
35,70,0,-2,283,148,2
0,71,0,-2,154,146,5
35,71,0,-2,285,147,2
0,72,0,-2,158,145,5
36,72,0,-2,281,147,2
0,73,0,-2,159,144,5
36,73,0,-2,279,146,2
0,74,0,-2,157,146,5
37,74,0,-2,282,145,2
0,75,0,-2,153,146,5
37,75,0,-2,276,145,2
0,76,0,-2,152,145,5
38,76,0,-2,274,144,2
0,77,0,-2,152,143,5
38,77,0,-2,275,144,2
0,78,0,-2,152,143,5
39,78,0,-2,276,144,2
0,79,0,-2,152,143,5
39,79,0,-2,274,145,2
0,80,0,-2,152,143,5
40,80,0,-2,276,145,2
0,81,0,-2,153,144,5
40,81,0,-2,275,145,2
0,82,0,-2,151,143,5
41,82,0,-2,276,145,2
0,83,0,-2,156,144,5
41,83,0,-2,274,146,2
0,84,0,-2,152,143,5
42,84,0,-2,277,145,2
0,85,0,-2,152,144,5
42,85,0,-2,273,145,2
0,86,0,-2,153,145,5
43,86,0,-2,276,145,2
0,87,0,-2,152,143,5
43,87,0,-2,275,144,2
0,88,0,-2,152,144,5
44,88,0,-2,278,145,2
