patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,322,282,0
0,2,0,-2,318,284,0
0,3,0,-2,322,283,0
1,3,0,-2,599,329,0
0,4,0,-2,329,285,0
2,4,0,-2,611,333,0
0,5,0,-2,319,284,0
2,5,0,-2,611,334,0
0,6,0,-2,322,302,0
3,6,0,-2,616,333,0
0,7,0,-2,318,284,0
3,7,0,-2,619,332,0
0,8,0,-2,322,282,0
4,8,0,-2,608,329,0
0,9,0,-2,319,281,0
4,9,0,-2,607,329,0
0,10,0,-2,318,282,0
5,10,0,-2,613,328,0
0,11,0,-2,322,282,0
5,11,0,-2,601,328,0
0,12,0,-2,321,282,0
6,12,0,-2,604,329,0
0,13,0,-2,313,290,3
6,13,0,-2,597,331,3
0,14,0,-2,311,291,3
7,14,0,-2,597,329,3
0,15,0,-2,312,292,4
7,15,0,-2,598,331,4
0,16,0,-2,310,291,4
8,16,0,-2,596,333,4
0,17,0,-2,311,304,4
8,17,0,-2,597,331,4
0,18,0,-2,312,294,4
9,18,0,-2,598,329,4
0,19,0,-2,315,292,4
9,19,0,-2,598,331,4
0,20,0,-2,314,293,5
10,20,0,-2,599,332,4
0,21,0,-2,313,292,5
10,21,0,-2,595,329,4
0,22,0,-2,312,300,9
11,22,0,-2,601,332,8
0,23,0,-2,314,303,9
11,23,0,-2,600,332,9
0,24,0,-2,315,305,9
12,24,0,-2,604,333,9
0,25,0,-2,317,302,10
12,25,0,-2,601,331,9
0,26,0,-2,321,302,10
13,26,0,-2,591,331,6
0,27,0,-2,314,302,10
13,27,0,-2,591,329,6
0,28,0,-2,319,302,10
14,28,0,-2,591,330,6
0,29,0,-2,315,304,10
14,29,0,-2,590,330,6
0,30,0,-2,314,301,10
15,30,0,-2,593,330,5
0,31,0,-2,314,303,10
15,31,0,-2,592,331,5
0,32,0,-2,316,303,10
16,32,0,-2,590,332,5
0,33,0,-2,310,315,12
16,33,0,-2,593,331,7
0,34,0,-2,312,313,12
17,34,0,-2,588,330,7
0,35,0,-2,312,312,12
17,35,0,-2,592,330,7
0,36,0,-2,313,312,12
18,36,0,-2,595,332,7
0,37,0,-2,312,313,12
18,37,0,-2,590,330,7
0,38,0,-2,317,313,16
19,38,0,-2,590,330,11
0,39,0,-2,319,313,16
19,39,0,-2,593,332,11
0,40,0,-2,312,315,17
20,40,0,-2,595,332,12
0,41,0,-2,315,316,16
20,41,0,-2,589,331,13
0,42,0,-2,314,317,16
21,42,0,-2,590,331,13
0,43,0,-2,316,316,16
21,43,0,-2,589,330,13
0,44,0,-2,315,316,16
22,44,0,-2,594,328,9
0,45,0,-2,316,316,16
22,45,0,-2,596,329,9
0,46,0,-2,313,317,16
23,46,0,-2,596,328,8
0,47,0,-2,316,317,16
23,47,0,-2,593,329,8
0,48,0,-2,315,318,16
24,48,0,-2,596,328,8
0,49,0,-2,315,318,16
24,49,0,-2,595,328,8
0,50,0,-2,314,317,16
25,50,0,-2,599,329,8
0,51,0,-2,315,317,16
25,51,0,-2,595,329,8
0,52,0,-2,315,318,16
26,52,0,-2,595,330,8
0,53,0,-2,314,317,16
26,53,0,-2,595,327,8
0,54,0,-2,314,318,16
27,54,0,-2,594,328,8
0,55,0,-2,313,317,16
27,55,0,-2,594,327,8
0,56,0,-2,315,316,16
28,56,0,-2,594,328,8
0,57,0,-2,313,317,16
28,57,0,-2,597,327,8
0,58,0,-2,314,315,16
29,58,0,-2,595,327,8
0,59,0,-2,315,317,16
29,59,0,-2,593,327,8
0,60,0,-2,316,315,16
30,60,0,-2,593,326,8
0,61,0,-2,313,316,16
30,61,0,-2,593,326,8
0,62,0,-2,315,315,16
31,62,0,-2,592,324,8
0,63,0,-2,314,316,16
31,63,0,-2,595,327,8
0,64,0,-2,314,316,16
32,64,0,-2,593,323,8
0,65,0,-2,316,316,16
32,65,0,-2,597,325,8
0,66,0,-2,313,316,16
33,66,0,-2,592,324,6
0,67,0,-2,316,318,16
33,67,0,-2,592,324,6
0,68,0,-2,315,318,16
34,68,0,-2,611,325,6
0,69,0,-2,316,325,16
34,69,0,-2,596,323,6
0,70,0,-2,314,325,16
35,70,0,-2,592,331,6
0,71,0,-2,313,324,16
35,71,0,-2,590,332,6
0,72,0,-2,314,324,16
36,72,0,-2,590,330,6
0,73,0,-2,313,324,16
36,73,0,-2,591,330,6
0,74,0,-2,314,325,17
37,74,0,-2,593,343,7
0,75,0,-2,314,326,17
37,75,0,-2,591,329,7
0,76,0,-2,313,318,17
38,76,0,-2,588,328,3
0,77,0,-2,304,318,17
38,77,0,-2,593,330,3
0,78,0,-2,308,318,17
39,78,0,-2,595,326,3
0,79,0,-2,304,318,17
39,79,0,-2,592,321,3
0,80,0,-2,312,318,17
40,80,0,-2,594,320,2
0,81,0,-2,313,316,17
40,81,0,-2,601,322,2
0,82,0,-2,306,317,17
41,82,0,-2,585,319,1
0,83,0,-2,306,317,17
41,83,0,-2,585,318,1
0,84,0,-2,304,317,17
42,84,0,-2,584,318,1
0,85,0,-2,304,320,17
42,85,0,-2,589,320,1
0,86,0,-2,306,319,17
43,86,0,-2,590,323,1
0,87,0,-2,305,318,17
43,87,0,-2,583,319,1
0,88,0,-2,310,319,17
44,88,0,-2,585,320,1
