patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,160,127,0
0,2,0,-2,159,128,0
0,3,0,-2,163,128,0
1,3,0,-2,285,154,0
0,4,0,-2,158,136,0
2,4,0,-2,285,151,0
0,5,0,-2,160,135,0
2,5,0,-2,290,153,0
0,6,0,-2,158,129,0
3,6,0,-2,285,151,0
0,7,0,-2,158,127,0
3,7,0,-2,289,152,0
0,8,0,-2,158,128,0
4,8,0,-2,293,150,0
0,9,0,-2,158,127,0
4,9,0,-2,291,150,0
0,10,0,-2,158,127,0
5,10,0,-2,283,162,0
0,11,0,-2,154,126,0
5,11,0,-2,284,152,0
0,12,0,-2,157,127,0
6,12,0,-2,282,149,0
0,13,0,-2,157,127,0
6,13,0,-2,283,151,0
0,14,0,-2,159,126,0
7,14,0,-2,285,149,0
0,15,0,-2,158,127,0
7,15,0,-2,283,150,0
0,16,0,-2,155,127,0
8,16,0,-2,285,149,0
0,17,0,-2,153,126,0
8,17,0,-2,284,150,0
0,18,0,-2,157,128,0
9,18,0,-2,287,149,0
0,19,0,-2,157,126,0
9,19,0,-2,284,149,0
0,20,0,-2,156,127,0
10,20,0,-2,284,149,0
0,21,0,-2,158,127,0
10,21,0,-2,284,151,0
0,22,0,-2,158,127,0
11,22,0,-2,284,151,0
0,23,0,-2,159,128,0
11,23,0,-2,287,150,0
0,24,0,-2,157,126,0
12,24,0,-2,285,150,0
0,25,0,-2,156,127,0
12,25,0,-2,289,150,0
0,26,0,-2,158,128,0
13,26,0,-2,282,149,0
0,27,0,-2,157,127,0
13,27,0,-2,283,149,0
0,28,0,-2,157,132,1
14,28,0,-2,286,151,0
0,29,0,-2,159,137,2
14,29,0,-2,285,150,0
0,30,0,-2,158,142,3
15,30,0,-2,285,151,1
0,31,0,-2,153,146,3
15,31,0,-2,285,150,5
0,32,0,-2,157,147,3
16,32,0,-2,285,151,5
0,33,0,-2,156,145,3
16,33,0,-2,284,153,5
0,34,0,-2,158,145,3
17,34,0,-2,284,150,5
0,35,0,-2,157,145,4
17,35,0,-2,284,151,6
0,36,0,-2,159,146,4
18,36,0,-2,284,151,6
0,37,0,-2,158,147,4
18,37,0,-2,285,150,6
0,38,0,-2,159,146,4
19,38,0,-2,287,153,6
0,39,0,-2,159,149,4
19,39,0,-2,288,152,6
0,40,0,-2,160,149,4
20,40,0,-2,285,152,6
0,41,0,-2,159,149,4
20,41,0,-2,287,152,6
0,42,0,-2,160,147,4
21,42,0,-2,289,152,6
0,43,0,-2,158,148,4
21,43,0,-2,291,151,6
0,44,0,-2,162,147,4
22,44,0,-2,289,152,6
0,45,0,-2,159,147,4
22,45,0,-2,288,152,6
0,46,0,-2,159,148,4
23,46,0,-2,288,151,6
0,47,0,-2,159,147,4
23,47,0,-2,288,152,6
0,48,0,-2,160,148,4
24,48,0,-2,288,153,6
0,49,0,-2,160,148,4
24,49,0,-2,289,153,6
0,50,0,-2,160,147,4
25,50,0,-2,287,153,6
0,51,0,-2,157,148,4
25,51,0,-2,287,152,6
0,52,0,-2,159,147,4
26,52,0,-2,289,153,6
0,53,0,-2,161,147,4
26,53,0,-2,288,151,6
0,54,0,-2,159,149,4
27,54,0,-2,289,151,6
0,55,0,-2,161,147,4
27,55,0,-2,288,151,6
0,56,0,-2,159,148,4
28,56,0,-2,287,151,6
0,57,0,-2,159,148,4
28,57,0,-2,287,151,6
0,58,0,-2,161,149,4
29,58,0,-2,289,151,6
0,59,0,-2,160,147,4
29,59,0,-2,289,152,6
0,60,0,-2,159,149,4
30,60,0,-2,290,151,5
0,61,0,-2,152,147,4
30,61,0,-2,289,152,5
0,62,0,-2,158,147,4
31,62,0,-2,290,151,1
0,63,0,-2,159,147,4
31,63,0,-2,290,150,1
0,64,0,-2,159,147,4
32,64,0,-2,288,150,1
0,65,0,-2,159,149,4
32,65,0,-2,285,150,1
0,66,0,-2,158,146,4
33,66,0,-2,284,148,1
0,67,0,-2,157,145,4
33,67,0,-2,285,148,1
0,68,0,-2,159,146,4
34,68,0,-2,286,148,1
0,69,0,-2,154,146,4
34,69,0,-2,288,148,1
0,70,0,-2,159,147,4
35,70,0,-2,285,149,0
0,71,0,-2,158,147,4
35,71,0,-2,286,148,0
0,72,0,-2,158,148,4
36,72,0,-2,285,146,0
0,73,0,-2,157,146,4
36,73,0,-2,288,147,0
0,74,0,-2,157,146,4
37,74,0,-2,285,147,0
0,75,0,-2,157,145,4
37,75,0,-2,286,148,0
0,76,0,-2,158,146,4
38,76,0,-2,286,147,0
0,77,0,-2,157,147,4
38,77,0,-2,286,146,0
0,78,0,-2,158,146,4
39,78,0,-2,286,147,0
0,79,0,-2,159,147,4
39,79,0,-2,285,147,0
0,80,0,-2,157,147,4
40,80,0,-2,285,147,0
0,81,0,-2,158,146,4
40,81,0,-2,281,147,0
0,82,0,-2,158,146,4
41,82,0,-2,285,147,0
0,83,0,-2,158,146,4
41,83,0,-2,287,147,0
0,84,0,-2,158,145,4
42,84,0,-2,285,147,0
0,85,0,-2,158,147,4
42,85,0,-2,285,147,0
0,86,0,-2,157,147,4
43,86,0,-2,285,147,0
0,87,0,-2,157,146,4
43,87,0,-2,287,147,0
0,88,0,-2,159,147,4
44,88,0,-2,287,147,0
