patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,1340,1295,0
0,2,0,-2,1340,1288,0
0,3,0,-2,1333,1284,0
1,3,0,-2,2632,1569,0
0,4,0,-2,1328,1285,0
2,4,0,-2,2628,1540,0
0,5,0,-2,1340,1287,0
2,5,0,-2,2631,1538,0
0,6,0,-2,1336,1289,0
3,6,0,-2,2643,1544,0
0,7,0,-2,1330,1284,0
3,7,0,-2,2629,1549,0
0,8,0,-2,1352,1289,0
4,8,0,-2,2666,1592,0
0,9,0,-2,1341,1288,0
4,9,0,-2,2652,1589,0
0,10,0,-2,1334,1288,0
5,10,0,-2,2660,1613,0
0,11,0,-2,1348,1303,0
5,11,0,-2,2687,1607,0
0,12,0,-2,1344,1310,0
6,12,0,-2,2653,1555,0
0,13,0,-2,1346,1307,8
6,13,0,-2,2648,1605,8
0,14,0,-2,1353,1331,14
7,14,0,-2,2665,1562,14
0,15,0,-2,1354,1344,15
7,15,0,-2,2667,1587,15
0,16,0,-2,1348,1326,16
8,16,0,-2,2674,1563,16
0,17,0,-2,1340,1325,16
8,17,0,-2,2646,1584,16
0,18,0,-2,1339,1335,17
9,18,0,-2,2655,1565,17
0,19,0,-2,1337,1332,19
9,19,0,-2,2636,1574,19
0,20,0,-2,1339,1335,19
10,20,0,-2,2648,1559,19
0,21,0,-2,1343,1331,19
10,21,0,-2,2640,1569,19
0,22,0,-2,1342,1342,22
11,22,0,-2,2642,1576,22
0,23,0,-2,1321,1348,28
11,23,0,-2,2615,1552,28
0,24,0,-2,1322,1357,30
12,24,0,-2,2637,1585,30
0,25,0,-2,1324,1350,30
12,25,0,-2,2637,1550,30
0,26,0,-2,1314,1352,30
13,26,0,-2,2629,1549,22
0,27,0,-2,1322,1375,36
13,27,0,-2,2637,1584,28
0,28,0,-2,1317,1399,37
14,28,0,-2,2659,1556,23
0,29,0,-2,1332,1400,38
14,29,0,-2,2647,1589,24
0,30,0,-2,1331,1392,38
15,30,0,-2,2662,1609,23
0,31,0,-2,1327,1409,38
15,31,0,-2,2631,1546,23
0,32,0,-2,1323,1382,41
16,32,0,-2,2629,1558,25
0,33,0,-2,1324,1382,41
16,33,0,-2,2630,1597,25
0,34,0,-2,1321,1387,42
17,34,0,-2,2629,1562,26
0,35,0,-2,1348,1427,50
17,35,0,-2,2649,1592,34
0,36,0,-2,1342,1418,51
18,36,0,-2,2651,1596,34
0,37,0,-2,1332,1423,51
18,37,0,-2,2632,1551,34
0,38,0,-2,1337,1417,51
19,38,0,-2,2633,1553,32
0,39,0,-2,1323,1414,51
19,39,0,-2,2629,1595,32
0,40,0,-2,1332,1417,51
20,40,0,-2,2634,1544,32
0,41,0,-2,1330,1419,52
20,41,0,-2,2633,1547,33
0,42,0,-2,1336,1412,52
21,42,0,-2,2633,1622,33
0,43,0,-2,1337,1434,53
21,43,0,-2,2655,1558,34
0,44,0,-2,1332,1450,53
22,44,0,-2,2654,1550,31
0,45,0,-2,1343,1439,56
22,45,0,-2,2658,1589,34
0,46,0,-2,1331,1431,56
23,46,0,-2,2612,1540,28
0,47,0,-2,1326,1453,61
23,47,0,-2,2619,1533,33
0,48,0,-2,1336,1441,62
24,48,0,-2,2618,1566,32
0,49,0,-2,1333,1455,65
24,49,0,-2,2617,1534,35
0,50,0,-2,1333,1457,65
25,50,0,-2,2619,1541,35
0,51,0,-2,1334,1445,65
25,51,0,-2,2614,1569,35
0,52,0,-2,1332,1458,66
26,52,0,-2,2619,1534,36
0,53,0,-2,1334,1471,66
26,53,0,-2,2631,1535,36
0,54,0,-2,1340,1462,67
27,54,0,-2,2627,1574,31
0,55,0,-2,1339,1460,68
27,55,0,-2,2605,1530,32
0,56,0,-2,1329,1474,69
28,56,0,-2,2602,1543,32
0,57,0,-2,1333,1466,69
28,57,0,-2,2619,1593,32
0,58,0,-2,1325,1472,69
29,58,0,-2,2623,1547,31
0,59,0,-2,1333,1484,71
29,59,0,-2,2615,1541,33
0,60,0,-2,1335,1466,72
30,60,0,-2,2590,1574,34
0,61,0,-2,1316,1460,72
30,61,0,-2,2587,1536,34
0,62,0,-2,1321,1483,77
31,62,0,-2,2607,1531,39
0,63,0,-2,1316,1479,79
31,63,0,-2,2607,1569,41
0,64,0,-2,1316,1479,79
32,64,0,-2,2601,1563,38
0,65,0,-2,1320,1506,80
32,65,0,-2,2609,1528,39
0,66,0,-2,1316,1499,80
33,66,0,-2,2620,1554,39
0,67,0,-2,1318,1479,80
33,67,0,-2,2606,1564,39
0,68,0,-2,1319,1523,81
34,68,0,-2,2611,1529,39
0,69,0,-2,1321,1511,81
34,69,0,-2,2614,1535,39
0,70,0,-2,1321,1486,82
35,70,0,-2,2616,1558,32
