patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,11,9,0
1,0,-2,393,340,0
2,0,-2,387,371,0
3,0,-2,383,372,0
4,0,-2,357,339,0
5,0,-2,358,331,0
6,0,-2,356,331,0
7,0,-2,361,330,0
8,0,-2,360,331,0
9,0,-2,368,331,0
10,0,-2,349,338,0
11,0,-2,353,339,0
12,0,-2,353,339,0
13,0,-2,366,332,0
14,0,-2,353,334,0
15,0,-2,354,335,0
16,0,-2,356,334,0
17,0,-2,320,303,0
18,0,-2,266,238,0
19,0,-2,254,238,0
20,0,-2,251,246,0
21,0,-2,251,238,0
22,0,-2,259,240,0
23,0,-2,309,288,0
24,0,-2,295,283,0
25,0,-2,314,282,0
26,0,-2,303,284,0
27,0,-2,298,290,0
28,0,-2,253,240,0
29,0,-2,259,239,0
30,0,-2,252,242,0
31,0,-2,255,238,0
32,0,-2,252,243,1
33,0,-2,254,230,2
34,0,-2,254,239,0
35,0,-2,249,230,0
36,0,-2,255,240,0
37,0,-2,255,233,2
38,0,-2,254,231,2
39,0,-2,256,240,0
40,0,-2,254,241,0
41,0,-2,252,240,0
42,0,-2,255,240,0
43,0,-2,253,240,0
44,0,-2,254,242,0
45,0,-2,254,242,0
46,0,-2,256,240,0
47,0,-2,256,239,0
48,0,-2,253,241,0
49,0,-2,254,240,0
50,0,-2,255,241,0
51,0,-2,255,240,0
52,0,-2,254,241,0
53,0,-2,254,241,0
54,0,-2,266,243,1
55,0,-2,267,253,0
56,0,-2,267,254,0
57,0,-2,266,251,0
58,0,-2,268,253,0
59,0,-2,265,254,0
60,0,-2,267,253,0
61,0,-2,268,253,0
62,0,-2,266,256,0
63,0,-2,266,255,0
64,0,-2,267,254,0
65,0,-2,270,251,6
66,0,-2,269,253,0
67,0,-2,268,255,0
68,0,-2,268,254,0
69,0,-2,268,251,0
70,0,-2,268,254,0
71,0,-2,268,255,0
72,0,-2,300,278,5
73,0,-2,300,277,5
74,0,-2,298,280,5
75,0,-2,298,277,5
76,0,-2,300,277,5
77,0,-2,304,279,5
78,0,-2,298,277,5
79,0,-2,307,277,5
80,0,-2,309,277,5
81,0,-2,307,280,5
82,0,-2,308,278,5
83,0,-2,307,278,5
84,0,-2,307,279,5
85,0,-2,303,279,5
86,0,-2,308,278,5
87,0,-2,307,277,5
88,0,-2,307,277,5
