patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,14,17,0
1,0,-2,224,148,0
2,0,-2,166,134,0
3,0,-2,164,134,0
4,0,-2,172,147,0
5,0,-2,165,133,0
6,0,-2,165,134,0
7,0,-2,171,147,0
8,0,-2,168,147,0
9,0,-2,169,147,0
10,0,-2,169,147,0
11,0,-2,171,149,0
12,0,-2,169,147,0
13,0,-2,171,148,1
14,0,-2,171,148,1
15,0,-2,171,149,2
16,0,-2,174,150,1
17,0,-2,166,135,1
18,0,-2,165,134,0
19,0,-2,163,133,0
20,0,-2,171,147,0
21,0,-2,171,148,0
22,0,-2,173,147,0
23,0,-2,166,136,2
24,0,-2,168,136,2
25,0,-2,174,148,2
26,0,-2,174,150,2
27,0,-2,166,135,2
28,0,-2,166,135,2
29,0,-2,174,149,2
30,0,-2,171,149,2
31,0,-2,171,150,2
32,0,-2,171,149,2
33,0,-2,172,150,2
34,0,-2,174,149,2
35,0,-2,167,135,2
36,0,-2,172,150,2
37,0,-2,170,149,2
38,0,-2,171,149,2
39,0,-2,172,149,2
40,0,-2,170,149,2
41,0,-2,174,150,2
42,0,-2,167,135,2
43,0,-2,166,135,2
44,0,-2,173,149,2
45,0,-2,172,149,2
46,0,-2,170,150,2
47,0,-2,171,148,2
48,0,-2,174,148,2
49,0,-2,167,134,2
50,0,-2,162,135,2
51,0,-2,173,149,2
52,0,-2,176,148,2
53,0,-2,166,134,2
54,0,-2,161,133,3
55,0,-2,171,148,3
56,0,-2,171,147,3
57,0,-2,167,134,3
58,0,-2,165,133,3
59,0,-2,165,135,3
60,0,-2,171,148,3
61,0,-2,171,148,3
62,0,-2,170,148,3
63,0,-2,172,148,3
64,0,-2,172,148,3
65,0,-2,166,147,3
66,0,-2,166,134,3
67,0,-2,173,147,3
68,0,-2,165,133,3
69,0,-2,172,148,3
70,0,-2,170,148,3
71,0,-2,171,147,3
72,0,-2,170,147,3
73,0,-2,171,147,3
74,0,-2,169,150,3
75,0,-2,171,147,3
76,0,-2,170,148,3
77,0,-2,167,134,3
78,0,-2,172,147,3
79,0,-2,169,149,3
80,0,-2,169,147,3
81,0,-2,173,147,3
82,0,-2,166,133,3
83,0,-2,169,133,3
84,0,-2,165,134,3
85,0,-2,172,147,3
86,0,-2,169,147,3
87,0,-2,175,147,3
88,0,-2,161,133,3
