patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,13,15,0
1,0,-2,140,75,0
2,0,-2,105,72,0
3,0,-2,100,73,0
4,0,-2,103,72,0
5,0,-2,101,72,0
6,0,-2,103,73,0
7,0,-2,101,72,0
8,0,-2,103,72,0
9,0,-2,101,72,0
10,0,-2,102,72,0
11,0,-2,102,72,0
12,0,-2,101,72,0
13,0,-2,100,72,0
14,0,-2,104,73,1
15,0,-2,102,74,1
16,0,-2,101,73,1
17,0,-2,101,72,1
18,0,-2,101,72,1
19,0,-2,101,72,1
20,0,-2,103,73,1
21,0,-2,100,73,1
22,0,-2,102,72,1
23,0,-2,104,73,1
24,0,-2,103,73,1
25,0,-2,101,72,1
26,0,-2,101,73,1
27,0,-2,104,74,1
28,0,-2,102,72,1
29,0,-2,104,72,1
30,0,-2,103,72,1
31,0,-2,103,72,1
32,0,-2,103,73,1
33,0,-2,101,75,1
34,0,-2,103,73,1
35,0,-2,100,73,1
36,0,-2,103,72,1
37,0,-2,102,73,1
38,0,-2,104,73,1
39,0,-2,103,73,1
40,0,-2,99,73,1
41,0,-2,100,73,1
42,0,-2,98,74,1
43,0,-2,99,73,1
44,0,-2,99,73,1
45,0,-2,99,73,1
46,0,-2,99,73,1
47,0,-2,100,73,1
48,0,-2,99,72,1
49,0,-2,100,72,1
50,0,-2,98,72,1
51,0,-2,98,73,1
52,0,-2,99,79,1
53,0,-2,104,80,1
54,0,-2,102,72,1
55,0,-2,102,73,1
56,0,-2,96,73,1
57,0,-2,99,73,1
58,0,-2,95,73,1
59,0,-2,95,73,1
60,0,-2,94,73,1
61,0,-2,110,73,1
62,0,-2,94,72,1
63,0,-2,99,73,1
64,0,-2,96,72,1
65,0,-2,99,81,2
66,0,-2,100,73,2
67,0,-2,95,73,2
68,0,-2,100,74,2
69,0,-2,94,75,2
70,0,-2,99,73,2
71,0,-2,95,74,2
72,0,-2,95,74,2
73,0,-2,95,74,2
74,0,-2,95,81,2
75,0,-2,95,74,2
76,0,-2,103,74,2
77,0,-2,95,74,2
78,0,-2,99,73,2
79,0,-2,96,73,2
80,0,-2,99,73,2
81,0,-2,95,75,2
82,0,-2,96,73,2
83,0,-2,95,81,2
84,0,-2,99,74,2
85,0,-2,96,73,2
86,0,-2,95,73,2
87,0,-2,99,74,2
88,0,-2,105,73,2
