patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,14,11,0
1,0,-2,565,499,0
2,0,-2,528,499,0
3,0,-2,532,502,0
4,0,-2,530,499,0
5,0,-2,525,496,0
6,0,-2,525,498,0
7,0,-2,525,497,0
8,0,-2,524,498,0
9,0,-2,525,498,0
10,0,-2,525,497,0
11,0,-2,525,499,0
12,0,-2,528,499,0
13,0,-2,530,498,0
14,0,-2,530,499,1
15,0,-2,546,509,14
16,0,-2,538,512,14
17,0,-2,536,506,14
18,0,-2,536,510,14
19,0,-2,553,514,13
20,0,-2,540,509,13
21,0,-2,542,511,13
22,0,-2,539,511,14
23,0,-2,540,509,14
24,0,-2,544,509,14
25,0,-2,538,509,14
26,0,-2,539,509,14
27,0,-2,540,520,15
28,0,-2,530,510,15
29,0,-2,537,514,22
30,0,-2,537,512,22
31,0,-2,535,517,22
32,0,-2,537,515,22
33,0,-2,538,515,24
34,0,-2,535,515,24
35,0,-2,535,519,24
36,0,-2,540,516,25
37,0,-2,536,525,25
38,0,-2,537,515,26
39,0,-2,538,518,27
40,0,-2,538,517,27
41,0,-2,536,516,28
42,0,-2,538,514,28
43,0,-2,538,518,28
44,0,-2,540,518,29
45,0,-2,540,517,29
46,0,-2,540,518,29
47,0,-2,535,514,29
48,0,-2,537,516,29
49,0,-2,536,516,29
50,0,-2,534,516,30
51,0,-2,536,513,30
52,0,-2,537,515,30
53,0,-2,537,514,30
54,0,-2,539,513,30
55,0,-2,537,512,30
56,0,-2,536,514,30
57,0,-2,535,516,30
58,0,-2,537,513,30
59,0,-2,537,515,30
60,0,-2,555,519,30
61,0,-2,544,514,30
62,0,-2,540,519,30
63,0,-2,535,521,30
64,0,-2,544,516,30
65,0,-2,544,553,30
66,0,-2,540,523,30
67,0,-2,544,516,30
68,0,-2,539,524,30
69,0,-2,537,529,30
70,0,-2,543,514,30
71,0,-2,542,521,30
72,0,-2,534,519,30
73,0,-2,548,512,30
74,0,-2,541,522,30
75,0,-2,536,521,30
76,0,-2,544,511,30
77,0,-2,540,523,30
78,0,-2,540,519,30
79,0,-2,553,514,30
80,0,-2,538,515,30
81,0,-2,536,514,30
82,0,-2,537,515,30
83,0,-2,546,522,30
84,0,-2,534,520,30
85,0,-2,543,514,30
86,0,-2,542,523,30
87,0,-2,534,520,30
88,0,-2,544,514,30
