patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,13,11,0
1,0,-2,2142,1988,0
2,0,-2,2022,1992,0
3,0,-2,2036,2000,0
4,0,-2,2034,1995,0
5,0,-2,2034,2005,0
6,0,-2,2028,2000,0
7,0,-2,2032,1993,0
8,0,-2,2037,2022,0
9,0,-2,2041,2019,0
10,0,-2,2047,2008,0
11,0,-2,2054,2011,0
12,0,-2,2060,2022,0
13,0,-2,2121,2074,8
14,0,-2,2098,2060,13
15,0,-2,2111,2080,16
16,0,-2,2121,2073,21
17,0,-2,2110,2071,21
18,0,-2,2116,2081,28
19,0,-2,2111,2084,28
20,0,-2,2125,2086,32
21,0,-2,2129,2085,32
22,0,-2,2126,2084,33
23,0,-2,2127,2092,36
24,0,-2,2131,2090,36
25,0,-2,2131,2097,38
26,0,-2,2138,2102,40
27,0,-2,2144,2125,45
28,0,-2,2140,2115,47
29,0,-2,2136,2101,48
30,0,-2,2132,2108,49
31,0,-2,2150,2102,49
32,0,-2,2140,2132,51
33,0,-2,2148,2125,52
34,0,-2,2171,2147,54
35,0,-2,2160,2129,57
36,0,-2,2164,2130,57
37,0,-2,2172,2114,59
38,0,-2,2178,2159,61
39,0,-2,2190,2151,68
40,0,-2,2202,2139,75
41,0,-2,2163,2126,81
42,0,-2,2161,2117,82
43,0,-2,2163,2143,83
44,0,-2,2162,2123,83
45,0,-2,2159,2129,85
46,0,-2,2156,2132,88
47,0,-2,2158,2127,90
48,0,-2,2168,2134,97
49,0,-2,68,2134,102
50,0,-2,68,2128,104
51,0,-2,67,2134,106
52,0,-2,71,2121,106
53,0,-2,70,2127,108
54,0,-2,68,2120,108
55,0,-2,70,2130,109
56,0,-2,70,2120,109
57,0,-2,75,2132,109
58,0,-2,72,2123,109
59,0,-2,71,2129,110
60,0,-2,68,2063,110
61,0,-2,67,2027,110
62,0,-2,66,2046,113
63,0,-2,66,2039,113
64,0,-2,66,2034,115
65,0,-2,66,2043,119
66,0,-2,66,2051,122
67,0,-2,66,2035,123
68,0,-2,66,2043,123
69,0,-2,66,2038,124
70,0,-2,67,2031,127
71,0,-2,66,2051,129
72,0,-2,68,2017,129
73,0,-2,65,2022,130
74,0,-2,67,2019,131
75,0,-2,66,2015,131
76,0,-2,72,2024,131
77,0,-2,67,2028,131
78,0,-2,74,2016,131
79,0,-2,65,2022,132
80,0,-2,66,2019,133
81,0,-2,65,2019,134
82,0,-2,66,2024,135
83,0,-2,66,2019,137
84,0,-2,65,2022,137
85,0,-2,66,2020,137
86,0,-2,66,2018,138
87,0,-2,66,2023,138
88,0,-2,66,2016,138
