patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,13,13,0
1,0,-2,172,123,0
2,0,-2,142,124,0
3,0,-2,144,124,0
4,0,-2,152,136,0
5,0,-2,141,124,0
6,0,-2,147,136,0
7,0,-2,140,123,0
8,0,-2,142,124,0
9,0,-2,143,123,0
10,0,-2,147,135,0
11,0,-2,139,124,0
12,0,-2,142,123,0
13,0,-2,176,138,0
14,0,-2,165,152,0
15,0,-2,156,138,0
16,0,-2,158,140,0
17,0,-2,158,140,2
18,0,-2,164,152,2
19,0,-2,161,138,2
20,0,-2,157,138,2
21,0,-2,158,138,2
22,0,-2,166,153,2
23,0,-2,159,138,0
24,0,-2,158,139,0
25,0,-2,158,137,2
26,0,-2,165,152,2
27,0,-2,157,138,2
28,0,-2,158,140,2
29,0,-2,159,139,2
30,0,-2,167,152,2
31,0,-2,156,140,2
32,0,-2,158,140,2
33,0,-2,154,139,2
34,0,-2,165,152,2
35,0,-2,160,138,2
36,0,-2,158,138,2
37,0,-2,158,139,2
38,0,-2,164,152,2
39,0,-2,156,140,2
40,0,-2,159,139,2
41,0,-2,158,138,2
42,0,-2,165,152,2
43,0,-2,156,139,2
44,0,-2,159,140,2
45,0,-2,158,140,2
46,0,-2,164,154,2
47,0,-2,155,139,2
48,0,-2,160,139,2
49,0,-2,160,138,2
50,0,-2,164,154,2
51,0,-2,157,139,2
52,0,-2,158,139,2
53,0,-2,162,140,2
54,0,-2,164,153,2
55,0,-2,159,139,2
56,0,-2,159,139,2
57,0,-2,158,138,2
58,0,-2,164,155,2
59,0,-2,160,138,2
60,0,-2,157,138,2
61,0,-2,158,140,2
62,0,-2,164,152,2
63,0,-2,155,138,2
64,0,-2,160,139,2
65,0,-2,159,139,2
66,0,-2,164,155,2
67,0,-2,156,138,2
68,0,-2,158,138,2
69,0,-2,159,140,2
70,0,-2,166,153,2
71,0,-2,156,140,2
72,0,-2,160,139,2
73,0,-2,158,139,2
74,0,-2,165,154,2
75,0,-2,157,138,2
76,0,-2,158,139,2
77,0,-2,159,140,2
78,0,-2,163,152,2
79,0,-2,155,142,2
80,0,-2,158,139,2
81,0,-2,158,139,2
82,0,-2,166,153,2
83,0,-2,156,140,2
84,0,-2,158,139,2
85,0,-2,160,139,2
86,0,-2,163,151,2
87,0,-2,155,140,2
88,0,-2,158,139,2
