patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,14,11,0
1,0,-2,275,210,0
2,0,-2,236,207,0
3,0,-2,229,207,0
4,0,-2,231,207,0
5,0,-2,229,207,0
6,0,-2,230,205,0
7,0,-2,231,207,0
8,0,-2,232,205,0
9,0,-2,232,207,0
10,0,-2,231,207,0
11,0,-2,232,206,0
12,0,-2,230,207,0
13,0,-2,230,204,1
14,0,-2,256,217,0
15,0,-2,240,216,0
16,0,-2,243,213,0
17,0,-2,226,211,0
18,0,-2,227,211,0
19,0,-2,226,213,0
20,0,-2,226,211,0
21,0,-2,226,213,0
22,0,-2,226,211,0
23,0,-2,229,205,1
24,0,-2,234,204,1
25,0,-2,228,212,0
26,0,-2,225,211,0
27,0,-2,228,211,0
28,0,-2,227,214,0
29,0,-2,228,211,0
30,0,-2,227,213,0
31,0,-2,231,212,0
32,0,-2,228,212,0
33,0,-2,228,214,0
34,0,-2,230,213,0
35,0,-2,228,211,0
36,0,-2,230,212,0
37,0,-2,229,211,0
38,0,-2,228,211,0
39,0,-2,230,218,0
40,0,-2,226,210,0
41,0,-2,225,211,0
42,0,-2,228,211,0
43,0,-2,229,210,0
44,0,-2,228,214,0
45,0,-2,230,212,0
46,0,-2,229,212,0
47,0,-2,230,212,0
48,0,-2,229,213,0
49,0,-2,227,210,0
50,0,-2,228,212,0
51,0,-2,228,211,0
52,0,-2,228,212,0
53,0,-2,228,212,0
54,0,-2,231,212,0
55,0,-2,228,211,0
56,0,-2,229,210,0
57,0,-2,227,211,0
58,0,-2,227,210,0
59,0,-2,227,203,1
60,0,-2,229,201,1
61,0,-2,230,203,1
62,0,-2,227,211,0
63,0,-2,229,211,0
64,0,-2,227,211,0
65,0,-2,231,211,0
66,0,-2,228,214,0
67,0,-2,227,212,0
68,0,-2,227,203,2
69,0,-2,228,202,2
70,0,-2,229,204,2
71,0,-2,228,212,0
72,0,-2,229,212,0
73,0,-2,229,203,2
74,0,-2,229,212,0
75,0,-2,228,203,3
76,0,-2,229,203,3
77,0,-2,229,204,3
78,0,-2,227,202,3
79,0,-2,229,204,3
80,0,-2,227,203,4
81,0,-2,227,205,3
82,0,-2,227,203,3
83,0,-2,232,204,4
84,0,-2,228,202,4
85,0,-2,227,203,4
86,0,-2,229,203,4
87,0,-2,228,204,4
88,0,-2,229,212,0
