patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,14,13,0
1,0,-2,203,139,1
2,0,-2,159,138,1
3,0,-2,164,139,1
4,0,-2,157,139,1
5,0,-2,175,138,1
6,0,-2,162,139,1
7,0,-2,158,139,1
8,0,-2,162,140,1
9,0,-2,163,139,1
10,0,-2,162,139,1
11,0,-2,159,139,1
12,0,-2,157,138,1
13,0,-2,162,139,1
14,0,-2,163,140,2
15,0,-2,162,140,2
16,0,-2,159,147,2
17,0,-2,166,140,2
18,0,-2,167,140,2
19,0,-2,166,138,3
20,0,-2,165,138,3
21,0,-2,164,139,3
22,0,-2,164,139,3
23,0,-2,164,138,3
24,0,-2,172,138,3
25,0,-2,165,139,3
26,0,-2,167,141,4
27,0,-2,168,140,4
28,0,-2,166,152,4
29,0,-2,165,147,5
30,0,-2,166,139,5
31,0,-2,165,138,5
32,0,-2,170,140,5
33,0,-2,165,140,5
34,0,-2,165,146,5
35,0,-2,165,139,5
36,0,-2,165,140,5
37,0,-2,172,140,5
38,0,-2,165,139,5
39,0,-2,164,146,5
40,0,-2,165,140,5
41,0,-2,165,139,5
42,0,-2,168,143,5
43,0,-2,165,140,5
44,0,-2,167,140,5
45,0,-2,171,139,5
46,0,-2,165,139,5
47,0,-2,165,146,5
48,0,-2,164,139,5
49,0,-2,165,139,5
50,0,-2,173,140,5
51,0,-2,165,138,5
52,0,-2,164,147,5
53,0,-2,165,139,6
54,0,-2,164,139,6
55,0,-2,173,138,6
56,0,-2,165,139,6
57,0,-2,165,138,6
58,0,-2,169,139,6
59,0,-2,167,140,5
60,0,-2,165,158,5
61,0,-2,166,140,5
62,0,-2,166,140,5
63,0,-2,167,140,5
64,0,-2,166,140,5
65,0,-2,165,141,5
66,0,-2,166,140,5
67,0,-2,165,139,5
68,0,-2,167,140,5
69,0,-2,165,140,5
70,0,-2,166,141,5
71,0,-2,166,151,5
72,0,-2,165,140,5
73,0,-2,174,140,5
74,0,-2,165,140,5
75,0,-2,165,139,5
76,0,-2,171,142,5
77,0,-2,174,147,5
78,0,-2,176,149,5
79,0,-2,173,145,5
80,0,-2,172,147,5
81,0,-2,174,145,5
82,0,-2,172,145,5
83,0,-2,180,146,5
84,0,-2,171,146,5
85,0,-2,172,153,5
86,0,-2,171,145,5
87,0,-2,171,145,5
88,0,-2,178,146,5
