patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,13,15,0
1,0,-2,369,303,0
2,0,-2,337,303,0
3,0,-2,336,302,0
4,0,-2,336,303,0
5,0,-2,337,303,0
6,0,-2,335,303,0
7,0,-2,336,303,0
8,0,-2,335,302,0
9,0,-2,336,303,0
10,0,-2,334,302,0
11,0,-2,336,305,0
12,0,-2,337,305,0
13,0,-2,344,293,1
14,0,-2,328,296,1
15,0,-2,328,298,2
16,0,-2,329,299,2
17,0,-2,331,296,2
18,0,-2,337,295,2
19,0,-2,329,299,2
20,0,-2,329,298,3
21,0,-2,329,296,3
22,0,-2,334,299,7
23,0,-2,331,298,7
24,0,-2,330,299,7
25,0,-2,327,300,8
26,0,-2,328,299,8
27,0,-2,331,298,8
28,0,-2,335,298,8
29,0,-2,331,300,8
30,0,-2,331,299,8
31,0,-2,332,298,8
32,0,-2,332,298,8
33,0,-2,329,295,10
34,0,-2,327,297,10
35,0,-2,329,296,10
36,0,-2,331,295,10
37,0,-2,329,295,10
38,0,-2,329,299,14
39,0,-2,329,299,14
40,0,-2,329,297,15
41,0,-2,331,297,14
42,0,-2,332,298,14
43,0,-2,328,297,14
44,0,-2,335,297,14
45,0,-2,330,297,14
46,0,-2,336,298,14
47,0,-2,328,296,14
48,0,-2,328,299,14
49,0,-2,329,299,14
50,0,-2,331,296,14
51,0,-2,338,297,14
52,0,-2,330,298,14
53,0,-2,328,299,14
54,0,-2,330,297,14
55,0,-2,331,297,14
56,0,-2,330,297,14
57,0,-2,352,298,14
58,0,-2,333,300,14
59,0,-2,328,297,14
60,0,-2,333,298,14
61,0,-2,330,299,14
62,0,-2,329,309,14
63,0,-2,329,298,14
64,0,-2,330,296,14
65,0,-2,331,297,14
66,0,-2,332,298,14
67,0,-2,331,298,14
68,0,-2,330,299,14
69,0,-2,335,297,14
70,0,-2,329,299,14
71,0,-2,331,297,14
72,0,-2,328,298,14
73,0,-2,329,297,14
74,0,-2,332,296,15
75,0,-2,331,296,15
76,0,-2,328,300,15
77,0,-2,329,296,15
78,0,-2,330,296,15
79,0,-2,330,297,15
80,0,-2,329,298,15
81,0,-2,328,298,15
82,0,-2,329,295,15
83,0,-2,328,297,15
84,0,-2,331,296,15
85,0,-2,329,299,15
86,0,-2,328,298,15
87,0,-2,328,296,15
88,0,-2,331,297,15
