patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,12,13,0
1,0,-2,1461,1332,0
2,0,-2,1361,1327,0
3,0,-2,1357,1330,0
4,0,-2,1349,1321,0
5,0,-2,1364,1314,0
6,0,-2,1339,1315,0
7,0,-2,1342,1316,0
8,0,-2,1337,1313,0
9,0,-2,1342,1319,0
10,0,-2,1341,1317,0
11,0,-2,1349,1319,0
12,0,-2,1346,1320,0
13,0,-2,1362,1328,1
14,0,-2,1395,1366,2
15,0,-2,1396,1354,3
16,0,-2,1393,1357,4
17,0,-2,1393,1352,4
18,0,-2,1374,1344,5
19,0,-2,1387,1344,6
20,0,-2,1375,1342,6
21,0,-2,1385,1342,6
22,0,-2,1375,1350,8
23,0,-2,1407,1344,9
24,0,-2,1380,1356,9
25,0,-2,1395,1348,14
26,0,-2,1385,1354,14
27,0,-2,1398,1353,14
28,0,-2,1393,1362,15
29,0,-2,1414,1368,22
30,0,-2,1404,1374,23
31,0,-2,1413,1365,23
32,0,-2,1267,1227,16
33,0,-2,1275,1233,18
34,0,-2,1271,1249,18
35,0,-2,1278,1241,19
36,0,-2,1275,1237,20
37,0,-2,1276,1244,20
38,0,-2,1283,1246,21
39,0,-2,1285,1234,25
40,0,-2,1288,1235,26
41,0,-2,1285,1246,27
42,0,-2,1277,1246,28
43,0,-2,1281,1242,32
44,0,-2,1280,1246,36
45,0,-2,1281,1244,36
46,0,-2,1281,1239,37
47,0,-2,1274,1231,38
48,0,-2,1273,1231,39
49,0,-2,1266,1236,44
50,0,-2,1277,1237,45
51,0,-2,1269,1241,46
52,0,-2,1275,1246,48
53,0,-2,1274,1241,48
54,0,-2,1275,1236,48
55,0,-2,1281,1233,48
56,0,-2,1254,1232,49
57,0,-2,1265,1238,50
58,0,-2,1271,1242,50
59,0,-2,1272,1237,54
60,0,-2,1273,1230,54
61,0,-2,1267,1243,54
62,0,-2,1261,1245,56
63,0,-2,1271,1235,56
64,0,-2,1262,1238,58
65,0,-2,1266,1255,59
66,0,-2,1288,1247,59
67,0,-2,1279,1243,59
68,0,-2,1338,1245,60
69,0,-2,1269,1251,60
70,0,-2,1270,1233,61
71,0,-2,1266,1233,61
72,0,-2,1258,1230,61
73,0,-2,1275,1241,61
74,0,-2,1261,1248,61
75,0,-2,1268,1242,63
76,0,-2,1270,1243,63
77,0,-2,1277,1243,63
78,0,-2,1279,1239,63
79,0,-2,1276,1242,64
80,0,-2,1275,1243,64
81,0,-2,1280,1244,64
82,0,-2,1273,1246,66
83,0,-2,1256,1233,66
84,0,-2,1265,1237,66
85,0,-2,1268,1241,67
86,0,-2,1267,1234,67
87,0,-2,1262,1244,68
88,0,-2,1272,1233,68
