patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,11,13,0
1,0,-2,168,130,0
2,0,-2,145,122,0
3,0,-2,154,133,0
4,0,-2,152,121,0
5,0,-2,147,121,0
6,0,-2,148,121,0
7,0,-2,154,122,0
8,0,-2,147,121,0
9,0,-2,146,120,0
10,0,-2,154,122,0
11,0,-2,149,128,0
12,0,-2,148,124,0
13,0,-2,156,113,1
14,0,-2,139,114,1
15,0,-2,140,114,1
16,0,-2,142,114,1
17,0,-2,141,114,0
18,0,-2,140,113,0
19,0,-2,148,114,0
20,0,-2,139,113,0
21,0,-2,140,114,0
22,0,-2,147,114,0
23,0,-2,135,133,0
24,0,-2,141,133,0
25,0,-2,147,134,0
26,0,-2,140,133,0
27,0,-2,140,133,0
28,0,-2,142,133,0
29,0,-2,139,133,0
30,0,-2,139,132,0
31,0,-2,142,132,0
32,0,-2,139,133,0
33,0,-2,135,134,0
34,0,-2,137,133,0
35,0,-2,140,133,0
36,0,-2,137,133,0
37,0,-2,138,132,0
38,0,-2,138,133,0
39,0,-2,140,139,0
40,0,-2,136,133,0
41,0,-2,135,133,0
42,0,-2,140,140,0
43,0,-2,139,133,0
44,0,-2,140,133,0
45,0,-2,140,139,0
46,0,-2,140,133,0
47,0,-2,139,133,0
48,0,-2,137,140,0
49,0,-2,139,132,0
50,0,-2,141,133,0
51,0,-2,142,114,0
52,0,-2,138,114,0
53,0,-2,139,112,1
54,0,-2,139,120,1
55,0,-2,136,114,1
56,0,-2,141,113,1
57,0,-2,139,129,1
58,0,-2,139,113,1
59,0,-2,138,112,1
60,0,-2,139,120,1
61,0,-2,136,112,1
62,0,-2,139,113,1
63,0,-2,140,121,1
64,0,-2,139,113,1
65,0,-2,138,113,1
66,0,-2,139,113,1
67,0,-2,134,113,1
68,0,-2,140,112,1
69,0,-2,140,112,1
70,0,-2,142,113,1
71,0,-2,139,113,1
72,0,-2,139,112,1
73,0,-2,147,113,1
74,0,-2,138,113,1
75,0,-2,139,114,1
76,0,-2,147,113,1
77,0,-2,139,114,1
78,0,-2,140,112,1
79,0,-2,143,116,1
80,0,-2,140,114,1
81,0,-2,139,113,1
82,0,-2,139,120,1
83,0,-2,139,113,1
84,0,-2,140,113,1
85,0,-2,139,120,1
86,0,-2,139,113,1
87,0,-2,135,112,1
88,0,-2,134,121,1
