patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,13,11,0
1,0,-2,444,401,1
2,0,-2,427,398,1
3,0,-2,428,400,1
4,0,-2,432,398,1
5,0,-2,430,398,1
6,0,-2,430,400,1
7,0,-2,428,397,1
8,0,-2,429,398,1
9,0,-2,425,398,1
10,0,-2,432,402,1
11,0,-2,432,401,1
12,0,-2,435,403,1
13,0,-2,374,322,0
14,0,-2,354,323,1
15,0,-2,354,325,3
16,0,-2,354,325,3
17,0,-2,358,323,3
18,0,-2,360,323,4
19,0,-2,356,324,4
20,0,-2,359,326,4
21,0,-2,359,326,4
22,0,-2,360,327,4
23,0,-2,359,324,4
24,0,-2,359,324,4
25,0,-2,358,324,4
26,0,-2,353,325,5
27,0,-2,357,326,5
28,0,-2,358,326,5
29,0,-2,366,333,5
30,0,-2,358,334,5
31,0,-2,356,324,5
32,0,-2,362,326,5
33,0,-2,367,322,6
34,0,-2,364,326,6
35,0,-2,349,332,6
36,0,-2,357,331,6
37,0,-2,357,333,6
38,0,-2,359,324,5
39,0,-2,363,323,5
40,0,-2,365,323,5
41,0,-2,365,323,5
42,0,-2,357,331,6
43,0,-2,358,339,6
44,0,-2,359,335,7
45,0,-2,360,327,7
46,0,-2,359,328,7
47,0,-2,366,325,8
48,0,-2,362,324,8
49,0,-2,363,325,8
50,0,-2,358,334,9
51,0,-2,352,333,9
52,0,-2,358,331,9
53,0,-2,353,324,9
54,0,-2,364,323,9
55,0,-2,360,324,9
56,0,-2,362,325,9
57,0,-2,358,333,9
58,0,-2,354,336,9
59,0,-2,357,326,9
60,0,-2,356,326,9
61,0,-2,359,324,9
62,0,-2,359,322,9
63,0,-2,361,325,9
64,0,-2,355,327,9
65,0,-2,356,327,9
66,0,-2,357,328,9
67,0,-2,359,327,9
68,0,-2,357,327,10
69,0,-2,360,325,10
70,0,-2,361,323,10
71,0,-2,360,327,10
72,0,-2,358,325,10
73,0,-2,356,327,10
74,0,-2,352,323,10
75,0,-2,359,323,10
76,0,-2,356,324,10
77,0,-2,363,323,10
78,0,-2,354,325,11
79,0,-2,359,333,11
80,0,-2,358,325,11
81,0,-2,354,323,11
82,0,-2,357,322,11
83,0,-2,359,322,11
84,0,-2,359,323,11
85,0,-2,359,325,11
86,0,-2,353,325,11
87,0,-2,356,326,11
88,0,-2,352,322,11
