patch,offset,limit,count-ms,lookup-mus,results
0,0,-0.002,0.006,0.005,0
1,0,-0.002,0.091,0.045,0
2,0,-0.002,0.068,0.046,0
3,0,-0.002,0.071,0.044,0
4,0,-0.002,0.072,0.044,0
5,0,-0.002,0.074,0.047,0
6,0,-0.002,0.076,0.043,0
7,0,-0.002,0.076,0.045,0
8,0,-0.002,0.074,0.044,0
9,0,-0.002,0.072,0.042,0
10,0,-0.002,0.073,0.043,0
11,0,-0.002,0.074,0.043,0
12,0,-0.002,0.073,0.045,0
13,0,-0.002,0.079,0.042,0
14,0,-0.002,0.075,0.041,0
15,0,-0.002,0.074,0.042,0
16,0,-0.002,0.072,0.041,0
17,0,-0.002,0.074,0.041,0
18,0,-0.002,0.073,0.05,0
19,0,-0.002,0.074,0.045,0
20,0,-0.002,0.078,0.042,0
21,0,-0.002,0.074,0.043,0
22,0,-0.002,0.073,0.042,0
23,0,-0.002,0.075,0.044,0
24,0,-0.002,0.074,0.043,0
25,0,-0.002,0.075,0.045,0
26,0,-0.002,0.073,0.049,0
27,0,-0.002,0.082,0.043,0
28,0,-0.002,0.073,0.043,0
29,0,-0.002,0.076,0.044,0
30,0,-0.002,0.073,0.042,0
31,0,-0.002,0.073,0.045,0
32,0,-0.002,0.074,0.042,0
33,0,-0.002,0.073,0.042,0
34,0,-0.002,0.076,0.043,0
35,0,-0.002,0.07,0.043,0
36,0,-0.002,0.07,0.043,0
37,0,-0.002,0.069,0.042,0
38,0,-0.002,0.073,0.042,0
39,0,-0.002,0.071,0.043,0
40,0,-0.002,0.074,0.043,0
41,0,-0.002,0.075,0.042,0
42,0,-0.002,0.073,0.042,0
43,0,-0.002,0.073,0.043,0
44,0,-0.002,0.072,0.044,0
45,0,-0.002,0.072,0.042,0
46,0,-0.002,0.073,0.043,0
47,0,-0.002,0.072,0.044,0
48,0,-0.002,0.072,0.045,0
49,0,-0.002,0.074,0.042,0
50,0,-0.002,0.077,0.043,0
51,0,-0.002,0.073,0.043,0
52,0,-0.002,0.073,0.044,0
53,0,-0.002,0.072,0.043,0
54,0,-0.002,0.073,0.043,0
55,0,-0.002,0.082,0.047,0
56,0,-0.002,0.074,0.046,0
57,0,-0.002,0.073,0.043,0
58,0,-0.002,0.071,0.045,0
59,0,-0.002,0.07,0.043,0
60,0,-0.002,0.074,0.046,0
61,0,-0.002,0.074,0.044,0
62,0,-0.002,0.073,0.044,0
63,0,-0.002,0.074,0.042,0
64,0,-0.002,0.076,0.044,0
65,0,-0.002,0.073,0.043,0
66,0,-0.002,0.073,0.046,0
67,0,-0.002,0.07,0.044,0
68,0,-0.002,0.068,0.042,0
69,0,-0.002,0.073,0.043,0
70,0,-0.002,0.071,0.043,0
71,0,-0.002,0.074,0.047,0
72,0,-0.002,0.073,0.044,0
73,0,-0.002,0.071,0.043,0
74,0,-0.002,0.073,0.043,0
75,0,-0.002,0.073,0.044,0
76,0,-0.002,0.073,0.043,0
77,0,-0.002,0.076,0.043,0
78,0,-0.002,0.072,0.044,0
79,0,-0.002,0.069,0.047,0
80,0,-0.002,0.073,0.043,0
81,0,-0.002,0.073,0.043,0
82,0,-0.002,0.073,0.044,0
83,0,-0.002,0.072,0.043,0
84,0,-0.002,0.073,0.045,0
85,0,-0.002,0.075,0.042,0
86,0,-0.002,0.072,0.043,0
87,0,-0.002,0.074,0.046,0
88,0,-0.002,0.07,0.043,0
