patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,6,8,0
1,0,-2,103,71,0
2,0,-2,102,70,0
3,0,-2,100,77,0
4,0,-2,102,70,0
5,0,-2,109,70,0
6,0,-2,102,70,0
7,0,-2,102,69,0
8,0,-2,101,69,0
9,0,-2,101,69,0
10,0,-2,105,69,0
11,0,-2,103,70,0
12,0,-2,101,69,0
13,0,-2,98,70,0
14,0,-2,102,77,0
15,0,-2,102,70,1
16,0,-2,103,69,0
17,0,-2,99,70,0
18,0,-2,97,70,0
19,0,-2,99,69,1
20,0,-2,96,70,0
21,0,-2,98,70,0
22,0,-2,96,70,0
23,0,-2,98,73,0
24,0,-2,102,70,0
25,0,-2,97,70,0
26,0,-2,100,77,0
27,0,-2,96,69,0
28,0,-2,98,76,0
29,0,-2,99,70,0
30,0,-2,98,70,0
31,0,-2,99,78,0
32,0,-2,97,70,0
33,0,-2,107,70,0
34,0,-2,99,73,0
35,0,-2,96,69,0
36,0,-2,98,70,0
37,0,-2,99,80,0
38,0,-2,102,70,0
39,0,-2,104,69,0
40,0,-2,102,77,0
41,0,-2,102,70,0
42,0,-2,105,70,0
43,0,-2,105,77,0
44,0,-2,101,70,0
45,0,-2,104,70,0
46,0,-2,103,77,0
47,0,-2,101,69,0
48,0,-2,103,70,0
49,0,-2,104,77,0
50,0,-2,98,70,0
51,0,-2,101,72,0
52,0,-2,93,70,0
53,0,-2,93,78,0
54,0,-2,94,71,0
55,0,-2,101,81,0
56,0,-2,105,70,0
57,0,-2,100,71,0
58,0,-2,100,70,0
59,0,-2,100,70,0
60,0,-2,99,73,0
61,0,-2,96,71,0
62,0,-2,96,71,0
63,0,-2,96,71,0
64,0,-2,97,78,0
65,0,-2,98,70,0
66,0,-2,97,70,0
67,0,-2,95,70,0
68,0,-2,96,78,0
69,0,-2,96,78,0
70,0,-2,95,71,0
71,0,-2,96,71,0
72,0,-2,95,70,0
73,0,-2,96,70,0
74,0,-2,103,74,0
75,0,-2,100,70,0
76,0,-2,102,70,0
77,0,-2,100,70,0
78,0,-2,103,71,0
79,0,-2,104,70,0
80,0,-2,98,71,0
81,0,-2,98,78,0
82,0,-2,103,70,0
83,0,-2,100,71,0
84,0,-2,100,71,0
85,0,-2,104,70,0
86,0,-2,100,70,0
87,0,-2,103,70,0
88,0,-2,104,71,0
