patch,offset,limit,count-ms,lookup-mus,results
0,0,-0.002,0.009000000000000001,0.009,0
1,0,-0.002,0.1855,0.133,0
2,0,-0.002,0.1605,0.1315,0
3,0,-0.002,0.157,0.1285,0
4,0,-0.002,0.1595,0.1325,0
5,0,-0.002,0.1625,0.1325,0
6,0,-0.002,0.16249999999999998,0.1325,0
7,0,-0.002,0.154,0.129,0
8,0,-0.002,0.162,0.1285,0
9,0,-0.002,0.1605,0.132,0
10,0,-0.002,0.1615,0.132,0
11,0,-0.002,0.1565,0.132,0
12,0,-0.002,0.1575,0.1285,0
13,0,-0.002,0.14550000000000002,0.11649999999999999,0
14,0,-0.002,0.14150000000000001,0.1255,0
15,0,-0.002,0.1405,0.1255,0.0005
16,0,-0.002,0.1395,0.1185,0.0005
17,0,-0.002,0.14500000000000002,0.11649999999999999,0.0005
18,0,-0.002,0.135,0.1275,0.0005
19,0,-0.002,0.1385,0.11599999999999999,0.0005
20,0,-0.002,0.135,0.11599999999999999,0.0005
21,0,-0.002,0.1345,0.1195,0.0005
22,0,-0.002,0.135,0.1245,0.0005
23,0,-0.002,0.135,0.11649999999999999,0.0005
24,0,-0.002,0.136,0.11599999999999999,0.0005
25,0,-0.002,0.1325,0.125,0.0005
26,0,-0.002,0.1335,0.11599999999999999,0.0005
27,0,-0.002,0.136,0.11649999999999999,0.0005
28,0,-0.002,0.137,0.11599999999999999,0.0005
29,0,-0.002,0.1345,0.1245,0.0005
30,0,-0.002,0.1365,0.125,0.0005
31,0,-0.002,0.135,0.1245,0.0005
32,0,-0.002,0.1355,0.11599999999999999,0.0005
33,0,-0.002,0.1335,0.11549999999999999,0.0005
34,0,-0.002,0.134,0.11599999999999999,0.0005
35,0,-0.002,0.1345,0.125,0.0005
36,0,-0.002,0.1325,0.11599999999999999,0.0005
37,0,-0.002,0.134,0.11549999999999999,0.0005
38,0,-0.002,0.135,0.11549999999999999,0.001
39,0,-0.002,0.132,0.124,0.001
40,0,-0.002,0.133,0.11599999999999999,0.0005
41,0,-0.002,0.1325,0.11499999999999999,0.0005
42,0,-0.002,0.133,0.11699999999999999,0.0005
43,0,-0.002,0.1315,0.1245,0.0005
44,0,-0.002,0.1325,0.128,0.001
45,0,-0.002,0.129,0.11549999999999999,0.001
46,0,-0.002,0.1325,0.125,0.001
47,0,-0.002,0.129,0.1185,0.001
48,0,-0.002,0.129,0.11599999999999999,0.001
49,0,-0.002,0.1305,0.11549999999999999,0.001
50,0,-0.002,0.13,0.125,0.001
51,0,-0.002,0.1305,0.125,0.001
52,0,-0.002,0.1315,0.11649999999999999,0.0015
53,0,-0.002,0.13,0.11649999999999999,0.001
54,0,-0.002,0.1295,0.126,0.0015
55,0,-0.002,0.1305,0.11599999999999999,0.0015
56,0,-0.002,0.13,0.11549999999999999,0.0015
57,0,-0.002,0.1305,0.118,0.0015
58,0,-0.002,0.1305,0.1295,0.0015
59,0,-0.002,0.1295,0.1255,0.0015
60,0,-0.002,0.1305,0.1185,0.0015
61,0,-0.002,0.129,0.126,0.0015
62,0,-0.002,0.1315,0.1175,0.0015
63,0,-0.002,0.1315,0.11699999999999999,0.0015
64,0,-0.002,0.1305,0.11649999999999999,0.001
65,0,-0.002,0.13,0.1255,0.0015
66,0,-0.002,0.132,0.1255,0.0015
67,0,-0.002,0.1305,0.11649999999999999,0.0015
68,0,-0.002,0.1285,0.1205,0.0015
69,0,-0.002,0.13,0.11699999999999999,0.0015
70,0,-0.002,0.128,0.11649999999999999,0.0015
71,0,-0.002,0.1325,0.11699999999999999,0.0015
72,0,-0.002,0.1325,0.11599999999999999,0.0015
73,0,-0.002,0.128,0.11699999999999999,0.0015
74,0,-0.002,0.1305,0.126,0.0015
75,0,-0.002,0.1285,0.11649999999999999,0.0015
76,0,-0.002,0.13,0.11699999999999999,0.0015
77,0,-0.002,0.1275,0.11649999999999999,0.0015
78,0,-0.002,0.128,0.1255,0.0015
79,0,-0.002,0.128,0.11699999999999999,0.0015
80,0,-0.002,0.1295,0.1265,0.0015
81,0,-0.002,0.1315,0.118,0.002
82,0,-0.002,0.1285,0.126,0.002
83,0,-0.002,0.1295,0.1175,0.002
84,0,-0.002,0.1295,0.1295,0.002
85,0,-0.002,0.128,0.11699999999999999,0.002
86,0,-0.002,0.1295,0.11699999999999999,0.002
87,0,-0.002,0.128,0.11699999999999999,0.002
88,0,-0.002,0.1285,0.126,0.002
