patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,136,104,0
0,2,0,-2,136,111,0
0,3,0,-2,140,104,0
1,3,0,-2,247,113,0
0,4,0,-2,142,105,0
2,4,0,-2,238,113,0
0,5,0,-2,135,105,0
2,5,0,-2,241,114,0
0,6,0,-2,136,104,0
3,6,0,-2,239,115,0
0,7,0,-2,139,105,0
3,7,0,-2,243,114,0
0,8,0,-2,138,105,0
4,8,0,-2,242,114,0
0,9,0,-2,138,104,0
4,9,0,-2,243,114,0
0,10,0,-2,138,104,0
5,10,0,-2,242,120,0
0,11,0,-2,138,104,0
5,11,0,-2,242,114,0
0,12,0,-2,139,104,0
6,12,0,-2,242,114,0
0,13,0,-2,154,123,2
6,13,0,-2,258,114,2
0,14,0,-2,152,123,2
7,14,0,-2,258,115,2
0,15,0,-2,152,123,2
7,15,0,-2,257,116,2
0,16,0,-2,152,123,2
8,16,0,-2,255,114,2
0,17,0,-2,155,121,4
8,17,0,-2,258,116,4
0,18,0,-2,153,126,4
9,18,0,-2,261,116,4
0,19,0,-2,154,121,4
9,19,0,-2,256,116,4
0,20,0,-2,158,121,4
10,20,0,-2,254,117,4
0,21,0,-2,158,121,4
10,21,0,-2,262,116,4
0,22,0,-2,160,121,4
11,22,0,-2,263,116,4
0,23,0,-2,157,159,2
11,23,0,-2,262,115,4
0,24,0,-2,158,159,2
12,24,0,-2,259,115,4
0,25,0,-2,154,121,4
12,25,0,-2,266,115,4
0,26,0,-2,153,121,4
13,26,0,-2,277,115,2
0,27,0,-2,153,121,4
13,27,0,-2,275,116,2
0,28,0,-2,157,121,4
14,28,0,-2,273,115,2
0,29,0,-2,155,121,4
14,29,0,-2,276,114,2
0,30,0,-2,158,122,4
15,30,0,-2,275,115,2
0,31,0,-2,155,121,4
15,31,0,-2,280,117,2
0,32,0,-2,156,124,4
16,32,0,-2,281,117,2
0,33,0,-2,160,124,4
16,33,0,-2,279,117,2
0,34,0,-2,158,122,4
17,34,0,-2,281,115,0
0,35,0,-2,159,123,4
17,35,0,-2,278,114,0
0,36,0,-2,160,123,4
18,36,0,-2,276,114,0
0,37,0,-2,159,122,4
18,37,0,-2,279,113,0
0,38,0,-2,156,121,4
19,38,0,-2,279,112,0
0,39,0,-2,157,121,4
19,39,0,-2,276,113,0
0,40,0,-2,155,121,4
20,40,0,-2,275,113,0
0,41,0,-2,157,121,4
20,41,0,-2,277,113,0
0,42,0,-2,159,121,4
21,42,0,-2,277,113,0
0,43,0,-2,156,123,4
21,43,0,-2,279,113,0
0,44,0,-2,159,122,4
22,44,0,-2,278,112,0
0,45,0,-2,155,121,4
22,45,0,-2,279,112,0
0,46,0,-2,154,121,4
23,46,0,-2,278,113,0
0,47,0,-2,155,121,4
23,47,0,-2,272,112,0
0,48,0,-2,160,121,4
24,48,0,-2,272,112,0
0,49,0,-2,153,123,4
24,49,0,-2,271,114,0
0,50,0,-2,155,122,4
25,50,0,-2,274,113,0
0,51,0,-2,154,121,4
25,51,0,-2,270,112,0
0,52,0,-2,153,121,4
26,52,0,-2,273,113,0
0,53,0,-2,154,122,4
26,53,0,-2,271,112,0
0,54,0,-2,154,121,4
27,54,0,-2,271,111,0
0,55,0,-2,153,122,4
27,55,0,-2,271,112,0
0,56,0,-2,154,121,4
28,56,0,-2,274,112,0
0,57,0,-2,153,121,4
28,57,0,-2,273,112,0
0,58,0,-2,153,121,4
29,58,0,-2,271,113,0
0,59,0,-2,153,121,4
29,59,0,-2,273,111,0
0,60,0,-2,156,121,4
30,60,0,-2,273,113,0
0,61,0,-2,155,123,4
30,61,0,-2,274,113,0
0,62,0,-2,154,122,4
31,62,0,-2,272,112,0
0,63,0,-2,154,121,4
31,63,0,-2,273,111,0
0,64,0,-2,154,121,4
32,64,0,-2,268,112,0
0,65,0,-2,154,121,4
32,65,0,-2,271,111,0
0,66,0,-2,154,121,4
33,66,0,-2,272,111,0
0,67,0,-2,153,122,4
33,67,0,-2,269,110,0
0,68,0,-2,153,122,4
34,68,0,-2,274,111,0
0,69,0,-2,153,121,4
34,69,0,-2,273,112,0
0,70,0,-2,154,121,4
35,70,0,-2,272,318,0
0,71,0,-2,155,123,4
35,71,0,-2,272,111,0
0,72,0,-2,153,121,4
36,72,0,-2,272,111,0
0,73,0,-2,152,121,4
36,73,0,-2,270,110,0
0,74,0,-2,154,122,4
37,74,0,-2,272,110,0
0,75,0,-2,153,121,4
37,75,0,-2,271,111,0
0,76,0,-2,153,122,4
38,76,0,-2,274,110,0
0,77,0,-2,153,121,4
38,77,0,-2,271,111,0
0,78,0,-2,153,122,4
39,78,0,-2,273,110,0
0,79,0,-2,154,121,4
39,79,0,-2,272,110,0
0,80,0,-2,153,122,4
40,80,0,-2,272,110,0
0,81,0,-2,155,123,4
40,81,0,-2,275,111,0
0,82,0,-2,154,122,4
41,82,0,-2,275,111,0
0,83,0,-2,152,123,4
41,83,0,-2,277,111,0
0,84,0,-2,158,122,4
42,84,0,-2,275,110,0
0,85,0,-2,158,121,4
42,85,0,-2,277,110,0
0,86,0,-2,155,122,4
43,86,0,-2,274,110,0
0,87,0,-2,154,120,4
43,87,0,-2,275,110,0
0,88,0,-2,159,123,4
44,88,0,-2,280,111,0
