patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,222,209,0
0,2,0,-2,210,188,0
0,3,0,-2,219,188,0
1,3,0,-2,402,218,0
0,4,0,-2,229,209,0
2,4,0,-2,393,215,0
0,5,0,-2,218,187,0
2,5,0,-2,394,217,0
0,6,0,-2,231,207,0
3,6,0,-2,394,216,0
0,7,0,-2,219,189,0
3,7,0,-2,400,237,0
0,8,0,-2,212,188,0
4,8,0,-2,395,223,0
0,9,0,-2,231,206,0
4,9,0,-2,392,215,0
0,10,0,-2,215,189,0
5,10,0,-2,410,218,0
0,11,0,-2,228,208,0
5,11,0,-2,434,242,0
0,12,0,-2,212,189,0
6,12,0,-2,404,219,0
0,13,0,-2,231,216,1
6,13,0,-2,404,219,1
0,14,0,-2,230,208,2
7,14,0,-2,451,246,1
0,15,0,-2,227,205,2
7,15,0,-2,422,219,1
0,16,0,-2,210,214,3
8,16,0,-2,430,243,4
0,17,0,-2,214,213,3
8,17,0,-2,403,220,4
0,18,0,-2,214,212,3
9,18,0,-2,406,220,4
0,19,0,-2,209,214,3
9,19,0,-2,398,219,4
0,20,0,-2,220,212,3
10,20,0,-2,400,221,4
0,21,0,-2,216,213,3
10,21,0,-2,400,219,4
0,22,0,-2,214,221,3
11,22,0,-2,397,219,4
0,23,0,-2,217,207,1
11,23,0,-2,432,242,4
0,24,0,-2,231,228,1
12,24,0,-2,405,219,4
0,25,0,-2,214,213,3
12,25,0,-2,404,219,4
0,26,0,-2,218,213,3
13,26,0,-2,436,241,3
0,27,0,-2,215,213,3
13,27,0,-2,400,218,3
0,28,0,-2,212,215,3
14,28,0,-2,441,241,3
0,29,0,-2,211,213,3
14,29,0,-2,440,240,3
0,30,0,-2,211,213,3
15,30,0,-2,414,218,3
0,31,0,-2,216,216,4
15,31,0,-2,450,243,4
0,32,0,-2,213,215,4
16,32,0,-2,399,218,1
0,33,0,-2,218,216,4
16,33,0,-2,395,218,1
0,34,0,-2,220,216,4
17,34,0,-2,395,219,1
0,35,0,-2,215,216,4
17,35,0,-2,400,217,1
0,36,0,-2,228,238,4
18,36,0,-2,396,217,1
0,37,0,-2,218,216,4
18,37,0,-2,398,219,1
0,38,0,-2,234,238,4
19,38,0,-2,397,216,1
0,39,0,-2,215,215,4
19,39,0,-2,397,216,1
0,40,0,-2,228,238,4
20,40,0,-2,396,219,1
0,41,0,-2,229,238,4
20,41,0,-2,396,217,1
0,42,0,-2,216,217,4
21,42,0,-2,396,216,1
0,43,0,-2,229,237,4
21,43,0,-2,397,217,1
0,44,0,-2,217,216,4
22,44,0,-2,399,218,1
0,45,0,-2,227,240,4
22,45,0,-2,396,218,1
0,46,0,-2,217,215,4
23,46,0,-2,405,218,1
0,47,0,-2,227,238,4
23,47,0,-2,401,216,1
0,48,0,-2,216,216,4
24,48,0,-2,403,216,1
0,49,0,-2,229,237,4
24,49,0,-2,434,240,1
0,50,0,-2,215,215,4
25,50,0,-2,398,216,1
0,51,0,-2,229,238,4
25,51,0,-2,427,239,1
0,52,0,-2,214,216,4
26,52,0,-2,397,217,1
0,53,0,-2,215,215,4
26,53,0,-2,429,239,1
0,54,0,-2,213,217,4
27,54,0,-2,397,218,1
0,55,0,-2,229,238,4
27,55,0,-2,396,216,1
0,56,0,-2,216,207,6
28,56,0,-2,398,219,3
0,57,0,-2,229,229,6
28,57,0,-2,395,229,3
0,58,0,-2,218,208,6
29,58,0,-2,436,240,3
0,59,0,-2,213,208,6
29,59,0,-2,399,217,3
0,60,0,-2,232,207,6
30,60,0,-2,399,225,3
0,61,0,-2,216,208,6
30,61,0,-2,405,217,3
0,62,0,-2,214,213,7
31,62,0,-2,408,217,3
0,63,0,-2,227,240,7
31,63,0,-2,398,223,3
0,64,0,-2,215,213,7
32,64,0,-2,414,220,3
0,65,0,-2,234,239,7
32,65,0,-2,404,217,3
0,66,0,-2,237,234,7
33,66,0,-2,402,224,3
0,67,0,-2,220,213,7
33,67,0,-2,423,218,3
0,68,0,-2,234,237,7
34,68,0,-2,404,216,3
0,69,0,-2,220,213,7
34,69,0,-2,405,217,3
0,70,0,-2,233,235,7
35,70,0,-2,435,238,3
0,71,0,-2,218,213,7
35,71,0,-2,405,216,3
0,72,0,-2,230,234,7
36,72,0,-2,430,238,3
0,73,0,-2,213,213,7
36,73,0,-2,418,215,3
0,74,0,-2,231,237,7
37,74,0,-2,398,223,3
0,75,0,-2,215,215,8
37,75,0,-2,409,216,4
0,76,0,-2,228,242,8
38,76,0,-2,433,241,4
0,77,0,-2,222,216,8
38,77,0,-2,404,225,4
0,78,0,-2,221,217,8
39,78,0,-2,440,240,4
0,79,0,-2,215,222,8
39,79,0,-2,400,217,4
0,80,0,-2,217,215,8
40,80,0,-2,434,241,4
0,81,0,-2,215,215,8
40,81,0,-2,408,216,4
0,82,0,-2,216,222,8
41,82,0,-2,432,250,4
0,83,0,-2,215,217,9
41,83,0,-2,409,218,5
0,84,0,-2,216,218,9
42,84,0,-2,403,217,5
0,85,0,-2,231,244,9
42,85,0,-2,431,245,5
0,86,0,-2,218,218,9
43,86,0,-2,413,218,5
0,87,0,-2,233,245,9
43,87,0,-2,435,239,5
0,88,0,-2,219,217,9
44,88,0,-2,410,220,5
